https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ESS
1641772800000,2022-01-10 00:00:00,ESS/USD,0.0017985,0.00183,0.0016018,0.0016443,129824.82595338537,78954464.48542564
1641686400000,2022-01-09 00:00:00,ESS/USD,0.0017747,0.0019299,0.00169,0.0017986,288664.5498534146,160494023.0476007
1641600000000,2022-01-08 00:00:00,ESS/USD,0.0018003,0.001899,0.00169,0.0017747,101875.22624503831,57404195.77677259
1641513600000,2022-01-07 00:00:00,ESS/USD,0.0018961,0.0019249,0.001699,0.0018007,51012.154976435435,28329069.23776056
1641427200000,2022-01-06 00:00:00,ESS/USD,0.0019844,0.002043,0.0018774,0.0018959,63185.96810559796,33327690.33472122
1641340800000,2022-01-05 00:00:00,ESS/USD,0.0018909,0.00208,0.00187,0.0019844,206170.33932148133,103895554.98966002
1641254400000,2022-01-04 00:00:00,ESS/USD,0.00198,0.001997,0.0018883,0.0019458,35815.88200893988,18406764.31747347
1641168000000,2022-01-03 00:00:00,ESS/USD,0.00207,0.0021099,0.0018143,0.00198,238153.18240325732,120279385.05215016
1641081600000,2022-01-02 00:00:00,ESS/USD,0.0022051,0.00227,0.002002,0.0021099,343019.84966728016,162576354.17189446
1640995200000,2022-01-01 00:00:00,ESS/USD,0.002429,0.0024701,0.0021392,0.002258,321785.70613430714,142509170.12148234
1640908800000,2021-12-31 00:00:00,ESS/USD,0.0019588,0.0027666,0.0018576,0.0023501,311571.4408207962,132577950.22373354
1640822400000,2021-12-30 00:00:00,ESS/USD,0.0019489,0.0019898,0.0018555,0.0019629,43896.669617794214,22363171.64287239
1640736000000,2021-12-29 00:00:00,ESS/USD,0.0019412,0.001999,0.0018502,0.001949,58332.62106180725,29929513.11534492
1640649600000,2021-12-28 00:00:00,ESS/USD,0.00216,0.00216,0.001851,0.0019115,27828.097473302332,14558251.3593002
1640563200000,2021-12-27 00:00:00,ESS/USD,0.002011,0.0022796,0.0020035,0.0021038,41725.18108623478,19833245.12132084
1640476800000,2021-12-26 00:00:00,ESS/USD,0.0020042,0.002197,0.001945,0.00201,102614.29315620226,51051887.14238918
1640390400000,2021-12-25 00:00:00,ESS/USD,0.002025,0.0020998,0.0019142,0.002006,64728.719891860266,32267557.27410781
1640304000000,2021-12-24 00:00:00,ESS/USD,0.0019799,0.0020399,0.0019201,0.0020256,14253.891041374101,7036873.5393829495
1640217600000,2021-12-23 00:00:00,ESS/USD,0.001999,0.0020598,0.0018876,0.00198,76431.41304585821,38601723.76053445
1640131200000,2021-12-22 00:00:00,ESS/USD,0.0019773,0.00204,0.0018095,0.0019998,182129.07881850246,91073646.77392863
1640044800000,2021-12-21 00:00:00,ESS/USD,0.002068,0.0020894,0.001921,0.0019764,118525.18436954152,59970241.02891192
1639958400000,2021-12-20 00:00:00,ESS/USD,0.00205,0.0020928,0.001908,0.0020681,67891.36861939244,32827894.50190631
1639872000000,2021-12-19 00:00:00,ESS/USD,0.002072,0.002072,0.0019863,0.00205,16510.98116968104,8054137.15594197
1639785600000,2021-12-18 00:00:00,ESS/USD,0.0020457,0.002175,0.0019648,0.0020658,190826.4071081637,92374095.8021898
1639699200000,2021-12-17 00:00:00,ESS/USD,0.00213,0.0022527,0.00195,0.0021174,301471.12680975755,142377976.20183128
1639612800000,2021-12-16 00:00:00,ESS/USD,0.0020853,0.0022312,0.0019946,0.00213,110191.43334149357,51733067.29647586
1639526400000,2021-12-15 00:00:00,ESS/USD,0.002087,0.002209,0.002024,0.0021463,102734.18524306933,47865715.53048005
1639440000000,2021-12-14 00:00:00,ESS/USD,0.0020625,0.002219,0.0020456,0.0021472,94112.30558677633,43830246.64063726
1639353600000,2021-12-13 00:00:00,ESS/USD,0.0021113,0.00228,0.0020323,0.0021007,250988.12385774287,119478328.10860325
1639267200000,2021-12-12 00:00:00,ESS/USD,0.0021101,0.00222,0.00202,0.0021017,144277.16557224578,68647840.11621343
1639180800000,2021-12-11 00:00:00,ESS/USD,0.0020706,0.00215,0.0020518,0.00215,32713.4990202902,15215580.93966986
1639094400000,2021-12-10 00:00:00,ESS/USD,0.0021796,0.0023,0.0020101,0.0021498,525984.1832525801,244666565.84453443
1639008000000,2021-12-09 00:00:00,ESS/USD,0.0021778,0.0022501,0.00202,0.0021799,151261.99434276915,69389418.93791878
1638921600000,2021-12-08 00:00:00,ESS/USD,0.0022318,0.002295,0.00205,0.0021779,39962.167045503884,18348944.87602915
