https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MIM
1643932800000,2022-02-04 00:00:00,MIM/USD,0.99663,0.99691,0.97256,0.99566,3411.2184468537876,3426.08766733
1643846400000,2022-02-03 00:00:00,MIM/USD,0.99584,0.99691,0.98431,0.99691,34.50039147610919,34.60732812
1643760000000,2022-02-02 00:00:00,MIM/USD,0.99571,0.99691,0.98512,0.99584,95.356050542592,95.7543888
1643673600000,2022-02-01 00:00:00,MIM/USD,0.98835,0.99691,0.985,0.98515,118.6467136068455,120.43517597
1643587200000,2022-01-31 00:00:00,MIM/USD,0.99418,0.99691,0.98461,0.99691,0.9287468968342,0.93162562
1643500800000,2022-01-30 00:00:00,MIM/USD,0.99375,0.99724,0.98481,0.99418,203.328383121633,204.51868185
1643414400000,2022-01-29 00:00:00,MIM/USD,0.99549,0.99702,0.97285,0.98493,961.9056422220659,976.6233562
1643328000000,2022-01-28 00:00:00,MIM/USD,1.0,1.0006,0.9798,0.98291,2500866.933972183,2544349.873307
1643241600000,2022-01-27 00:00:00,MIM/USD,1.0035,1.0067,0.99165,0.9999,6324.746250801132,6325.37878868
1643155200000,2022-01-26 00:00:00,MIM/USD,1.0044,1.0048,1.0006,1.0007,811.6851170544439,811.11733492
1643068800000,2022-01-25 00:00:00,MIM/USD,1.0011,1.0045,1.001,1.0011,248.40615152550004,248.133205
1642982400000,2022-01-24 00:00:00,MIM/USD,1.0037,1.012,1.0004,1.001,1465.5532702310497,1464.08918105
1642896000000,2022-01-23 00:00:00,MIM/USD,1.0012,1.0045,1.001,1.0013,1173.09722453153,1171.5741781
1642809600000,2022-01-22 00:00:00,MIM/USD,1.0038,1.0066,1.0008,1.0012,747.64016874102,746.74407585
1642723200000,2022-01-21 00:00:00,MIM/USD,1.002,1.0025,0.9995,1.0009,3727.2046654478127,3723.8531975700002
1642636800000,2022-01-20 00:00:00,MIM/USD,1.0017,1.002,1.0006,1.0006,101144.28974060412,101083.63955687
1642550400000,2022-01-19 00:00:00,MIM/USD,1.0003,1.0043,0.99962,1.0005,1698.5025285008248,1697.65370165
1642464000000,2022-01-18 00:00:00,MIM/USD,1.0002,1.0018,0.9995,1.0017,194.410939983876,194.08100228
1642377600000,2022-01-17 00:00:00,MIM/USD,1.0004,1.0016,0.99921,1.0003,100242.40892037505,100212.34521681
1642291200000,2022-01-16 00:00:00,MIM/USD,1.0004,1.0016,0.99945,1.0015,134.547993540745,134.34647383
1642204800000,2022-01-15 00:00:00,MIM/USD,1.0003,1.0018,0.9994,1.0006,398.636606520788,398.39756798
1642118400000,2022-01-14 00:00:00,MIM/USD,1.0,1.0304,0.99536,1.0003,120065.22578868706,120029.21702358
1642032000000,2022-01-13 00:00:00,MIM/USD,1.0001,1.0017,0.99936,1.0015,9.086257713110001,9.07264874
1641945600000,2022-01-12 00:00:00,MIM/USD,1.0003,1.003,0.99952,1.0001,426.781051807797,426.73837797
1641859200000,2022-01-11 00:00:00,MIM/USD,1.0003,1.0024,0.9999,1.002,529.78722248592,528.72976296
1641772800000,2022-01-10 00:00:00,MIM/USD,1.0006,1.0041,1.0001,1.0023,18005.492553477507,17964.17495109
1641686400000,2022-01-09 00:00:00,MIM/USD,1.0004,1.002,1.0001,1.0016,898.191496927968,896.75668623
1641600000000,2022-01-08 00:00:00,MIM/USD,1.0007,1.0054,1.0004,1.0018,45.549136401486,45.46729527
1641513600000,2022-01-07 00:00:00,MIM/USD,1.0005,1.0036,0.99989,1.0029,1504.65483757269,1500.3039561
1641427200000,2022-01-06 00:00:00,MIM/USD,0.9998,1.0097,0.9998,1.0021,343.75617107139,343.0357959
1641340800000,2022-01-05 00:00:00,MIM/USD,1.0001,1.0035,0.99951,1.0006,838.7400208471599,838.2370786
1641254400000,2022-01-04 00:00:00,MIM/USD,0.99966,1.0024,0.99966,1.0001,1059.448387995375,1059.34245375
1641168000000,2022-01-03 00:00:00,MIM/USD,1.0005,1.0085,0.99887,0.99888,21.4914064457328,21.51550381
1641081600000,2022-01-02 00:00:00,MIM/USD,1.0002,1.0025,1.0,1.0005,4257.476365075365,4255.34869073
1640995200000,2022-01-01 00:00:00,MIM/USD,1.0002,1.0028,1.0,1.0024,102.160356460736,101.91575864
1640908800000,2021-12-31 00:00:00,MIM/USD,1.0001,1.0056,1.0,1.0002,8.45184638127,8.45015635
1640822400000,2021-12-30 00:00:00,MIM/USD,1.0,1.0092,1.0,1.0001,5.9034855395250005,5.90289525
1640736000000,2021-12-29 00:00:00,MIM/USD,1.0,1.0027,1.0,1.0,1888.66002651,1888.66002651
1640649600000,2021-12-28 00:00:00,MIM/USD,1.0,1.0038,1.0,1.0,12139.57266446,12139.57266446
1640563200000,2021-12-27 00:00:00,MIM/USD,1.0,1.0023,1.0,1.0021,25638.603047080956,25584.87480998
1640476800000,2021-12-26 00:00:00,MIM/USD,1.0002,1.0043,1.0,1.0,1152.47098736,1152.47098736
1640390400000,2021-12-25 00:00:00,MIM/USD,1.0022,1.0023,1.0,1.0,324.05209823,324.05209823
1640304000000,2021-12-24 00:00:00,MIM/USD,1.0003,1.0059,1.0,1.0,3044.48097843,3044.48097843
1640217600000,2021-12-23 00:00:00,MIM/USD,1.0005,1.0029,1.0,1.0025,99.37822877692498,99.13040276999999
1640131200000,2021-12-22 00:00:00,MIM/USD,1.0004,1.0047,1.0,1.0028,1023.6019996366759,1020.74391667
1640044800000,2021-12-21 00:00:00,MIM/USD,1.0007,1.0058,1.0,1.0004,174.010171157968,173.94059492
