https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume REQ
1647475200000,2022-03-17 00:00:00,REQ/USD,0.22501,0.22837,0.21386,0.215,23996.71896452545,111612.64634663
1647388800000,2022-03-16 00:00:00,REQ/USD,0.21623,0.22697,0.21296,0.21991,14166.814900426578,64420.9672158
1647302400000,2022-03-15 00:00:00,REQ/USD,0.22079,0.25786,0.21415,0.21415,58802.6531740478,274586.28612677
1647216000000,2022-03-14 00:00:00,REQ/USD,0.21269,0.26921,0.20326,0.22422,103031.77714618378,459511.98441791
1647129600000,2022-03-13 00:00:00,REQ/USD,0.18978,0.2333,0.18978,0.20914,81656.44728740658,390439.16652676
1647043200000,2022-03-12 00:00:00,REQ/USD,0.19169,0.19394,0.18982,0.19134,4996.8649341974915,26115.10888574
1646956800000,2022-03-11 00:00:00,REQ/USD,0.19014,0.19592,0.18526,0.18961,11342.892460023277,59822.22699237
1646870400000,2022-03-10 00:00:00,REQ/USD,0.20003,0.20003,0.18793,0.19358,33426.31092183951,172674.40294369
1646784000000,2022-03-09 00:00:00,REQ/USD,0.1971,0.20664,0.1971,0.20122,17197.372182210478,85465.52123154
1646697600000,2022-03-08 00:00:00,REQ/USD,0.19622,0.19987,0.19301,0.19355,23050.02495818515,119090.80319393
1646611200000,2022-03-07 00:00:00,REQ/USD,0.1983,0.20237,0.19048,0.19116,10207.323870919345,53396.7559684
1646524800000,2022-03-06 00:00:00,REQ/USD,0.21143,0.21331,0.20034,0.20034,3266.606179815426,16305.3118689
1646438400000,2022-03-05 00:00:00,REQ/USD,0.2051,0.22349,0.20495,0.22349,4419.967933007413,19777.02775519
1646352000000,2022-03-04 00:00:00,REQ/USD,0.21914,0.21914,0.2027,0.20343,10144.450874135231,49867.03472514
1646265600000,2022-03-03 00:00:00,REQ/USD,0.2234,0.2234,0.216,0.2186,7827.718972712041,35808.41250097
1646179200000,2022-03-02 00:00:00,REQ/USD,0.223,0.23178,0.22228,0.2288,15242.250879004865,66618.22936628001
1646092800000,2022-03-01 00:00:00,REQ/USD,0.22634,0.2404,0.22097,0.22592,45479.335781131216,201307.25823801
1646006400000,2022-02-28 00:00:00,REQ/USD,0.2036,0.21816,0.20318,0.21816,20864.826129997145,95640.01709753
1645920000000,2022-02-27 00:00:00,REQ/USD,0.21849,0.22146,0.19967,0.20225,15589.380416468879,77079.75484039
1645833600000,2022-02-26 00:00:00,REQ/USD,0.21722,0.22318,0.21346,0.21553,28656.77195628228,132959.55067175
1645747200000,2022-02-25 00:00:00,REQ/USD,0.20882,0.21567,0.20018,0.2124,31043.161484829863,146154.24427886
1645660800000,2022-02-24 00:00:00,REQ/USD,0.21374,0.22203,0.17899,0.20743,43859.02720284465,211440.13499901
1645574400000,2022-02-23 00:00:00,REQ/USD,0.22077,0.23007,0.21628,0.21628,12324.897210631165,56985.83877673
1645488000000,2022-02-22 00:00:00,REQ/USD,0.21981,0.21981,0.20711,0.21635,6167.086859232621,28505.139169089998
1645401600000,2022-02-21 00:00:00,REQ/USD,0.22145,0.24058,0.22145,0.22172,10423.62179654155,47012.54643939
