https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OMG
1646870400000,2022-03-10 00:00:00,OMG/USD,3.9915,4.7795,3.8643,4.322,2686511.918473996,621589.98576446
1646784000000,2022-03-09 00:00:00,OMG/USD,3.8074,4.0319,3.8024,3.9888,417214.37924533343,104596.46491309
1646697600000,2022-03-08 00:00:00,OMG/USD,3.6669,3.8656,3.6377,3.806,291733.6597369663,76650.98784471
1646611200000,2022-03-07 00:00:00,OMG/USD,3.7883,3.8991,3.5856,3.6709,1334863.9097764203,363633.96163786
1646524800000,2022-03-06 00:00:00,OMG/USD,4.033,4.0488,3.767,3.7812,907104.6424832223,239898.61485327999
1646438400000,2022-03-05 00:00:00,OMG/USD,3.9782,4.0675,3.826,4.0331,693063.3555045523,171843.83117318
1646352000000,2022-03-04 00:00:00,OMG/USD,4.2627,4.2769,3.9176,3.9768,457888.30520930374,115139.8876507
1646265600000,2022-03-03 00:00:00,OMG/USD,4.4216,4.4346,4.1644,4.2617,263868.9414881628,61916.357671390004
1646179200000,2022-03-02 00:00:00,OMG/USD,4.2743,4.5668,4.1723,4.4193,566650.1728802999,128221.70318383
1646092800000,2022-03-01 00:00:00,OMG/USD,4.2356,4.4019,4.1323,4.2902,405809.7434323482,94589.9360012
1646006400000,2022-02-28 00:00:00,OMG/USD,3.8356,4.233,3.7586,4.2259,632120.4805163182,149582.45119769
1645920000000,2022-02-27 00:00:00,OMG/USD,4.0557,4.0949,3.7511,3.8356,366517.47069713805,95556.75010354
1645833600000,2022-02-26 00:00:00,OMG/USD,3.9535,4.1444,3.949,4.0573,152522.12541194414,37592.02558646
1645747200000,2022-02-25 00:00:00,OMG/USD,3.7546,4.0081,3.6801,3.9525,818528.6688197512,207091.3773105
1645660800000,2022-02-24 00:00:00,OMG/USD,3.8556,3.8941,3.3378,3.7599,1754549.4548463712,466647.90415872
1645574400000,2022-02-23 00:00:00,OMG/USD,3.9823,4.1902,3.8449,3.865,723215.3079370193,187119.09649082
1645488000000,2022-02-22 00:00:00,OMG/USD,3.7713,4.0122,3.6574,3.984,1014192.2147965593,254566.31897504
1645401600000,2022-02-21 00:00:00,OMG/USD,4.0896,4.2924,3.7504,3.7639,1042327.0636034034,276927.40604251
1645315200000,2022-02-20 00:00:00,OMG/USD,4.303,4.3076,4.0113,4.0827,801782.9421016859,196385.46601555
1645228800000,2022-02-19 00:00:00,OMG/USD,4.3407,4.491,4.1685,4.3053,1093516.267833012,253993.04760017
1645142400000,2022-02-18 00:00:00,OMG/USD,4.3773,4.4945,4.2775,4.3274,422488.7693159042,97631.08779311
1645056000000,2022-02-17 00:00:00,OMG/USD,4.8197,4.8788,4.3278,4.3781,704608.7225255484,160939.38524144
1644969600000,2022-02-16 00:00:00,OMG/USD,4.957,4.957,4.69,4.8159,516072.66305566835,107160.17007323
1644883200000,2022-02-15 00:00:00,OMG/USD,4.6174,4.9786,4.6174,4.9597,1267847.2615786658,255629.82873534
1644796800000,2022-02-14 00:00:00,OMG/USD,4.655,4.6885,4.4787,4.6105,1451137.328057804,314746.19413465
1644710400000,2022-02-13 00:00:00,OMG/USD,4.7974,4.8374,4.5177,4.6537,689200.7114804373,148097.36585522
1644624000000,2022-02-12 00:00:00,OMG/USD,4.7252,4.8733,4.5608,4.8106,489353.5789437668,101724.02173196
1644537600000,2022-02-11 00:00:00,OMG/USD,5.0819,5.1903,4.6383,4.7071,1102169.1184128863,234150.35125935
1644451200000,2022-02-10 00:00:00,OMG/USD,5.37,5.4773,5.0581,5.0972,986647.7446035122,193566.6139456
1644364800000,2022-02-09 00:00:00,OMG/USD,5.2184,5.4395,5.1687,5.3621,525996.8596595664,98095.30960996
