https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MOB
1646524800000,2022-03-06 00:00:00,MOB/USD,4.5902,4.5924,4.4981,4.5057,28780.50453652217,6387.57674424
1646438400000,2022-03-05 00:00:00,MOB/USD,4.5627,4.6188,4.4967,4.5982,17475.311085643334,3800.46781037
1646352000000,2022-03-04 00:00:00,MOB/USD,4.7507,4.7578,4.5576,4.5687,27876.416232667216,6101.60794814
1646265600000,2022-03-03 00:00:00,MOB/USD,4.8573,4.9195,4.7136,4.7489,64157.664517074416,13510.00537326
1646179200000,2022-03-02 00:00:00,MOB/USD,4.9,4.9143,4.8266,4.8532,8929.875991436049,1839.99752564
1646092800000,2022-03-01 00:00:00,MOB/USD,4.8703,4.9497,4.8373,4.8825,41340.76633093838,8467.13084095
1646006400000,2022-02-28 00:00:00,MOB/USD,4.6961,4.9062,4.6672,4.8843,36158.588407443094,7403.02364872
1645920000000,2022-02-27 00:00:00,MOB/USD,4.7848,4.811,4.6672,4.6963,3155.7140203057143,671.95750278
1645833600000,2022-02-26 00:00:00,MOB/USD,4.7775,4.8187,4.7263,4.7956,2865.5541828083606,597.5381981
1645747200000,2022-02-25 00:00:00,MOB/USD,4.6304,4.7724,4.6203,4.7585,170458.45986897786,35821.88922328
1645660800000,2022-02-24 00:00:00,MOB/USD,4.7633,4.8483,4.5035,4.6247,33883.49868895649,7326.63712002
1645574400000,2022-02-23 00:00:00,MOB/USD,4.808,4.9575,4.7633,4.7633,32536.428294993537,6830.64856192
1645488000000,2022-02-22 00:00:00,MOB/USD,4.7911,4.9077,4.7389,4.803,10705.90831071888,2229.00443696
1645401600000,2022-02-21 00:00:00,MOB/USD,4.8771,4.9194,4.7875,4.7985,10210.386573432044,2127.82881597
1645315200000,2022-02-20 00:00:00,MOB/USD,5.0328,5.0328,4.736,4.89,35150.3626538685,7188.21322165
1645228800000,2022-02-19 00:00:00,MOB/USD,4.9472,5.1071,4.9472,5.0268,63187.864987360525,12570.19674293
1645142400000,2022-02-18 00:00:00,MOB/USD,5.0896,5.0938,4.9173,4.9432,11721.754166297456,2371.28867258
1645056000000,2022-02-17 00:00:00,MOB/USD,5.4327,5.4801,5.0817,5.09,21765.3753221206,4276.10517134
1644969600000,2022-02-16 00:00:00,MOB/USD,5.4312,5.4517,5.3902,5.4364,972.74658151712,178.9321208
1644883200000,2022-02-15 00:00:00,MOB/USD,5.4794,5.5881,5.3976,5.4232,44107.519780222414,8133.11693838
1644796800000,2022-02-14 00:00:00,MOB/USD,5.3139,5.4962,5.2162,5.4794,28006.724679341343,5111.2758111
1644710400000,2022-02-13 00:00:00,MOB/USD,5.3351,5.4096,5.3068,5.3221,578.42165645761,108.6829741
1644624000000,2022-02-12 00:00:00,MOB/USD,5.4215,5.4883,5.3289,5.3359,19365.31626693334,3629.25022338
1644537600000,2022-02-11 00:00:00,MOB/USD,5.0271,5.4622,5.0204,5.4123,91954.06623325632,16989.83172279
1644451200000,2022-02-10 00:00:00,MOB/USD,5.0438,5.0953,4.9669,5.0272,14605.994094863838,2905.3934784499997
1644364800000,2022-02-09 00:00:00,MOB/USD,4.9721,5.0526,4.9311,5.0504,15410.732720900047,3051.38854762
1644278400000,2022-02-08 00:00:00,MOB/USD,5.0403,5.0763,4.9035,4.9806,23313.339585258393,4680.82953565
1644192000000,2022-02-07 00:00:00,MOB/USD,4.9623,5.0836,4.931,5.0338,11169.385360413211,2218.87746045
1644105600000,2022-02-06 00:00:00,MOB/USD,4.7947,4.9714,4.755,4.9696,25354.203157128253,5101.85993986
1644019200000,2022-02-05 00:00:00,MOB/USD,4.8015,4.8209,4.7415,4.7933,39367.15022676917,8212.9535449
1643932800000,2022-02-04 00:00:00,MOB/USD,4.6729,4.8089,4.6575,4.8045,8101.785740955434,1686.29113143
1643846400000,2022-02-03 00:00:00,MOB/USD,4.6392,4.6781,4.593,4.6633,1225.338735260825,262.76215025
1643760000000,2022-02-02 00:00:00,MOB/USD,4.6789,4.7398,4.61,4.638,20072.92101785928,4327.92604956
1643673600000,2022-02-01 00:00:00,MOB/USD,4.6936,4.6957,4.608,4.681,23962.59455264207,5119.11868247
1643587200000,2022-01-31 00:00:00,MOB/USD,4.7069,4.7807,4.6053,4.7002,37219.058996749096,7918.61176051
1643500800000,2022-01-30 00:00:00,MOB/USD,4.665,4.7424,4.6178,4.7129,58087.652063801164,12325.2460404
1643414400000,2022-01-29 00:00:00,MOB/USD,4.5388,4.6747,4.5349,4.658,45226.11377424096,9709.34172912
1643328000000,2022-01-28 00:00:00,MOB/USD,4.507,4.5771,4.4142,4.538,115230.47128642278,25392.34713231
1643241600000,2022-01-27 00:00:00,MOB/USD,4.5577,4.646,4.423,4.5061,152344.06752077403,33808.40805148
1643155200000,2022-01-26 00:00:00,MOB/USD,4.5137,4.714,4.494,4.5512,132840.05704150288,29187.91901949
1643068800000,2022-01-25 00:00:00,MOB/USD,4.5229,4.6263,4.4647,4.5144,124474.75530816507,27572.82369931
1642982400000,2022-01-24 00:00:00,MOB/USD,4.8192,5.1296,4.263,4.5231,65785.099769224,14544.25057355
1642896000000,2022-01-23 00:00:00,MOB/USD,4.7814,4.904,4.4392,4.8255,74898.67064270332,15521.43210915
1642809600000,2022-01-22 00:00:00,MOB/USD,8.3413,8.36,1.4114,4.7791,387271.51871062664,81034.40369748
1642723200000,2022-01-21 00:00:00,MOB/USD,9.0128,9.0494,8.3424,8.3424,130749.82079483701,15672.92635151
1642636800000,2022-01-20 00:00:00,MOB/USD,8.9485,9.174,8.9485,9.025,20180.40696249825,2236.05617313
1642550400000,2022-01-19 00:00:00,MOB/USD,8.9857,9.023,8.9028,8.9598,10954.226584120524,1222.59722138
1642464000000,2022-01-18 00:00:00,MOB/USD,9.0517,9.067,8.932,8.9852,19022.24959328568,2117.0646834
1642377600000,2022-01-17 00:00:00,MOB/USD,9.1687,9.1937,9.0281,9.062,26066.58921569954,2876.47199467
1642291200000,2022-01-16 00:00:00,MOB/USD,9.4255,9.4255,9.1188,9.172,33472.676707358485,3649.44142034
1642204800000,2022-01-15 00:00:00,MOB/USD,9.464,9.5001,9.3231,9.4377,5376.887800850793,569.72438209
1642118400000,2022-01-14 00:00:00,MOB/USD,9.4271,9.557,9.3374,9.4715,40510.23688155581,4277.0666612
1642032000000,2022-01-13 00:00:00,MOB/USD,9.5551,9.6347,9.4221,9.4281,34595.42255157097,3669.39495249
1641945600000,2022-01-12 00:00:00,MOB/USD,9.279,9.613,9.2195,9.5482,93383.96936631817,9780.26951324
1641859200000,2022-01-11 00:00:00,MOB/USD,9.2105,9.3966,9.054,9.271,141552.2748284097,15268.28549546
1641772800000,2022-01-10 00:00:00,MOB/USD,9.223,9.325,9.0232,9.2107,74363.91406012655,8073.64413781
1641686400000,2022-01-09 00:00:00,MOB/USD,9.0265,9.268,9.0112,9.2284,73118.48148431983,7923.20244943
1641600000000,2022-01-08 00:00:00,MOB/USD,9.2682,9.4334,8.883,9.0271,119045.01960493141,13187.51532662
1641513600000,2022-01-07 00:00:00,MOB/USD,9.158,9.327,9.0,9.2672,39969.81258158797,4313.04089494
1641427200000,2022-01-06 00:00:00,MOB/USD,9.4819,9.5,9.071,9.23,27910.752140516703,3023.91680829
