https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UDC
1644105600000,2022-02-06 00:00:00,UDC/USD,1.0003,1.0006,1.0001,1.0006,65196.42839071419,65157.333990319996
1644019200000,2022-02-05 00:00:00,UDC/USD,1.0003,1.0009,1.0001,1.0003,950044.9044587197,949759.9764657799
1643932800000,2022-02-04 00:00:00,UDC/USD,1.0004,1.0004,1.0001,1.0003,206054.41044934964,205992.61266555
1643846400000,2022-02-03 00:00:00,UDC/USD,1.0004,1.0004,0.9998,1.0004,329233.6394737097,329101.99867424
1643760000000,2022-02-02 00:00:00,UDC/USD,1.0001,1.0004,0.99974,1.0004,130637.93469863739,130585.70041847
1643673600000,2022-02-01 00:00:00,UDC/USD,1.0003,1.0004,1.0,1.0001,512502.817797594,512451.57264033
1643587200000,2022-01-31 00:00:00,UDC/USD,1.0002,1.0005,1.0001,1.0003,227255.60276825028,227187.44653429
1643500800000,2022-01-30 00:00:00,UDC/USD,1.0003,1.0004,1.0001,1.0004,93090.88669187031,93053.66522578
1643414400000,2022-01-29 00:00:00,UDC/USD,1.0005,1.0005,1.0001,1.0003,234919.92361849334,234849.46877786
1643328000000,2022-01-28 00:00:00,UDC/USD,1.0003,1.0008,1.0001,1.0004,853340.0483459726,852998.84880645
1643241600000,2022-01-27 00:00:00,UDC/USD,1.0003,1.001,1.0001,1.0003,1242680.793187237,1242308.10075701
1643155200000,2022-01-26 00:00:00,UDC/USD,1.0004,1.0005,1.0001,1.0002,178999.76172193562,178963.96892815
1643068800000,2022-01-25 00:00:00,UDC/USD,1.0004,1.0008,1.0002,1.0003,430984.96597266797,430855.70925989
1642982400000,2022-01-24 00:00:00,UDC/USD,1.0005,1.0005,1.0001,1.0003,756812.94138999,756585.96560031
1642896000000,2022-01-23 00:00:00,UDC/USD,1.0004,1.0007,1.0003,1.0004,1521144.3365825533,1520536.1221337
1642809600000,2022-01-22 00:00:00,UDC/USD,1.0001,1.0008,1.0,1.0005,3371902.316698797,3370217.20809475
1642723200000,2022-01-21 00:00:00,UDC/USD,1.0001,1.0006,1.0,1.0001,698154.9355098197,698085.12699712
1642636800000,2022-01-20 00:00:00,UDC/USD,1.0004,1.0006,1.0,1.0003,551525.6268667903,551360.21880115
1642550400000,2022-01-19 00:00:00,UDC/USD,1.0003,1.0004,1.0003,1.0003,64498.67188834698,64479.32808992
1642464000000,2022-01-18 00:00:00,UDC/USD,1.0001,1.0004,1.0,1.0003,275839.9300511571,275757.20289029
1642377600000,2022-01-17 00:00:00,UDC/USD,1.0,1.0004,1.0,1.0002,121147.46055098076,121123.2359038
1642291200000,2022-01-16 00:00:00,UDC/USD,1.0002,1.0004,1.0,1.0,78033.91013886,78033.91013886
1642204800000,2022-01-15 00:00:00,UDC/USD,1.0002,1.0004,1.0,1.0002,22767.45734590299,22762.90476495
1642118400000,2022-01-14 00:00:00,UDC/USD,1.0002,1.0004,1.0,1.0002,184304.91825110762,184268.06463818
1642032000000,2022-01-13 00:00:00,UDC/USD,1.0001,1.0004,1.0,1.0,267279.66019373003,267279.66019373003
1641945600000,2022-01-12 00:00:00,UDC/USD,0.99992,1.0004,0.99982,1.0001,148116.6525220538,148101.84233782
1641859200000,2022-01-11 00:00:00,UDC/USD,1.0,1.0002,0.99952,1.0002,549840.7273172021,549730.78116097
1641772800000,2022-01-10 00:00:00,UDC/USD,1.0,1.0,0.99987,1.0,190434.46576627,190434.46576627
1641686400000,2022-01-09 00:00:00,UDC/USD,1.0,1.0,0.99984,1.0,39598.45445752,39598.45445752
1641600000000,2022-01-08 00:00:00,UDC/USD,1.0002,1.0003,0.99981,0.99991,497672.2212196224,497717.01575104
1641513600000,2022-01-07 00:00:00,UDC/USD,1.0002,1.0005,1.0002,1.0003,150788.6198070764,150743.39678804
1641427200000,2022-01-06 00:00:00,UDC/USD,1.0001,1.0006,1.0,1.0003,471117.7286857465,470976.43575502
1641340800000,2022-01-05 00:00:00,UDC/USD,1.0003,1.0005,1.0001,1.0001,320804.2227403126,320772.14552576
1641254400000,2022-01-04 00:00:00,UDC/USD,1.0001,1.0006,1.0001,1.0002,234645.82949536268,234598.90971342
1641168000000,2022-01-03 00:00:00,UDC/USD,1.0,1.0004,1.0,1.0001,98720.28334962085,98710.41230839
1641081600000,2022-01-02 00:00:00,UDC/USD,1.0001,1.0003,1.0,1.0,37598.42893927,37598.42893927
1640995200000,2022-01-01 00:00:00,UDC/USD,1.0002,1.0003,1.0,1.0001,34785.43726478689,34781.95906888
