https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XTZ
1642636800000,2022-01-20 00:00:00,XTZ/USD,3.8802,4.0869,3.6815,3.7105,1863053.4918093006,502103.08363005
1642550400000,2022-01-19 00:00:00,XTZ/USD,4.1176,4.1431,3.8139,3.8792,2798740.0892069447,721473.52268688
1642464000000,2022-01-18 00:00:00,XTZ/USD,4.0516,4.2041,3.9284,4.1121,3393964.8606346864,825360.48749658
1642377600000,2022-01-17 00:00:00,XTZ/USD,4.2948,4.3059,4.002,4.0519,2690366.331173427,663976.48786333
1642291200000,2022-01-16 00:00:00,XTZ/USD,4.2758,4.3433,4.1961,4.2925,1747670.405572779,407145.11486844
1642204800000,2022-01-15 00:00:00,XTZ/USD,4.2892,4.3595,4.2314,4.2814,1568652.4732214045,366387.74074401
1642118400000,2022-01-14 00:00:00,XTZ/USD,4.1257,4.3159,4.0771,4.2876,4065055.3377123484,948095.75000288
1642032000000,2022-01-13 00:00:00,XTZ/USD,4.3881,4.423,4.095,4.1195,3060325.0485331467,742887.49812675
1641945600000,2022-01-12 00:00:00,XTZ/USD,4.1736,4.4537,4.1495,4.3843,3621587.5118675744,826035.5157876
1641859200000,2022-01-11 00:00:00,XTZ/USD,4.0304,4.2176,3.9337,4.1732,3677092.6564286826,881120.64037877
1641772800000,2022-01-10 00:00:00,XTZ/USD,4.215,4.2573,3.7865,4.0264,4364477.926563602,1083965.310591
1641686400000,2022-01-09 00:00:00,XTZ/USD,4.0034,4.3418,3.9713,4.2134,3999714.2440696196,949284.24646832
1641600000000,2022-01-08 00:00:00,XTZ/USD,4.2564,4.3654,3.8655,4.0028,3241382.4544981625,809778.7684866
1641513600000,2022-01-07 00:00:00,XTZ/USD,4.4494,4.4821,4.057,4.256,7760398.984396646,1823402.01701049
1641427200000,2022-01-06 00:00:00,XTZ/USD,4.5066,4.537,4.2157,4.4538,7552884.935859579,1695829.38970308
1641340800000,2022-01-05 00:00:00,XTZ/USD,5.0427,5.3,4.2798,4.5066,7610065.133288182,1688648.90012164
1641254400000,2022-01-04 00:00:00,XTZ/USD,4.8103,5.3568,4.5869,5.0329,12846658.272135228,2552535.96775919
1641168000000,2022-01-03 00:00:00,XTZ/USD,4.6536,5.0468,4.5191,4.8076,6252396.419577278,1300523.42532184
1641081600000,2022-01-02 00:00:00,XTZ/USD,4.749,4.7855,4.5823,4.6536,1329237.8545672905,285636.46522419
1640995200000,2022-01-01 00:00:00,XTZ/USD,4.3433,4.7765,4.3433,4.7399,5438804.778075311,1147451.37620526
1640908800000,2021-12-31 00:00:00,XTZ/USD,4.3472,4.518,4.1859,4.3433,3680910.3562847725,847491.62072267
1640822400000,2021-12-30 00:00:00,XTZ/USD,4.3735,4.52,4.2184,4.3376,2067835.9436922558,476723.52077007
1640736000000,2021-12-29 00:00:00,XTZ/USD,4.4872,4.5372,4.2123,4.3745,1773260.4450404365,405363.00035214
1640649600000,2021-12-28 00:00:00,XTZ/USD,5.107,5.1072,4.4339,4.4803,2744548.4391555516,612581.39837858
1640563200000,2021-12-27 00:00:00,XTZ/USD,4.8712,5.1703,4.7743,5.1014,2390613.3155369842,468619.06840024
1640476800000,2021-12-26 00:00:00,XTZ/USD,4.5906,4.9415,4.4623,4.8613,6312865.650140545,1298596.18829131
