https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ATO
1645574400000,2022-02-23 00:00:00,ATO/USD,24.839,26.935,24.617,25.196,1075607.0281292293,42689.5947027
1645488000000,2022-02-22 00:00:00,ATO/USD,23.91,24.904,23.065,24.852,1276101.5636851625,51348.04296174
1645401600000,2022-02-21 00:00:00,ATO/USD,26.173,27.314,23.668,23.837,2237034.05427064,93847.13069055
1645315200000,2022-02-20 00:00:00,ATO/USD,26.738,26.86,25.472,26.122,1405834.1306862966,53818.01281243
1645228800000,2022-02-19 00:00:00,ATO/USD,26.883,27.418,26.089,26.7,981610.87521918,36764.4522554
1645142400000,2022-02-18 00:00:00,ATO/USD,28.084,29.051,26.757,26.924,1724724.3164026954,64058.99258664
1645056000000,2022-02-17 00:00:00,ATO/USD,28.566,30.847,27.57,28.145,2050717.4711308056,72862.58557935
1644969600000,2022-02-16 00:00:00,ATO/USD,28.918,29.193,27.633,28.499,1403460.4565180473,49245.95447272
1644883200000,2022-02-15 00:00:00,ATO/USD,27.193,29.213,27.193,28.984,1228403.8586152566,42382.13699335
1644796800000,2022-02-14 00:00:00,ATO/USD,26.248,27.439,25.404,27.18,1907348.1208218539,70174.6917153
1644710400000,2022-02-13 00:00:00,ATO/USD,27.008,27.643,25.932,26.21,959214.5832637977,36597.27521037
1644624000000,2022-02-12 00:00:00,ATO/USD,26.524,28.342,26.06,27.032,2248475.7357739112,83178.29741691
1644537600000,2022-02-11 00:00:00,ATO/USD,29.101,29.377,26.232,26.609,2006835.7429816239,75419.43488976
1644451200000,2022-02-10 00:00:00,ATO/USD,30.927,31.317,28.781,29.139,1994049.5316462507,68432.32546231
1644364800000,2022-02-09 00:00:00,ATO/USD,30.45,31.478,29.604,30.96,1937641.030212593,62585.30459343
1644278400000,2022-02-08 00:00:00,ATO/USD,31.675,32.635,29.765,30.417,2936544.26592141,96542.86306741
1644192000000,2022-02-07 00:00:00,ATO/USD,31.323,33.186,30.549,31.669,2850549.935065951,90010.73400063
1644105600000,2022-02-06 00:00:00,ATO/USD,30.811,31.981,30.158,31.326,2008610.6048726782,64119.60048754
1644019200000,2022-02-05 00:00:00,ATO/USD,31.1,32.277,30.004,30.759,1986694.407687213,64589.044107
1643932800000,2022-02-04 00:00:00,ATO/USD,29.608,31.386,28.591,31.097,2529167.8510520644,81331.57060334
1643846400000,2022-02-03 00:00:00,ATO/USD,26.287,29.754,25.618,29.709,4426155.2251585135,148983.64889961
1643760000000,2022-02-02 00:00:00,ATO/USD,28.867,28.99,26.163,26.357,2143408.451977556,81322.1706559
1643673600000,2022-02-01 00:00:00,ATO/USD,28.076,29.822,27.829,28.864,2242789.681659606,77701.97067834
1643587200000,2022-01-31 00:00:00,ATO/USD,27.219,28.958,25.55,28.121,2476653.387445647,88071.312807
1643500800000,2022-01-30 00:00:00,ATO/USD,29.059,29.194,26.421,27.204,1989506.0619937817,73132.85038942
1643414400000,2022-01-29 00:00:00,ATO/USD,29.474,30.232,28.391,29.093,1780850.3233874994,61212.33023021
1643328000000,2022-01-28 00:00:00,ATO/USD,29.935,30.304,27.766,29.476,2999034.9258345994,101744.97644981
1643241600000,2022-01-27 00:00:00,ATO/USD,32.36,32.954,28.574,30.06,3689474.0402571317,122736.99402053
1643155200000,2022-01-26 00:00:00,ATO/USD,35.936,36.3,31.267,32.318,5207414.814078162,161130.4788068
1643068800000,2022-01-25 00:00:00,ATO/USD,36.059,37.6,34.82,35.77,5240360.213440238,146501.54356836
1642982400000,2022-01-24 00:00:00,ATO/USD,34.556,37.034,29.909,36.009,13865167.319423327,385047.27483194
1642896000000,2022-01-23 00:00:00,ATO/USD,29.299,34.756,29.183,34.697,10248164.663590694,295361.69304524
1642809600000,2022-01-22 00:00:00,ATO/USD,34.588,35.067,27.364,29.315,12751687.216024615,434988.4774356
1642723200000,2022-01-21 00:00:00,ATO/USD,38.976,41.054,32.145,34.618,15579604.07514211,450043.44777694
1642636800000,2022-01-20 00:00:00,ATO/USD,37.078,42.095,36.972,39.058,6088976.667455531,155895.76187863
1642550400000,2022-01-19 00:00:00,ATO/USD,38.284,38.833,35.343,37.067,5073927.657611589,136885.30654252
1642464000000,2022-01-18 00:00:00,ATO/USD,39.155,40.073,36.293,38.283,6547098.257809977,171018.422219
1642377600000,2022-01-17 00:00:00,ATO/USD,43.645,44.514,37.923,39.149,9282272.480902608,237101.13874946
1642291200000,2022-01-16 00:00:00,ATO/USD,39.081,43.787,38.786,43.645,6780250.32899553,155349.99035389
1642204800000,2022-01-15 00:00:00,ATO/USD,40.508,40.895,39.17,39.258,5163886.012244067,131537.1647115
1642118400000,2022-01-14 00:00:00,ATO/USD,37.611,40.788,36.77,40.529,6188687.2653744705,152697.75383983
1642032000000,2022-01-13 00:00:00,ATO/USD,40.217,41.297,37.484,37.638,5807706.454672514,154304.33218217
1641945600000,2022-01-12 00:00:00,ATO/USD,38.68,42.316,38.618,40.239,7756018.504723675,192748.78860617
1641859200000,2022-01-11 00:00:00,ATO/USD,37.939,39.973,36.179,38.658,7805443.374226359,201910.17057857
1641772800000,2022-01-10 00:00:00,ATO/USD,34.967,38.14,32.976,37.9,8802903.52706983,232266.5838277
1641686400000,2022-01-09 00:00:00,ATO/USD,35.809,38.069,34.138,34.963,7812599.898971539,223453.36209626
1641600000000,2022-01-08 00:00:00,ATO/USD,38.597,40.291,31.869,35.871,12699782.935916586,354040.39296135
1641513600000,2022-01-07 00:00:00,ATO/USD,40.079,44.634,37.757,38.547,19916002.232264057,516668.02169466
1641427200000,2022-01-06 00:00:00,ATO/USD,38.715,41.412,35.485,40.07,19869905.49793484,495879.84771487
1641340800000,2022-01-05 00:00:00,ATO/USD,42.079,43.212,34.652,38.648,8822546.684302995,228279.51470459
1641254400000,2022-01-04 00:00:00,ATO/USD,39.248,43.9,37.502,42.197,9197537.524498167,217966.62143039
1641168000000,2022-01-03 00:00:00,ATO/USD,35.529,39.795,34.249,39.238,8246105.674027964,210156.11585779
1641081600000,2022-01-02 00:00:00,ATO/USD,36.341,36.841,34.264,35.548,3840878.915034359,108047.67961726
1640995200000,2022-01-01 00:00:00,ATO/USD,32.534,37.0,32.409,36.323,6165028.07600121,169727.94306641
1640908800000,2021-12-31 00:00:00,ATO/USD,30.172,33.264,30.171,32.419,3372140.7748772344,104017.42110729
1640822400000,2021-12-30 00:00:00,ATO/USD,27.964,30.51,26.447,30.196,2630044.1269871076,87099.09017708
