https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZEC
1642204800000,2022-01-15 00:00:00,ZEC/USD,142.96,146.69,141.12,144.37,1323261.079852954,9165.76213793
1642118400000,2022-01-14 00:00:00,ZEC/USD,143.49,144.81,136.63,142.78,1979446.5726637098,13863.61235932
1642032000000,2022-01-13 00:00:00,ZEC/USD,144.42,149.75,140.91,143.24,1781310.682332166,12435.84670715
1641945600000,2022-01-12 00:00:00,ZEC/USD,141.41,147.97,140.85,144.48,1288968.4108912128,8921.43141536
1641859200000,2022-01-11 00:00:00,ZEC/USD,141.31,145.66,137.95,141.48,1587572.7334747596,11221.18132227
1641772800000,2022-01-10 00:00:00,ZEC/USD,144.06,148.98,136.47,141.31,3194961.806171382,22609.5945522
1641686400000,2022-01-09 00:00:00,ZEC/USD,143.38,146.68,133.57,144.02,3131354.7138391715,21742.49905457
1641600000000,2022-01-08 00:00:00,ZEC/USD,139.84,156.25,136.34,143.54,4206592.542365201,29306.06480678
1641513600000,2022-01-07 00:00:00,ZEC/USD,137.08,143.31,131.08,139.49,3253372.6637040735,23323.33976417
1641427200000,2022-01-06 00:00:00,ZEC/USD,136.61,138.72,129.86,137.14,2437602.7752760956,17774.55720633
1641340800000,2022-01-05 00:00:00,ZEC/USD,147.84,151.3,128.0,136.8,1716642.7555205522,12548.55815439
1641254400000,2022-01-04 00:00:00,ZEC/USD,150.76,156.21,147.22,147.22,1334549.2239181763,9064.99948321
1641168000000,2022-01-03 00:00:00,ZEC/USD,153.2,154.19,147.04,150.64,545274.9976982671,3619.72250198
1641081600000,2022-01-02 00:00:00,ZEC/USD,150.43,155.44,147.09,153.27,972830.0980905507,6347.16577341
1640995200000,2022-01-01 00:00:00,ZEC/USD,146.75,150.86,145.72,150.28,465034.3951929312,3094.45298904
1640908800000,2021-12-31 00:00:00,ZEC/USD,153.34,156.9,142.85,146.68,861180.1838857481,5871.1493311
1640822400000,2021-12-30 00:00:00,ZEC/USD,146.47,153.91,143.88,153.7,816946.61499726,5315.2024398
1640736000000,2021-12-29 00:00:00,ZEC/USD,149.59,151.4,140.95,146.66,626910.8209605301,4274.58626047
1640649600000,2021-12-28 00:00:00,ZEC/USD,169.32,170.5,148.59,149.54,2698506.1498740995,18045.380165
1640563200000,2021-12-27 00:00:00,ZEC/USD,167.77,173.8,166.32,169.65,1095063.488320581,6454.83930634
1640476800000,2021-12-26 00:00:00,ZEC/USD,169.72,172.22,163.38,167.44,1127382.4183426166,6733.05314347
1640390400000,2021-12-25 00:00:00,ZEC/USD,164.9,172.25,164.7,169.39,916717.5585559381,5411.87530879
1640304000000,2021-12-24 00:00:00,ZEC/USD,167.47,170.91,162.65,164.91,1618061.4284111639,9811.78478207
1640217600000,2021-12-23 00:00:00,ZEC/USD,165.81,169.92,156.66,167.18,2699562.8231498054,16147.64220092
1640131200000,2021-12-22 00:00:00,ZEC/USD,162.24,168.9,160.23,165.37,1827811.9494927719,11052.86297087
1640044800000,2021-12-21 00:00:00,ZEC/USD,156.51,162.9,155.7,162.35,5574081.57538128,34333.73314063
1639958400000,2021-12-20 00:00:00,ZEC/USD,157.33,164.73,149.53,156.55,2784007.0203984394,17783.50060938
1639872000000,2021-12-19 00:00:00,ZEC/USD,157.68,167.47,155.76,157.98,2688057.9547008825,17015.17884986
1639785600000,2021-12-18 00:00:00,ZEC/USD,149.8,165.37,149.21,157.76,4482791.13348686,28415.25819908
1639699200000,2021-12-17 00:00:00,ZEC/USD,152.37,154.3,145.44,150.17,1010030.4383230881,6725.91355346
1639612800000,2021-12-16 00:00:00,ZEC/USD,159.99,166.77,151.39,152.27,2301641.7700720145,15115.53011146
1639526400000,2021-12-15 00:00:00,ZEC/USD,151.49,162.5,143.51,159.43,2731557.637087176,17133.27251513
1639440000000,2021-12-14 00:00:00,ZEC/USD,147.96,155.58,143.74,151.86,1592904.1954641296,10489.29405679
1639353600000,2021-12-13 00:00:00,ZEC/USD,170.34,172.25,146.2,148.02,1649641.1806680942,11144.71815071
1639267200000,2021-12-12 00:00:00,ZEC/USD,168.39,173.0,161.01,169.78,1263347.6546575585,7441.08643337
