https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OMN
1644883200000,2022-02-15 00:00:00,OMN/USD,3.2663,3.2663,2.83,2.83,195.3087417378,69.01368966
1644796800000,2022-02-14 00:00:00,OMN/USD,2.8398,3.295,2.8,3.295,395.2682,119.96
1644710400000,2022-02-13 00:00:00,OMN/USD,2.8,2.9441,2.8,2.9441,7.7724227634780005,2.63999958
1644537600000,2022-02-11 00:00:00,OMN/USD,2.8001,2.8001,2.8001,2.8001,9.80035,3.5
1644451200000,2022-02-10 00:00:00,OMN/USD,2.8966,2.8966,2.8388,2.8388,178.70246,62.95
1644364800000,2022-02-09 00:00:00,OMN/USD,2.9313,2.9313,2.9266,2.9266,21.5930050008,7.378188
1644278400000,2022-02-08 00:00:00,OMN/USD,3.0823,3.13,3.0695,3.13,67.1985231962,21.46917674
1644019200000,2022-02-05 00:00:00,OMN/USD,2.9016,2.9016,2.9016,2.9016,6.962763506400001,2.399629
1643414400000,2022-01-29 00:00:00,OMN/USD,3.1025,3.1025,3.1025,3.1025,3.1025,1.0
1643328000000,2022-01-28 00:00:00,OMN/USD,2.982,3.0841,2.8966,3.0841,37.658571781111,12.21055471
1643241600000,2022-01-27 00:00:00,OMN/USD,2.921,3.078,2.8961,3.07,38.176479371,12.4353353
1643155200000,2022-01-26 00:00:00,OMN/USD,3.04,3.082,3.04,3.082,20.187650383559998,6.55017858
1643068800000,2022-01-25 00:00:00,OMN/USD,3.04,3.04,3.04,3.04,5.8869900048,1.93650987
1642982400000,2022-01-24 00:00:00,OMN/USD,2.901,3.08,2.895,3.08,94.735502554,30.75828005
1642896000000,2022-01-23 00:00:00,OMN/USD,3.02,3.02,2.91,2.91,456.7467099057,156.95763227
1642809600000,2022-01-22 00:00:00,OMN/USD,3.2121,3.2869,3.02,3.02,639.5260597992,211.76359596
1642723200000,2022-01-21 00:00:00,OMN/USD,3.1042,3.3192,3.1011,3.2121,176.41892362531502,54.923235150000004
1642550400000,2022-01-19 00:00:00,OMN/USD,3.058,3.058,3.058,3.058,1.83480003058,0.60000001
1642464000000,2022-01-18 00:00:00,OMN/USD,3.058,3.1194,3.058,3.1194,3.7432800311940007,1.2000000100000001
1642377600000,2022-01-17 00:00:00,OMN/USD,3.058,3.1206,3.058,3.1206,3.74472,1.2
1642291200000,2022-01-16 00:00:00,OMN/USD,3.055,3.3449,3.055,3.1212,133.326133132356,42.71630563
1642204800000,2022-01-15 00:00:00,OMN/USD,3.138,3.138,3.138,3.138,4.132234192199999,1.3168369
1642118400000,2022-01-14 00:00:00,OMN/USD,3.3936,3.3936,3.0138,3.2959,215.641969971918,65.42734002
1642032000000,2022-01-13 00:00:00,OMN/USD,3.0968,3.2,2.9,3.2,786.5635930880001,245.80112284
1641945600000,2022-01-12 00:00:00,OMN/USD,3.37,3.37,3.0968,3.11,490.61965814990003,157.75551709
1641859200000,2022-01-11 00:00:00,OMN/USD,3.181,3.5,3.1341,3.48,94.225987536,27.0764332
1641772800000,2022-01-10 00:00:00,OMN/USD,3.315,3.65,3.138,3.65,350.941151117,96.14826058
1641686400000,2022-01-09 00:00:00,OMN/USD,3.69,3.69,3.231,3.67,753.8918786780999,205.42013043
1641600000000,2022-01-08 00:00:00,OMN/USD,3.27,3.73,3.2015,3.2197,476.450938990279,147.97991707
1641513600000,2022-01-07 00:00:00,OMN/USD,3.1385,3.36,3.1385,3.27,567.3314298596999,173.49585011
1641427200000,2022-01-06 00:00:00,OMN/USD,3.138,3.27,3.138,3.1385,368.31375869769,117.35343594
1641254400000,2022-01-04 00:00:00,OMN/USD,3.138,3.138,3.138,3.138,57.23668337868,18.23986086
1641168000000,2022-01-03 00:00:00,OMN/USD,3.1989,3.2199,3.138,3.138,82.42937490066,26.268124569999998
1641081600000,2022-01-02 00:00:00,OMN/USD,3.4772,3.4772,3.08,3.08,512.5889595287999,166.42498686
1640995200000,2022-01-01 00:00:00,OMN/USD,3.1572,3.1949,3.1572,3.1949,20.121360774638,6.29796262
1640908800000,2021-12-31 00:00:00,OMN/USD,3.1024,3.4479,3.05,3.05,2595.9689567839996,851.13736288
1640822400000,2021-12-30 00:00:00,OMN/USD,3.12,3.12,3.0502,3.0751,588.747764789401,191.45646151
1640736000000,2021-12-29 00:00:00,OMN/USD,3.2446,3.2446,3.1222,3.1222,647.5792704953999,207.411207
1640649600000,2021-12-28 00:00:00,OMN/USD,3.4973,3.4974,3.2498,3.2498,390.012936836824,120.01136588
1640563200000,2021-12-27 00:00:00,OMN/USD,3.59,4.2411,3.2292,3.36,96922.48611528,28845.9780105
1640476800000,2021-12-26 00:00:00,OMN/USD,3.4576,3.6,3.4576,3.6,817.6403923920001,227.12233122
1640390400000,2021-12-25 00:00:00,OMN/USD,3.3749,3.3778,3.3749,3.3778,70.40348540000001,20.843
1640131200000,2021-12-22 00:00:00,OMN/USD,3.5101,3.5101,3.4279,3.4279,8.575513191154,2.50168126
1640044800000,2021-12-21 00:00:00,OMN/USD,3.1951,3.4251,3.1,3.4251,813.6854902694699,237.5654697
1639958400000,2021-12-20 00:00:00,OMN/USD,3.4296,3.44,3.143,3.143,364.55264433013997,115.98875097999999
1639872000000,2021-12-19 00:00:00,OMN/USD,3.0999,3.2869,3.0999,3.2869,63.084825331115006,19.192803350000002
1639785600000,2021-12-18 00:00:00,OMN/USD,3.4008,3.44,3.1061,3.1061,72.596671584172,23.37229052
1639699200000,2021-12-17 00:00:00,OMN/USD,3.1652,3.6999,3.034,3.2118,1867.3029397880941,581.38829933
1639612800000,2021-12-16 00:00:00,OMN/USD,3.144,3.3524,3.034,3.1555,408.60714570957003,129.49045974
1639526400000,2021-12-15 00:00:00,OMN/USD,3.402,3.6305,3.402,3.6305,153.718657526665,42.34090553
1639440000000,2021-12-14 00:00:00,OMN/USD,3.1844,3.49,3.1844,3.3649,141.3258,42.0
1639353600000,2021-12-13 00:00:00,OMN/USD,3.112,3.112,3.111,3.111,36.809915091,11.832181
1639267200000,2021-12-12 00:00:00,OMN/USD,3.2,3.2,3.19,3.19,47.86595,15.004999999999999
1639180800000,2021-12-11 00:00:00,OMN/USD,3.4,3.4,3.2,3.2,47.952,14.985
1639094400000,2021-12-10 00:00:00,OMN/USD,3.3376,3.5001,3.1111,3.4,222.711801468,65.50347102
1639008000000,2021-12-09 00:00:00,OMN/USD,3.1588,3.1588,3.1588,3.1588,50.175765913199996,15.884439
1638835200000,2021-12-07 00:00:00,OMN/USD,3.3845,3.4242,3.1111,3.1111,720.865386213791,231.70755881
1638748800000,2021-12-06 00:00:00,OMN/USD,3.5,3.5986,3.1739,3.1739,258.122696044829,81.32666311
1638662400000,2021-12-05 00:00:00,OMN/USD,3.2981,3.495,3.169,3.495,1326.1663554612,379.44673976
1638576000000,2021-12-04 00:00:00,OMN/USD,3.4101,3.4101,3.1991,3.3076,1206.355396161556,364.72227481
