https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume PLU
1645833600000,2022-02-26 00:00:00,PLU/USD,7.8326,8.0483,7.7969,7.8712,13518.248235208128,1717.43167944
1645747200000,2022-02-25 00:00:00,PLU/USD,7.6622,8.1367,7.5676,7.8998,20657.391229277015,2614.92584993
1645660800000,2022-02-24 00:00:00,PLU/USD,8.3577,8.6264,7.0102,7.6616,28637.775007916127,3737.83217708
1645574400000,2022-02-23 00:00:00,PLU/USD,8.1405,9.8903,7.9085,8.3576,84649.0139824186,10128.38781258
1645488000000,2022-02-22 00:00:00,PLU/USD,8.41,8.7721,7.57,7.9795,19760.355906594643,2476.39023831
1645401600000,2022-02-21 00:00:00,PLU/USD,9.1884,9.4793,8.41,8.41,18355.981007230697,2182.63745627
1645315200000,2022-02-20 00:00:00,PLU/USD,9.3152,9.778,8.4,9.1885,21844.216739337287,2377.34306354
1645228800000,2022-02-19 00:00:00,PLU/USD,11.734,11.778,9.3151,9.3152,36499.80561075079,3918.30616742
1645142400000,2022-02-18 00:00:00,PLU/USD,8.9155,12.922,8.905,11.691,87298.24210313616,7467.13216176
1645056000000,2022-02-17 00:00:00,PLU/USD,8.8526,9.005,8.119,8.9568,20542.58333063021,2293.51814606
1644969600000,2022-02-16 00:00:00,PLU/USD,9.1568,9.2045,8.6202,8.8205,52911.708424840916,5998.71984863
1644883200000,2022-02-15 00:00:00,PLU/USD,9.1717,9.3686,8.9218,9.2044,9547.752365174103,1037.30306866
1644796800000,2022-02-14 00:00:00,PLU/USD,9.3155,10.146,8.8888,9.1718,18033.766493720887,1966.21889855
1644710400000,2022-02-13 00:00:00,PLU/USD,9.3219,9.7779,9.1717,9.3154,8513.633068328767,913.93102479
1644624000000,2022-02-12 00:00:00,PLU/USD,10.086,10.613,9.14,9.2581,22608.67756589171,2442.04292089
1644537600000,2022-02-11 00:00:00,PLU/USD,11.682,11.688,9.691,10.022,44721.71329320418,4462.35415019
1644451200000,2022-02-10 00:00:00,PLU/USD,10.69,11.893,10.545,11.81,57327.03561545951,4854.10970495
1644364800000,2022-02-09 00:00:00,PLU/USD,10.297,11.242,10.066,10.691,55604.19125919393,5201.02808523
1644278400000,2022-02-08 00:00:00,PLU/USD,11.309,11.581,9.832,10.299,52465.44032787822,5094.22665578
1644192000000,2022-02-07 00:00:00,PLU/USD,12.062,13.334,11.157,11.35,43582.147329057996,3839.83676908
1644105600000,2022-02-06 00:00:00,PLU/USD,13.079,13.087,11.967,12.015,39639.16144465965,3299.13952931
1644019200000,2022-02-05 00:00:00,PLU/USD,11.932,13.875,11.813,13.077,83018.79632665736,6348.45884581
1643932800000,2022-02-04 00:00:00,PLU/USD,11.786,13.1,11.285,12.068,60285.99911307176,4995.52528282
1643846400000,2022-02-03 00:00:00,PLU/USD,13.161,13.334,11.573,11.786,13007.613619872001,1103.649552
1643760000000,2022-02-02 00:00:00,PLU/USD,14.858,14.943,12.966,13.232,88864.09055715168,6715.84723074
1643673600000,2022-02-01 00:00:00,PLU/USD,16.009,16.466,14.606,14.836,149824.93885266501,10098.74217125
1643587200000,2022-01-31 00:00:00,PLU/USD,16.559,17.629,14.842,16.017,130557.0212121928,8151.15322546
1643500800000,2022-01-30 00:00:00,PLU/USD,16.142,17.169,16.048,16.574,242270.69386938313,14617.51501565
1643414400000,2022-01-29 00:00:00,PLU/USD,16.399,18.186,14.808,16.142,185514.8008332466,11492.67753892
1643328000000,2022-01-28 00:00:00,PLU/USD,13.695,18.102,13.534,16.451,361249.35197641177,21959.11202823
1643241600000,2022-01-27 00:00:00,PLU/USD,16.135,16.137,12.808,13.695,134677.62124588035,9834.07238013
1643155200000,2022-01-26 00:00:00,PLU/USD,17.905,21.001,15.223,16.18,193556.217374786,11962.6833977
1643068800000,2022-01-25 00:00:00,PLU/USD,13.542,22.252,12.75,17.774,535158.2674149864,30109.05071537
1642982400000,2022-01-24 00:00:00,PLU/USD,6.9888,18.879,6.281,13.373,353721.5095920105,26450.42321035
1642896000000,2022-01-23 00:00:00,PLU/USD,6.0336,7.4041,5.8493,6.9937,72529.8255383749,10370.73731192
1642809600000,2022-01-22 00:00:00,PLU/USD,7.5875,7.6362,5.72,6.0336,21610.69199652816,3581.7243431
1642723200000,2022-01-21 00:00:00,PLU/USD,8.62,8.909,6.9399,7.6291,82855.13557309668,10860.4075937
1642636800000,2022-01-20 00:00:00,PLU/USD,8.367,9.7,8.086,8.62,29494.877338875394,3421.67950567
1642550400000,2022-01-19 00:00:00,PLU/USD,7.9936,8.917,7.6393,8.3758,44353.270356491266,5295.40704846
1642464000000,2022-01-18 00:00:00,PLU/USD,7.5897,8.4354,7.1087,8.1014,87116.99434734191,10753.32588779
1642377600000,2022-01-17 00:00:00,PLU/USD,6.839,7.8695,6.6221,7.5667,41623.913458532086,5500.93349261
1642291200000,2022-01-16 00:00:00,PLU/USD,7.0861,7.2562,6.7747,6.839,19646.03124997667,2872.64676853
1642204800000,2022-01-15 00:00:00,PLU/USD,6.0891,7.7484,5.8963,7.0848,77080.44568635014,10879.69253703
1642118400000,2022-01-14 00:00:00,PLU/USD,5.8964,6.3656,5.7096,6.0801,74497.85266626086,12252.73476855
1642032000000,2022-01-13 00:00:00,PLU/USD,7.2823,7.4185,5.54,5.8826,71819.47415652446,12208.7978371
1641945600000,2022-01-12 00:00:00,PLU/USD,6.8909,7.9619,6.6739,7.2195,58754.202903004574,8138.26482485
1641859200000,2022-01-11 00:00:00,PLU/USD,5.5333,7.0599,5.1312,6.8878,152911.7978737332,22200.38297769
1641772800000,2022-01-10 00:00:00,PLU/USD,4.9626,6.21,4.8092,5.5272,200461.5701579274,36268.19549825
1641686400000,2022-01-09 00:00:00,PLU/USD,5.0001,5.8609,4.5351,4.9431,50179.62529557258,10151.44854354
1641600000000,2022-01-08 00:00:00,PLU/USD,5.1576,5.5945,4.7701,5.0971,39251.82901340528,7700.8159568
1641513600000,2022-01-07 00:00:00,PLU/USD,5.9408,6.0203,5.0089,5.2156,29023.69238276867,5564.78494953
1641427200000,2022-01-06 00:00:00,PLU/USD,5.2263,6.6351,4.9667,5.9408,27989.48568378192,4711.4000949
1641340800000,2022-01-05 00:00:00,PLU/USD,5.5199,5.5945,4.9648,5.0587,42540.003420712266,8409.27578641
1641254400000,2022-01-04 00:00:00,PLU/USD,5.3061,5.818,5.2475,5.513,17827.51111796408,3233.72231416
1641168000000,2022-01-03 00:00:00,PLU/USD,5.4975,5.6819,5.2475,5.3911,15306.82521853156,2839.27681151
1641081600000,2022-01-02 00:00:00,PLU/USD,5.621,5.8609,5.2475,5.5834,12799.386541960395,2292.40006841
1640995200000,2022-01-01 00:00:00,PLU/USD,5.4174,5.662,5.3296,5.6299,10205.494162599176,1812.73098325
1640908800000,2021-12-31 00:00:00,PLU/USD,5.7705,6.0,5.3645,5.4515,14264.879576510502,2616.688907
1640822400000,2021-12-30 00:00:00,PLU/USD,5.7037,6.0456,5.5549,5.7705,23602.365791928678,4090.17689835
1640736000000,2021-12-29 00:00:00,PLU/USD,5.9965,6.112,5.7233,5.739,24364.209231729506,4245.37536709
1640649600000,2021-12-28 00:00:00,PLU/USD,6.2244,6.2244,5.987,6.0363,29140.594451700817,4827.55900994
1640563200000,2021-12-27 00:00:00,PLU/USD,5.8538,6.3512,5.8358,6.2245,47738.60116259606,7669.46761388
1640476800000,2021-12-26 00:00:00,PLU/USD,6.0842,6.1082,5.7616,5.8822,47557.70251158486,8085.01963748
1640390400000,2021-12-25 00:00:00,PLU/USD,6.1332,6.1333,5.9643,6.0842,815.714072311116,134.07088398
1640304000000,2021-12-24 00:00:00,PLU/USD,6.0511,6.1759,5.9617,6.1332,13719.688736015783,2236.9544016199998
1640217600000,2021-12-23 00:00:00,PLU/USD,5.8283,6.0491,5.4975,6.0491,68855.40745416019,11382.75238534
1640131200000,2021-12-22 00:00:00,PLU/USD,5.6524,6.1,5.4554,5.8284,69615.58293513714,11944.20131342
1640044800000,2021-12-21 00:00:00,PLU/USD,5.9701,6.3335,5.3883,5.6489,418507.7391877571,74086.59016583
1639958400000,2021-12-20 00:00:00,PLU/USD,6.1154,6.3715,5.6377,5.97,77730.6835388361,13020.21499813
1639872000000,2021-12-19 00:00:00,PLU/USD,6.1616,6.2129,5.6027,6.2129,77488.83148773522,12472.24830397
1639785600000,2021-12-18 00:00:00,PLU/USD,6.0086,6.2919,5.9607,6.1636,10507.888046087362,1704.82965249
