https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GRT
1648684800000,2022-03-31 00:00:00,GRT/USD,0.48076,0.52558,0.46207,0.46701,307820.72963314713,659130.91718196
1648598400000,2022-03-30 00:00:00,GRT/USD,0.48613,0.49857,0.45911,0.4799,226459.16232966556,471888.23156838
1648512000000,2022-03-29 00:00:00,GRT/USD,0.43125,0.49363,0.43125,0.49051,386786.82882119477,788540.14968338
1648425600000,2022-03-28 00:00:00,GRT/USD,0.42901,0.48783,0.42492,0.42897,331182.14897875075,772040.3500915
1648339200000,2022-03-27 00:00:00,GRT/USD,0.41085,0.43177,0.40645,0.43177,115073.70718160381,266516.21738797
1648252800000,2022-03-26 00:00:00,GRT/USD,0.41027,0.41698,0.40628,0.41173,78476.33074430296,190601.43964322
1648166400000,2022-03-25 00:00:00,GRT/USD,0.43658,0.45107,0.40242,0.40589,155925.77671898177,384157.71937959
1648080000000,2022-03-24 00:00:00,GRT/USD,0.42621,0.44156,0.41205,0.44156,162021.01182132104,366928.64349425
1647993600000,2022-03-23 00:00:00,GRT/USD,0.41109,0.43282,0.40137,0.42306,112966.83565671186,267023.2015712
1647907200000,2022-03-22 00:00:00,GRT/USD,0.4109,0.42637,0.40441,0.40985,122220.5976437344,298208.11917466
1647820800000,2022-03-21 00:00:00,GRT/USD,0.39078,0.42192,0.3814,0.41413,93573.20608616737,225951.28603619
1647734400000,2022-03-20 00:00:00,GRT/USD,0.41321,0.41829,0.38844,0.39156,103833.11318240859,265178.0395914
1647648000000,2022-03-19 00:00:00,GRT/USD,0.41435,0.42749,0.40589,0.41021,138290.91908851123,337122.25223303
1647561600000,2022-03-18 00:00:00,GRT/USD,0.4057,0.42842,0.39797,0.4106,108975.1509172817,265404.65396317997
1647475200000,2022-03-17 00:00:00,GRT/USD,0.44768,0.44848,0.40352,0.40883,153864.79904182348,376353.98342055
1647388800000,2022-03-16 00:00:00,GRT/USD,0.42237,0.45902,0.41182,0.45273,222475.7761790014,491409.39672432
1647302400000,2022-03-15 00:00:00,GRT/USD,0.36769,0.43309,0.35271,0.42289,262932.2086889455,621750.83044987
1647216000000,2022-03-14 00:00:00,GRT/USD,0.32998,0.37389,0.32789,0.36667,137330.1328929034,374533.32122318
1647129600000,2022-03-13 00:00:00,GRT/USD,0.3179,0.35931,0.3179,0.33463,149913.97008496238,447999.19339259
1647043200000,2022-03-12 00:00:00,GRT/USD,0.32696,0.32733,0.31985,0.31985,27119.760327567383,84788.99586546
1646956800000,2022-03-11 00:00:00,GRT/USD,0.32132,0.3392,0.31789,0.32204,42509.50451120042,132000.69715315
1646870400000,2022-03-10 00:00:00,GRT/USD,0.34601,0.3472,0.31955,0.32693,32231.33606554622,98587.8813983
1646784000000,2022-03-09 00:00:00,GRT/USD,0.3362,0.36415,0.3362,0.34738,41832.56078816197,120423.05483379
1646697600000,2022-03-08 00:00:00,GRT/USD,0.3298,0.35927,0.3298,0.33452,94257.49045046102,281769.37238569
1646611200000,2022-03-07 00:00:00,GRT/USD,0.3275,0.34367,0.31479,0.33011,51204.71252182151,155114.09082373
1646524800000,2022-03-06 00:00:00,GRT/USD,0.35048,0.35166,0.32836,0.32836,21211.170737259978,64597.30398727
1646438400000,2022-03-05 00:00:00,GRT/USD,0.33883,0.34698,0.329,0.34611,132772.29883166944,383613.00982829
1646352000000,2022-03-04 00:00:00,GRT/USD,0.35148,0.35998,0.33488,0.33905,26927.17013012254,79419.46653922
1646265600000,2022-03-03 00:00:00,GRT/USD,0.37536,0.37536,0.35558,0.36664,29739.095740349294,81112.52383905
1646179200000,2022-03-02 00:00:00,GRT/USD,0.37202,0.39214,0.36443,0.37381,36160.121139872805,96733.95880226
1646092800000,2022-03-01 00:00:00,GRT/USD,0.38203,0.38744,0.366,0.37538,194536.87481672654,518239.84979681
1646006400000,2022-02-28 00:00:00,GRT/USD,0.33605,0.37799,0.33089,0.37799,91381.88018347854,241757.40147485
1645920000000,2022-02-27 00:00:00,GRT/USD,0.34743,0.36522,0.33043,0.3376,54803.07574646437,162331.38550493
1645833600000,2022-02-26 00:00:00,GRT/USD,0.36144,0.37082,0.3438,0.34814,28049.601339748744,80569.88952648
1645747200000,2022-02-25 00:00:00,GRT/USD,0.35967,0.36993,0.34099,0.36011,49757.58456330364,138173.29305852
1645660800000,2022-02-24 00:00:00,GRT/USD,0.35516,0.35916,0.30271,0.35604,115719.93325308168,325019.473242
