https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UTK
1646352000000,2022-03-04 00:00:00,UTK/USD,0.25077,0.25466,0.22529,0.23014,1968.2385520584548,8552.35314182
1646265600000,2022-03-03 00:00:00,UTK/USD,0.24594,0.27067,0.2403,0.25077,1744.5902493441552,6956.93364176
1646179200000,2022-03-02 00:00:00,UTK/USD,0.2457,0.28008,0.24043,0.24649,30050.88409061512,121915.22613743
1646092800000,2022-03-01 00:00:00,UTK/USD,0.21211,0.28758,0.20944,0.24031,30381.065379912932,126424.47413721
1646006400000,2022-02-28 00:00:00,UTK/USD,0.19301,0.21312,0.1904,0.21182,2330.1020439927706,11000.38732883
1645920000000,2022-02-27 00:00:00,UTK/USD,0.20953,0.21189,0.19103,0.19335,1469.9502705860625,7602.53566375
1645833600000,2022-02-26 00:00:00,UTK/USD,0.19641,0.23036,0.19641,0.20953,11928.74731209565,56930.975574359996
1645747200000,2022-02-25 00:00:00,UTK/USD,0.18932,0.20147,0.1881,0.19641,4201.066608334214,21389.27044618
1645660800000,2022-02-24 00:00:00,UTK/USD,0.20796,0.21041,0.17302,0.18932,6873.2677384931485,36305.02714184
1645574400000,2022-02-23 00:00:00,UTK/USD,0.21798,0.23348,0.20814,0.20845,2354.5898279029448,11295.70557881
1645488000000,2022-02-22 00:00:00,UTK/USD,0.21015,0.2207,0.19715,0.21847,11131.26129905296,50950.98319702
1645401600000,2022-02-21 00:00:00,UTK/USD,0.22288,0.2437,0.21105,0.21105,7353.869657491224,34844.20591088
1645315200000,2022-02-20 00:00:00,UTK/USD,0.24452,0.24739,0.21971,0.22304,4271.3031212462365,19150.39060817
1645228800000,2022-02-19 00:00:00,UTK/USD,0.24807,0.25363,0.24074,0.24474,2727.9116327718943,11146.16177483
1645142400000,2022-02-18 00:00:00,UTK/USD,0.27289,0.27743,0.24544,0.24955,22434.96727402861,89901.69214197
1645056000000,2022-02-17 00:00:00,UTK/USD,0.29677,0.31417,0.26682,0.27289,73006.64664206424,267531.41061257
1644969600000,2022-02-16 00:00:00,UTK/USD,0.2676,0.31275,0.26682,0.29544,146324.35021927435,495276.02971593
1644883200000,2022-02-15 00:00:00,UTK/USD,0.24546,0.27949,0.24433,0.26742,39846.24819349437,149002.49866687
