https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MNA
1642982400000,2022-01-24 00:00:00,MNA/USD,2.1156,2.1361,1.8138,2.0845,496872.8887021077,238365.50189595
1642896000000,2022-01-23 00:00:00,MNA/USD,2.0321,2.1535,1.9973,2.1185,149949.55444412967,70781.00280582
1642809600000,2022-01-22 00:00:00,MNA/USD,2.2174,2.2647,1.71,2.039,456338.82071728434,223805.20878729
1642723200000,2022-01-21 00:00:00,MNA/USD,2.6295,2.7011,2.1392,2.2253,623266.4874952796,280082.00579485
1642636800000,2022-01-20 00:00:00,MNA/USD,2.7388,2.8896,2.6184,2.6339,227538.02469162844,86388.25494196
1642550400000,2022-01-19 00:00:00,MNA/USD,2.86,2.8938,2.71,2.7345,342844.4899149433,125377.39620221
1642464000000,2022-01-18 00:00:00,MNA/USD,2.9115,2.9218,2.7734,2.86,250977.39692168,87754.334588
1642377600000,2022-01-17 00:00:00,MNA/USD,3.145,3.1808,2.8689,2.9064,338038.57901756745,116308.34675804
1642291200000,2022-01-16 00:00:00,MNA/USD,2.9797,3.1974,2.9336,3.1137,574066.6285121536,184367.99579669
1642204800000,2022-01-15 00:00:00,MNA/USD,2.9475,3.0599,2.9195,2.9906,316881.6483736133,105959.22168582
1642118400000,2022-01-14 00:00:00,MNA/USD,2.8865,3.1154,2.8211,2.9507,529999.7913329459,179618.32491712
1642032000000,2022-01-13 00:00:00,MNA/USD,3.085,3.0944,2.8845,2.8845,459792.38531427487,159401.0696184
1641945600000,2022-01-12 00:00:00,MNA/USD,2.942,3.1027,2.9153,3.082,216560.21174128662,70266.12970191
1641859200000,2022-01-11 00:00:00,MNA/USD,2.8108,2.9435,2.761,2.9249,198009.3361850672,67697.81400563
1641772800000,2022-01-10 00:00:00,MNA/USD,2.9302,2.9696,2.6344,2.8168,266242.38387647003,94519.44897631
1641686400000,2022-01-09 00:00:00,MNA/USD,2.9209,3.044,2.8427,2.9395,192940.21397985733,65637.08589211
1641600000000,2022-01-08 00:00:00,MNA/USD,3.0434,3.1357,2.84,2.9279,169375.0196374343,57848.635417
1641513600000,2022-01-07 00:00:00,MNA/USD,3.3827,3.4309,3.0254,3.0482,467023.0871756868,153212.74430014
1641427200000,2022-01-06 00:00:00,MNA/USD,2.9077,3.4467,2.791,3.3843,810391.6194156057,239456.20051875
1641340800000,2022-01-05 00:00:00,MNA/USD,3.1743,3.2612,2.6747,2.9217,352495.442372934,120647.37733954
1641254400000,2022-01-04 00:00:00,MNA/USD,3.2534,3.3081,3.1314,3.1802,146270.1728870607,45994.01700744
1641168000000,2022-01-03 00:00:00,MNA/USD,3.3264,3.3467,3.2155,3.2501,69509.06161900464,21386.74552137
1641081600000,2022-01-02 00:00:00,MNA/USD,3.351,3.3764,3.276,3.3417,76002.64518408696,22743.70685103
1640995200000,2022-01-01 00:00:00,MNA/USD,3.2709,3.3595,3.2658,3.343,138725.78112276975,41497.39190032
1640908800000,2021-12-31 00:00:00,MNA/USD,3.2797,3.415,3.1976,3.2705,230333.97128367238,70427.75455853
1640822400000,2021-12-30 00:00:00,MNA/USD,3.2569,3.358,3.1733,3.2948,160013.68303887884,48565.52235003
1640736000000,2021-12-29 00:00:00,MNA/USD,3.3596,3.4591,3.21,3.2499,262270.8051236268,80701.19238242
1640649600000,2021-12-28 00:00:00,MNA/USD,3.7121,3.7121,3.3,3.3432,386424.96029751335,115585.35543716
1640563200000,2021-12-27 00:00:00,MNA/USD,3.8519,3.9624,3.7332,3.7456,185789.61861459378,49602.09809232
1640476800000,2021-12-26 00:00:00,MNA/USD,3.7322,3.9366,3.6326,3.8634,188449.77145659857,48778.21904452
1640390400000,2021-12-25 00:00:00,MNA/USD,3.4875,3.8461,3.4799,3.7665,239072.604732266,63473.4115843
1640304000000,2021-12-24 00:00:00,MNA/USD,3.6895,3.85,3.4581,3.4981,533627.0136549529,152547.67263799
1640217600000,2021-12-23 00:00:00,MNA/USD,3.2933,3.7341,3.2085,3.6814,2220726.801514084,603228.88072855
1640131200000,2021-12-22 00:00:00,MNA/USD,3.291,3.3848,3.2173,3.2919,427645.20782778895,129908.32280075
1640044800000,2021-12-21 00:00:00,MNA/USD,3.2125,3.3289,3.1218,3.2868,485461.11384483567,147700.22935525
