https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XRA
1643414400000,2022-01-29 00:00:00,XRA/USD,0.013536,0.013722,0.013536,0.013537,2451.1440627046104,181069.96104784
1643328000000,2022-01-28 00:00:00,XRA/USD,0.013769,0.013787,0.013536,0.013536,2563.509403047882,189384.55991784
1643241600000,2022-01-27 00:00:00,XRA/USD,0.013902,0.014077,0.013632,0.013769,3291.739546133243,239068.8899799
1643155200000,2022-01-26 00:00:00,XRA/USD,0.01359,0.014182,0.013511,0.013812,5587.975676144668,404573.97018134
1643068800000,2022-01-25 00:00:00,XRA/USD,0.016153,0.0162,0.013443,0.013611,6848.807814227306,503181.82457037
1642982400000,2022-01-24 00:00:00,XRA/USD,0.017089,0.017131,0.016,0.016153,10340.800466423521,640178.3239289
1642896000000,2022-01-23 00:00:00,XRA/USD,0.017298,0.0173,0.01703,0.017089,12717.4279084775,744187.95180979
1642809600000,2022-01-22 00:00:00,XRA/USD,0.017393,0.017393,0.017166,0.017299,16217.509583179673,937482.48934503
1642723200000,2022-01-21 00:00:00,XRA/USD,0.017338,0.017467,0.017111,0.017393,10517.038213641808,604670.74188707
1642636800000,2022-01-20 00:00:00,XRA/USD,0.017345,0.017375,0.017161,0.017176,11818.186175449015,688063.93662372
1642550400000,2022-01-19 00:00:00,XRA/USD,0.017352,0.017352,0.017149,0.017195,4222.182601588938,245547.11262512
1642464000000,2022-01-18 00:00:00,XRA/USD,0.017275,0.017363,0.017074,0.017346,3957.1102933566626,228128.11560917
1642377600000,2022-01-17 00:00:00,XRA/USD,0.017286,0.017382,0.017115,0.017115,2117.049985045532,123695.58779115
1642291200000,2022-01-16 00:00:00,XRA/USD,0.017289,0.017289,0.01718,0.017285,702.9813119313063,40670.02093904
1642204800000,2022-01-15 00:00:00,XRA/USD,0.017316,0.017355,0.017071,0.017288,760.6113524427928,43996.49192751
1642118400000,2022-01-14 00:00:00,XRA/USD,0.01734,0.017356,0.017134,0.017148,957.5683275506766,55841.40002045
1642032000000,2022-01-13 00:00:00,XRA/USD,0.017398,0.017424,0.0172,0.0172,1081.43244833052,62873.9795541
1641945600000,2022-01-12 00:00:00,XRA/USD,0.017392,0.01745,0.017177,0.017232,689.3140392810005,40001.975352890004
1641859200000,2022-01-11 00:00:00,XRA/USD,0.017362,0.017398,0.017099,0.017218,4219.4189194892415,245058.59678762002
1641772800000,2022-01-10 00:00:00,XRA/USD,0.017346,0.017386,0.017177,0.017361,2998.694191114558,172725.8908539
1641686400000,2022-01-09 00:00:00,XRA/USD,0.017347,0.017349,0.017175,0.017182,149.38133838959163,8694.05996913
1641600000000,2022-01-08 00:00:00,XRA/USD,0.017349,0.017349,0.017175,0.017179,690.4477416885286,40191.38143597
1641513600000,2022-01-07 00:00:00,XRA/USD,0.01737,0.01739,0.017174,0.017348,568.865268429419,32791.40352948
1641427200000,2022-01-06 00:00:00,XRA/USD,0.017385,0.017385,0.017183,0.017367,835.0580899766446,48083.03621677
1641340800000,2022-01-05 00:00:00,XRA/USD,0.017371,0.017384,0.017181,0.017205,782.344037004931,45471.89985498
1641254400000,2022-01-04 00:00:00,XRA/USD,0.017455,0.017456,0.017191,0.017202,876.4482349614457,50950.36826889
1641168000000,2022-01-03 00:00:00,XRA/USD,0.017461,0.017467,0.017278,0.017455,820.3724037352243,46999.27835779
1641081600000,2022-01-02 00:00:00,XRA/USD,0.017443,0.017468,0.017238,0.017461,787.0762560436256,45076.24168396
1640995200000,2022-01-01 00:00:00,XRA/USD,0.017662,0.017667,0.017474,0.017474,688.2300086405032,39385.9453268
1640908800000,2021-12-31 00:00:00,XRA/USD,0.018039,0.01804,0.017489,0.017662,10629.179094412333,601810.6156954101
1640822400000,2021-12-30 00:00:00,XRA/USD,0.017893,0.018174,0.017739,0.017861,951.5290310119972,53274.11852707
1640736000000,2021-12-29 00:00:00,XRA/USD,0.017872,0.018042,0.017703,0.017893,1327.1461408733917,74171.24802288
