https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume CCD
1646697600000,2022-03-08 00:00:00,CCD/USD,0.03597,0.036,0.03412,0.03447,515612.27793467365,14958290.62763776
1646611200000,2022-03-07 00:00:00,CCD/USD,0.03455,0.03614,0.03431,0.03595,561186.513384739,15610195.08719719
1646524800000,2022-03-06 00:00:00,CCD/USD,0.0357,0.03574,0.0341,0.03457,487999.0528945309,14116258.40018892
1646438400000,2022-03-05 00:00:00,CCD/USD,0.03501,0.03616,0.03489,0.03576,542529.0666125546,15171394.48021685
1646352000000,2022-03-04 00:00:00,CCD/USD,0.04117,0.04117,0.03453,0.03501,642154.9653269702,18342044.13958784
1646265600000,2022-03-03 00:00:00,CCD/USD,0.04599,0.04639,0.04108,0.04117,470038.966716315,11417026.15293454
1646179200000,2022-03-02 00:00:00,CCD/USD,0.0457,0.04939,0.04569,0.04598,487703.95386320556,10606871.54987398
1646092800000,2022-03-01 00:00:00,CCD/USD,0.03707,0.0458,0.03702,0.04575,296394.5124819785,6478568.57884106
1646006400000,2022-02-28 00:00:00,CCD/USD,0.03875,0.03892,0.0351,0.0371,351812.24246644054,9482809.76998492
1645920000000,2022-02-27 00:00:00,CCD/USD,0.04001,0.04002,0.0383,0.03872,318692.5218139451,8230695.29478164
1645833600000,2022-02-26 00:00:00,CCD/USD,0.0405,0.0411,0.0395,0.04,410124.9390299416,10253123.47574854
1645747200000,2022-02-25 00:00:00,CCD/USD,0.04234,0.04239,0.03933,0.04031,409180.18112192716,10150835.55251618
1645660800000,2022-02-24 00:00:00,CCD/USD,0.04921,0.04967,0.04219,0.04224,264504.55933064694,6261945.05991115
1645574400000,2022-02-23 00:00:00,CCD/USD,0.07037,0.07037,0.04884,0.04925,398977.7642818318,8101071.35597628
1645488000000,2022-02-22 00:00:00,CCD/USD,0.04987,0.07234,0.04498,0.07041,323813.2110443696,4598966.21281593
1645401600000,2022-02-21 00:00:00,CCD/USD,0.05167,0.05231,0.04941,0.0501,59718.74813526689,1191990.98074385
1645315200000,2022-02-20 00:00:00,CCD/USD,0.05507,0.05534,0.04449,0.05161,71674.7719640132,1388776.82549919
1645228800000,2022-02-19 00:00:00,CCD/USD,0.059401,0.05969,0.05293,0.05508,79325.60743207728,1440188.95119966
1645142400000,2022-02-18 00:00:00,CCD/USD,0.060319,0.0635,0.05922,0.0597,90091.08737555683,1509063.44012658
1645056000000,2022-02-17 00:00:00,CCD/USD,0.06879,0.06879,0.05805,0.0603,260714.99347968202,4323631.73266471
1644969600000,2022-02-16 00:00:00,CCD/USD,0.07377,0.074,0.0671,0.06896,123938.22623462966,1797248.06024695
1644883200000,2022-02-15 00:00:00,CCD/USD,0.08376,0.08879,0.073,0.07324,328222.4016324495,4481463.70333765
1644796800000,2022-02-14 00:00:00,CCD/USD,0.0867,0.095,0.0805,0.08418,210979.27067435323,2506287.368429
1644710400000,2022-02-13 00:00:00,CCD/USD,0.0803,0.0886,0.07792,0.08688,165692.3208932048,1907139.97344849
1644624000000,2022-02-12 00:00:00,CCD/USD,0.089,0.08927,0.0783,0.0803,152825.39996541594,1903180.57242112
1644537600000,2022-02-11 00:00:00,CCD/USD,0.11179,0.1238,0.08456,0.08975,625187.3064415748,6965875.28068607
1644451200000,2022-02-10 00:00:00,CCD/USD,0.0001,0.44,0.0001,0.11467,1421213.2153802721,12393941.00793819
