https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume PNG
1644883200000,2022-02-15 00:00:00,PNG/USD,0.37278,0.42239,0.36909,0.39975,7495.621768306424,18750.7736543
1644796800000,2022-02-14 00:00:00,PNG/USD,0.37413,0.37413,0.36909,0.36909,569.780722760112,1543.7446768
1644710400000,2022-02-13 00:00:00,PNG/USD,0.37596,0.37788,0.37413,0.37413,262.7312548069935,702.24588995
1644624000000,2022-02-12 00:00:00,PNG/USD,0.38883,0.39226,0.37161,0.37596,2550.9214554902833,6785.08739092
1644537600000,2022-02-11 00:00:00,PNG/USD,0.44793,0.44793,0.38883,0.39226,8442.215587442835,21521.98946475
1644451200000,2022-02-10 00:00:00,PNG/USD,0.45086,0.45241,0.44338,0.44793,1099.4293540645758,2454.46689006
1644364800000,2022-02-09 00:00:00,PNG/USD,0.45086,0.45086,0.45086,0.45086,6.415701185659399,14.22991879
1644278400000,2022-02-08 00:00:00,PNG/USD,0.39627,0.45938,0.39627,0.45086,13464.545654012081,29864.13887684
1644192000000,2022-02-07 00:00:00,PNG/USD,0.36341,0.396,0.36341,0.39235,4647.260863806179,11844.68169697
1644105600000,2022-02-06 00:00:00,PNG/USD,0.37151,0.37151,0.36,0.36,1265.9306849819998,3516.47412495
1644019200000,2022-02-05 00:00:00,PNG/USD,0.34901,0.37533,0.34901,0.37151,4824.9450915867565,12987.38954964
1643932800000,2022-02-04 00:00:00,PNG/USD,0.33155,0.3489,0.33155,0.3489,3238.209149155893,9281.19561237
1643846400000,2022-02-03 00:00:00,PNG/USD,0.33961,0.33961,0.29817,0.33155,9223.09783933193,27818.12046247
1643673600000,2022-02-01 00:00:00,PNG/USD,0.33896,0.343,0.33896,0.343,706.2116294939301,2058.9260335100003
1643587200000,2022-01-31 00:00:00,PNG/USD,0.33467,0.33838,0.33467,0.33838,365.3749023767542,1079.77688509
1643500800000,2022-01-30 00:00:00,PNG/USD,0.33423,0.33552,0.33219,0.33467,172.1755637849065,514.46369195
1643414400000,2022-01-29 00:00:00,PNG/USD,0.33423,0.33423,0.33423,0.33423,2.6190258087357003,7.83599859
1643328000000,2022-01-28 00:00:00,PNG/USD,0.33421,0.33495,0.33421,0.33495,134.98485000000002,403.0
1643155200000,2022-01-26 00:00:00,PNG/USD,0.33467,0.33467,0.33219,0.33219,20.875728202766098,62.84273519
1643068800000,2022-01-25 00:00:00,PNG/USD,0.33467,0.33467,0.33467,0.33467,10.0401,30.0
1642982400000,2022-01-24 00:00:00,PNG/USD,0.3336,0.33608,0.33219,0.33467,104.0886779237473,311.01884818999997
1642896000000,2022-01-23 00:00:00,PNG/USD,0.33953,0.33953,0.33275,0.33608,5028.720274883376,14962.8668022
1642809600000,2022-01-22 00:00:00,PNG/USD,0.40522,0.40522,0.33617,0.33953,10026.828528389833,29531.49509142
1642723200000,2022-01-21 00:00:00,PNG/USD,0.45549,0.45549,0.40522,0.40927,5696.264454587158,13918.10896129
1642636800000,2022-01-20 00:00:00,PNG/USD,0.47204,0.47364,0.45098,0.45098,2341.9154870280186,5192.94755206
1642550400000,2022-01-19 00:00:00,PNG/USD,0.47942,0.483,0.46736,0.46736,1334.2535792113551,2854.87328657
1642464000000,2022-01-18 00:00:00,PNG/USD,0.48188,0.48422,0.47942,0.48422,245.6522139704094,507.31529877
1642377600000,2022-01-17 00:00:00,PNG/USD,0.53434,0.53434,0.48244,0.4867,5087.026128696847,10452.07751941
1642291200000,2022-01-16 00:00:00,PNG/USD,0.53434,0.5398,0.52905,0.52905,3297.124636544901,6232.16073442
1642204800000,2022-01-15 00:00:00,PNG/USD,0.63773,0.64411,0.5228,0.53434,21829.04736870157,40852.35499626
1642118400000,2022-01-14 00:00:00,PNG/USD,0.64151,0.64629,0.63773,0.64411,584.4116923403872,907.3165955200001
1642032000000,2022-01-13 00:00:00,PNG/USD,0.65755,0.6675,0.64,0.64629,3141.004194657264,4860.05383753
1641945600000,2022-01-12 00:00:00,PNG/USD,1.0,48.7,0.5302,0.65918,3309.057956098439,5019.96109727
