https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ICE
1645315200000,2022-02-20 00:00:00,ICE/USD,3.302,3.4439,2.9793,3.0941,22419.930948388566,7246.02661465
1645228800000,2022-02-19 00:00:00,ICE/USD,3.4228,3.5415,3.1924,3.302,22078.21266693822,6686.31516261
1645142400000,2022-02-18 00:00:00,ICE/USD,3.3798,3.4693,3.0302,3.4228,70554.67719596058,20613.14631178
1645056000000,2022-02-17 00:00:00,ICE/USD,3.7888,3.9189,3.3019,3.3798,81959.27716242525,24249.74174875
1644969600000,2022-02-16 00:00:00,ICE/USD,3.6208,3.7888,3.4152,3.7888,31659.80893983232,8356.15734265
1644883200000,2022-02-15 00:00:00,ICE/USD,2.8571,3.663,2.7531,3.6227,47404.17587671571,13085.31644263
1644796800000,2022-02-14 00:00:00,ICE/USD,3.0012,3.0942,2.6301,2.7552,28005.07685262134,10164.44426997
1644710400000,2022-02-13 00:00:00,ICE/USD,3.1171,3.1737,2.7131,3.0012,35671.73861466977,11885.82520814
1644624000000,2022-02-12 00:00:00,ICE/USD,3.2421,3.2999,2.89,3.1173,59692.45454238671,19148.76801796
1644537600000,2022-02-11 00:00:00,ICE/USD,3.7034,3.9189,3.0864,3.2423,30034.76410387184,9263.41304132
1644451200000,2022-02-10 00:00:00,ICE/USD,4.07,4.3738,3.5324,3.6983,136009.4217842133,36776.20035806
1644364800000,2022-02-09 00:00:00,ICE/USD,4.4742,4.6394,4.07,4.07,97353.45494693611,23919.76780023
1644278400000,2022-02-08 00:00:00,ICE/USD,4.553,4.7987,4.41,4.4742,61687.58181146267,13787.39926947
1644192000000,2022-02-07 00:00:00,ICE/USD,4.4338,4.9812,4.2347,4.5531,56853.44708426823,12486.755635559999
1644105600000,2022-02-06 00:00:00,ICE/USD,4.799,4.7999,4.3,4.453,22694.806518038844,5096.52066428
1644019200000,2022-02-05 00:00:00,ICE/USD,4.9,5.3391,4.1126,4.7993,48784.90933407383,10165.00517452
1643932800000,2022-02-04 00:00:00,ICE/USD,4.2438,5.0422,3.9774,4.8821,61415.99189351227,12579.8307887
1643846400000,2022-02-03 00:00:00,ICE/USD,4.3998,4.5871,4.1,4.2454,32586.208343596198,7675.650903
1643760000000,2022-02-02 00:00:00,ICE/USD,5.23,5.23,4.0633,4.2617,41461.59410204564,9728.8861492
1643673600000,2022-02-01 00:00:00,ICE/USD,5.6629,5.7915,5.19,5.23,44964.3192492141,8597.38417767
1643587200000,2022-01-31 00:00:00,ICE/USD,5.5573,5.9461,4.7,5.6202,44693.60220536813,7952.31525664
1643500800000,2022-01-30 00:00:00,ICE/USD,6.1215,7.25,5.1072,5.5573,111382.03402830906,20042.47278864
1643414400000,2022-01-29 00:00:00,ICE/USD,5.1105,6.3999,5.0855,6.1215,71466.23729363002,11674.62832535
1643328000000,2022-01-28 00:00:00,ICE/USD,3.7103,6.0727,3.67,5.1105,242918.97562625553,47533.30899643
1643241600000,2022-01-27 00:00:00,ICE/USD,7.2479,7.3,3.7011,3.814,165480.8479161061,43387.74198115
1643155200000,2022-01-26 00:00:00,ICE/USD,8.77,8.77,6.745,7.2619,189576.70036053524,26105.66110254
1643068800000,2022-01-25 00:00:00,ICE/USD,8.05,9.959,8.0098,8.7699,33233.7411602458,3789.52338798
1642982400000,2022-01-24 00:00:00,ICE/USD,9.9359,10.466,7.05,8.05,192569.9728909425,23921.73576285
1642896000000,2022-01-23 00:00:00,ICE/USD,10.989,11.06,9.1452,9.6434,86367.49881898641,8956.12531047
1642809600000,2022-01-22 00:00:00,ICE/USD,10.276,11.4,7.718,9.44,234971.7447385744,24891.07465451
1642723200000,2022-01-21 00:00:00,ICE/USD,13.201,13.949,9.6341,10.277,202605.6149308898,19714.47065592
1642636800000,2022-01-20 00:00:00,ICE/USD,13.84,15.333,13.2,13.238,102576.40989584939,7748.63347151
1642550400000,2022-01-19 00:00:00,ICE/USD,15.312,15.674,13.212,14.444,161219.701454496,11161.707384
1642464000000,2022-01-18 00:00:00,ICE/USD,15.91,16.8,13.51,15.231,162930.3221521832,10697.28331378
1642377600000,2022-01-17 00:00:00,ICE/USD,19.7,20.029,15.687,15.687,34235.64744640677,2182.42158771
1642291200000,2022-01-16 00:00:00,ICE/USD,18.851,20.029,17.964,19.7,37061.930834003,1881.3162859899999
1642204800000,2022-01-15 00:00:00,ICE/USD,20.001,21.125,17.208,18.04,52301.8006292276,2899.21289519
1642118400000,2022-01-14 00:00:00,ICE/USD,20.389,25.0,19.294,20.057,133692.02296304624,6665.60417625
1642032000000,2022-01-13 00:00:00,ICE/USD,19.228,23.197,17.696,20.346,318415.9418511113,15650.05120668
1641945600000,2022-01-12 00:00:00,ICE/USD,15.741,19.482,15.5,19.444,44542.397102405674,2290.80421222
1641859200000,2022-01-11 00:00:00,ICE/USD,14.641,15.741,13.2,15.741,61488.87587556219,3906.28777559
1641772800000,2022-01-10 00:00:00,ICE/USD,15.192,15.779,12.633,14.059,50203.926683763646,3570.94577735
1641686400000,2022-01-09 00:00:00,ICE/USD,14.296,16.29,13.475,14.218,17487.78728810244,1229.97519258
1641600000000,2022-01-08 00:00:00,ICE/USD,14.7,16.642,13.242,14.043,56680.575422941045,4036.2155823499997
1641513600000,2022-01-07 00:00:00,ICE/USD,17.066,17.066,14.355,14.867,132800.20511372652,8932.54894153
1641427200000,2022-01-06 00:00:00,ICE/USD,19.729,19.735,16.002,16.396,136306.169335131,8313.37944225
1641340800000,2022-01-05 00:00:00,ICE/USD,22.183,23.085,16.753,18.205,203920.448801619,11201.3429718
1641254400000,2022-01-04 00:00:00,ICE/USD,24.391,24.399,22.002,22.084,161107.48402362064,7295.21300596
1641168000000,2022-01-03 00:00:00,ICE/USD,24.182,25.052,22.384,24.11,90581.4977109937,3757.00944467
1641081600000,2022-01-02 00:00:00,ICE/USD,26.537,27.499,23.71,24.926,64312.205014246414,2580.12537167
1640995200000,2022-01-01 00:00:00,ICE/USD,23.523,26.653,23.523,26.537,20621.81397035606,777.09665638
1640908800000,2021-12-31 00:00:00,ICE/USD,22.727,27.162,21.205,22.903,81324.73107149426,3550.83312542
1640822400000,2021-12-30 00:00:00,ICE/USD,19.591,24.0,18.738,22.23,281912.4843126462,12681.62322594
1640736000000,2021-12-29 00:00:00,ICE/USD,23.001,24.67,19.732,19.732,158782.440555502,8046.9511735
1640649600000,2021-12-28 00:00:00,ICE/USD,26.872,27.7,22.613,24.437,197178.36034338822,8068.8447986
1640563200000,2021-12-27 00:00:00,ICE/USD,23.723,29.416,22.73,27.214,160440.307169142,5895.5062530000005
1640476800000,2021-12-26 00:00:00,ICE/USD,22.7,24.1,21.19,23.205,43467.2409742116,1873.18426952
1640390400000,2021-12-25 00:00:00,ICE/USD,22.076,22.11,20.5,22.0,10780.05853936,490.00266088
1640304000000,2021-12-24 00:00:00,ICE/USD,21.448,25.1,21.448,22.075,252285.37572803022,11428.55609187
1640217600000,2021-12-23 00:00:00,ICE/USD,20.76,25.947,20.001,21.541,215628.82014235458,10010.15830938
1640131200000,2021-12-22 00:00:00,ICE/USD,14.607,22.984,14.401,21.646,418270.85588082107,19323.24013124
1640044800000,2021-12-21 00:00:00,ICE/USD,13.126,15.971,12.801,14.772,34943.44973126964,2365.51920737
1639958400000,2021-12-20 00:00:00,ICE/USD,13.621,13.948,12.0,12.962,31199.45730851232,2406.99408336
1639872000000,2021-12-19 00:00:00,ICE/USD,12.556,15.456,12.556,13.784,137586.44225573738,9981.60492279
