https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZMT
1642982400000,2022-01-24 00:00:00,ZMT/USD,2.9713,2.9997,2.55,2.7922,255110.1619306912,91365.28971087
1642896000000,2022-01-23 00:00:00,ZMT/USD,2.6946,3.0155,2.6843,2.9666,257878.34237368384,86927.23736725
1642809600000,2022-01-22 00:00:00,ZMT/USD,2.8329,2.9177,2.5463,2.6839,291033.96693342214,108436.96372198
1642723200000,2022-01-21 00:00:00,ZMT/USD,3.2163,3.2343,2.8172,2.8327,380513.34496612626,134328.85408484
1642636800000,2022-01-20 00:00:00,ZMT/USD,3.1632,3.326,3.1155,3.2347,224294.9286975169,69340.25680821
1642550400000,2022-01-19 00:00:00,ZMT/USD,3.3009,3.3811,3.1107,3.1799,246943.8225014986,77657.73216186
1642464000000,2022-01-18 00:00:00,ZMT/USD,3.4275,3.4488,3.15,3.3008,294157.1003023328,89116.91114346
1642377600000,2022-01-17 00:00:00,ZMT/USD,3.4593,3.5238,3.3216,3.4275,250447.13234380368,73069.91461526
1642291200000,2022-01-16 00:00:00,ZMT/USD,3.4737,3.4888,3.3913,3.4593,124251.12876517206,35917.99750388
1642204800000,2022-01-15 00:00:00,ZMT/USD,3.5806,3.5884,3.4386,3.4737,142967.0114350497,41156.98288138
1642118400000,2022-01-14 00:00:00,ZMT/USD,3.38,3.5888,3.3215,3.5806,457189.9751118541,127685.29718814
1642032000000,2022-01-13 00:00:00,ZMT/USD,3.6022,3.7397,3.3446,3.3982,440079.4586243328,129503.69566957
1641945600000,2022-01-12 00:00:00,ZMT/USD,2.9784,3.7888,2.9226,3.6022,1588635.4437994037,441018.11220904
1641859200000,2022-01-11 00:00:00,ZMT/USD,2.7712,2.9831,2.7358,2.9784,252942.19938330122,84925.53027911
1641772800000,2022-01-10 00:00:00,ZMT/USD,2.8032,2.96,2.6795,2.789,332660.39130199753,119275.86636859
1641686400000,2022-01-09 00:00:00,ZMT/USD,2.9974,3.0416,2.5351,2.8055,833731.2729878217,297177.42754868
1641600000000,2022-01-08 00:00:00,ZMT/USD,3.0587,3.1706,2.98,3.0204,144752.89281291454,47925.07376934
1641513600000,2022-01-07 00:00:00,ZMT/USD,3.0474,3.1055,2.8692,3.0587,297533.473146058,97274.48692126
