https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SAN
1641600000000,2022-01-08 00:00:00,SAN/USD,0.27433,0.29729,0.24088,0.2626,12533.852184351315,47729.82553066
1641513600000,2022-01-07 00:00:00,SAN/USD,0.30336,0.30336,0.27131,0.28996,4336.286301448829,14954.77411177
1641427200000,2022-01-06 00:00:00,SAN/USD,0.335,0.339,0.2953,0.30335,8178.775021602882,26961.51317489
1641340800000,2022-01-05 00:00:00,SAN/USD,0.35356,0.365,0.32404,0.32404,7787.343786156102,24032.04476656
1641254400000,2022-01-04 00:00:00,SAN/USD,0.33455,0.3569,0.33455,0.33522,290.07306046482245,865.32146192
1641168000000,2022-01-03 00:00:00,SAN/USD,0.34231,0.36298,0.33411,0.36298,2784.3837484837472,7670.90128515
1641081600000,2022-01-02 00:00:00,SAN/USD,0.33341,0.369,0.3333,0.369,3608.3897769222,9778.8340838
1640995200000,2022-01-01 00:00:00,SAN/USD,0.34,0.35467,0.3333,0.33331,1615.2856091385734,4846.19606114
1640908800000,2021-12-31 00:00:00,SAN/USD,0.3303,0.34243,0.3303,0.33355,1475.7892046304296,4424.49169429
1640822400000,2021-12-30 00:00:00,SAN/USD,0.331,0.33704,0.3303,0.33704,228.246306294776,677.2083619
1640736000000,2021-12-29 00:00:00,SAN/USD,0.34075,0.34125,0.3301,0.33031,461.4289741660864,1396.95732544
1640649600000,2021-12-28 00:00:00,SAN/USD,0.34511,0.3452,0.33,0.33,1601.8990305615,4854.23948655
1640563200000,2021-12-27 00:00:00,SAN/USD,0.37765,0.37765,0.34315,0.34521,5250.369651970852,15209.20498239
1640476800000,2021-12-26 00:00:00,SAN/USD,0.37079,0.38332,0.36454,0.37178,5304.360360409037,14267.47097856
1640390400000,2021-12-25 00:00:00,SAN/USD,0.3579,0.42207,0.34181,0.3705,49315.94486661004,133106.46387749
1640304000000,2021-12-24 00:00:00,SAN/USD,0.40143,0.40143,0.33792,0.35265,8057.970720680117,22849.76810061
1640217600000,2021-12-23 00:00:00,SAN/USD,0.38063,0.40144,0.36745,0.40144,2719.101439607259,6773.36946893
1640131200000,2021-12-22 00:00:00,SAN/USD,0.35473,0.4,0.3352,0.38064,12054.454653810004,31668.91197407
1640044800000,2021-12-21 00:00:00,SAN/USD,0.33599,0.35474,0.33502,0.33506,1211.2592891281631,3615.05189855
1639958400000,2021-12-20 00:00:00,SAN/USD,0.32501,0.35164,0.32126,0.335,615.0406768114001,1835.94231884
1639872000000,2021-12-19 00:00:00,SAN/USD,0.34051,0.34051,0.325,0.325,2573.6448817137502,7918.90732835
1639785600000,2021-12-18 00:00:00,SAN/USD,0.36357,0.36357,0.335,0.33793,253.62185666977072,750.5159549900001
1639699200000,2021-12-17 00:00:00,SAN/USD,0.37509,0.37509,0.335,0.335,3738.8614919985503,11160.78057313
