https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ZIL
1645142400000,2022-02-18 00:00:00,ZIL/USD,0.04748,0.047806,0.045659,0.045797,10707.839433516214,233810.93594594
1645056000000,2022-02-17 00:00:00,ZIL/USD,0.051411,0.051417,0.046492,0.046686,12911.446134083988,276559.27117517
1644969600000,2022-02-16 00:00:00,ZIL/USD,0.050522,0.0517,0.049617,0.05098,6676.769775683494,130968.41458775
1644883200000,2022-02-15 00:00:00,ZIL/USD,0.049647,0.051397,0.049389,0.051323,9699.042165706143,188980.42136481
1644796800000,2022-02-14 00:00:00,ZIL/USD,0.047626,0.048412,0.046255,0.048228,4404.391006935283,91324.35529019
1644710400000,2022-02-13 00:00:00,ZIL/USD,0.049061,0.04923,0.047,0.04816,1909.3466204583344,39645.90158759
1644624000000,2022-02-12 00:00:00,ZIL/USD,0.048817,0.049749,0.047736,0.0486,5201.237939945885,107021.35678901
1644537600000,2022-02-11 00:00:00,ZIL/USD,0.053033,0.054275,0.048592,0.048592,3717.630872151678,76507.05614405
1644451200000,2022-02-10 00:00:00,ZIL/USD,0.056393,0.05746,0.053247,0.054068,6994.321281656968,129361.568426
1644364800000,2022-02-09 00:00:00,ZIL/USD,0.055474,0.057621,0.054356,0.057031,12297.034904035838,215620.18733734
1644278400000,2022-02-08 00:00:00,ZIL/USD,0.057469,0.058667,0.053792,0.054991,17779.949062676627,323324.7088192
1644192000000,2022-02-07 00:00:00,ZIL/USD,0.052968,0.058411,0.052165,0.058037,51575.934177059215,888673.33213397
1644105600000,2022-02-06 00:00:00,ZIL/USD,0.052218,0.053122,0.050725,0.052831,10845.099192288286,205279.08221098
1644019200000,2022-02-05 00:00:00,ZIL/USD,0.049243,0.053009,0.049243,0.051332,4086.4090859478,79607.43952988
1643932800000,2022-02-04 00:00:00,ZIL/USD,0.045419,0.050076,0.045419,0.049465,20912.3559852818,422770.76691159
1643846400000,2022-02-03 00:00:00,ZIL/USD,0.043404,0.04467,0.042761,0.044576,5151.3318890958935,115562.90131676
1643760000000,2022-02-02 00:00:00,ZIL/USD,0.045545,0.047,0.043768,0.043768,7056.052504717038,161214.87170346
1643673600000,2022-02-01 00:00:00,ZIL/USD,0.045097,0.046401,0.044999,0.045692,1078.3261673551824,23599.8898572
1643587200000,2022-01-31 00:00:00,ZIL/USD,0.042654,0.045013,0.042631,0.044838,3579.86189903891,79839.91032247
1643500800000,2022-01-30 00:00:00,ZIL/USD,0.045332,0.046569,0.043862,0.044263,2229.853278403315,50377.36435405
1643414400000,2022-01-29 00:00:00,ZIL/USD,0.04548,0.046166,0.045043,0.045403,3278.228779906452,72202.91125931
1643328000000,2022-01-28 00:00:00,ZIL/USD,0.043795,0.045317,0.04327,0.045317,7390.289348163581,163079.84527139
1643241600000,2022-01-27 00:00:00,ZIL/USD,0.045054,0.045197,0.0425,0.044046,14908.31459722299,338471.4752128
1643155200000,2022-01-26 00:00:00,ZIL/USD,0.044638,0.048359,0.043783,0.043958,21461.90892476602,488236.70150521
1643068800000,2022-01-25 00:00:00,ZIL/USD,0.041884,0.046495,0.041871,0.044919,16341.833825610722,363806.71487813
1642982400000,2022-01-24 00:00:00,ZIL/USD,0.043999,0.043999,0.037684,0.042245,38598.735050177864,913687.65653161
1642896000000,2022-01-23 00:00:00,ZIL/USD,0.042962,0.044837,0.042388,0.044051,9133.070144281244,207329.46231144
1642809600000,2022-01-22 00:00:00,ZIL/USD,0.0485,0.049612,0.039505,0.042694,76510.97257889688,1792077.86993247
1642723200000,2022-01-21 00:00:00,ZIL/USD,0.056612,0.056612,0.047274,0.04884,29693.009117882313,607964.96965361
1642636800000,2022-01-20 00:00:00,ZIL/USD,0.059228,0.062608,0.056907,0.056907,23499.972965251647,412953.99450422
1642550400000,2022-01-19 00:00:00,ZIL/USD,0.061039,0.061062,0.057976,0.059349,23044.4672019277,388287.37134455
1642464000000,2022-01-18 00:00:00,ZIL/USD,0.061977,0.062284,0.059994,0.061229,13641.951200112295,222802.12317876
1642377600000,2022-01-17 00:00:00,ZIL/USD,0.064764,0.064764,0.060962,0.061906,12356.028347202586,199593.38912549
1642291200000,2022-01-16 00:00:00,ZIL/USD,0.0665,0.0665,0.063701,0.065011,4473.687960406328,68814.32312079999
1642204800000,2022-01-15 00:00:00,ZIL/USD,0.06467,0.066477,0.063663,0.0658,1407.978453595672,21397.84883884
1642118400000,2022-01-14 00:00:00,ZIL/USD,0.063291,0.065173,0.06244,0.06435,8557.108463822491,132977.5985054
