https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume TSD
1646438400000,2022-03-05 00:00:00,TSD/USD,1.0011,1.0031,1.001,1.001,1957.3247811217097,1955.36941171
1646352000000,2022-03-04 00:00:00,TSD/USD,1.0013,1.0031,1.001,1.0011,2891.605205157873,2888.42793443
1646265600000,2022-03-03 00:00:00,TSD/USD,1.0022,1.0033,1.0008,1.0026,2001.5784034975977,1996.38779523
1646179200000,2022-03-02 00:00:00,TSD/USD,1.0007,1.0028,1.0003,1.0008,2364.2478884116076,2362.35800201
1646092800000,2022-03-01 00:00:00,TSD/USD,1.0009,1.0029,1.0006,1.0007,2231.3095353378676,2229.74871124
1646006400000,2022-02-28 00:00:00,TSD/USD,1.001,1.003,1.0007,1.0009,1971.1372870728298,1969.3648587
1645920000000,2022-02-27 00:00:00,TSD/USD,1.0009,1.0024,1.0001,1.001,1001.7364465107999,1000.7357108
1645833600000,2022-02-26 00:00:00,TSD/USD,1.0009,1.0029,1.0003,1.0023,1986.137903408217,1981.58026879
1645747200000,2022-02-25 00:00:00,TSD/USD,1.0014,1.0027,1.0004,1.0009,4982.615182214756,4978.13486084
1645660800000,2022-02-24 00:00:00,TSD/USD,1.0011,1.0033,1.0,1.0026,5160.661513441686,5147.27858911
1645574400000,2022-02-23 00:00:00,TSD/USD,1.0013,1.0034,1.0001,1.0025,1900.903277565975,1896.16287039
1645488000000,2022-02-22 00:00:00,TSD/USD,1.0011,1.0034,1.0011,1.0027,1942.741572726311,1937.51029493
1645401600000,2022-02-21 00:00:00,TSD/USD,1.0011,1.0034,1.0005,1.0011,89478.2476577085,89379.929735
1645315200000,2022-02-20 00:00:00,TSD/USD,1.0007,1.0034,1.0007,1.0034,3393.82024194935,3382.32035275
1645228800000,2022-02-19 00:00:00,TSD/USD,1.0008,1.0034,1.0006,1.0007,2056.630455925155,2055.19182165
1645142400000,2022-02-18 00:00:00,TSD/USD,1.0007,1.0034,1.0006,1.0008,3960.4635053037355,3957.29766717
1645056000000,2022-02-17 00:00:00,TSD/USD,1.0005,1.0034,1.0005,1.0006,955.227982653724,954.65518954
1644883200000,2022-02-15 00:00:00,TSD/USD,1.0031,1.0031,1.0004,1.0005,32.07588904956,32.05985912
1644796800000,2022-02-14 00:00:00,TSD/USD,1.0032,1.0032,1.0006,1.0006,5.814615547322,5.81112887
1644710400000,2022-02-13 00:00:00,TSD/USD,1.0006,1.0032,1.0006,1.0006,2097.99830440615,2096.74026025
1644624000000,2022-02-12 00:00:00,TSD/USD,1.0007,1.0008,1.0007,1.0008,97.576122068856,97.49812357
1644537600000,2022-02-11 00:00:00,TSD/USD,1.0014,1.0034,1.0008,1.0008,18.607026452184,18.592152730000002
1644451200000,2022-02-10 00:00:00,TSD/USD,1.0034,1.0034,1.0008,1.0008,6.599469985704,6.5941946300000005
1644364800000,2022-02-09 00:00:00,TSD/USD,1.0032,1.0032,1.0006,1.0006,372.39868050516793,372.17537527999997
1644278400000,2022-02-08 00:00:00,TSD/USD,1.0034,1.0034,1.0008,1.0008,69.15832775625599,69.10304531999999
1644192000000,2022-02-07 00:00:00,TSD/USD,1.0034,1.0034,1.0008,1.0008,2036.4149585931118,2034.78712889
1644105600000,2022-02-06 00:00:00,TSD/USD,1.0008,1.0034,1.0008,1.0008,1051.7403494437917,1050.89962974
1644019200000,2022-02-05 00:00:00,TSD/USD,1.0031,1.0032,1.0005,1.0006,55.98751641642999,55.95394405
1643932800000,2022-02-04 00:00:00,TSD/USD,1.0034,1.0034,1.0009,1.0009,25.877809126036002,25.854540040000003
1643846400000,2022-02-03 00:00:00,TSD/USD,1.0008,1.0034,1.0008,1.0008,75.97130857408798,75.91058011
1643760000000,2022-02-02 00:00:00,TSD/USD,1.0034,1.0034,1.0008,1.0008,22678.46977396061,22660.34150076
1643673600000,2022-02-01 00:00:00,TSD/USD,1.0035,1.0035,1.0009,1.0009,41.765251136588994,41.72769621
1643500800000,2022-01-30 00:00:00,TSD/USD,1.0187,1.0187,1.0187,1.0187,72.540310177445,71.20870735
1643328000000,2022-01-28 00:00:00,TSD/USD,1.0009,1.0035,1.0009,1.0035,2015.0302488435,2008.002241
1643241600000,2022-01-27 00:00:00,TSD/USD,1.0008,1.0008,1.0008,1.0008,3552.8399999999997,3550.0
1643155200000,2022-01-26 00:00:00,TSD/USD,1.001,1.0187,1.0008,1.0008,173.99020369823998,173.85112279999998
1643068800000,2022-01-25 00:00:00,TSD/USD,1.0035,1.0035,1.0009,1.001,39.951443942409995,39.91153241
1642982400000,2022-01-24 00:00:00,TSD/USD,1.0013,1.0039,1.0007,1.0007,3096.769489366956,3094.60326708
1642896000000,2022-01-23 00:00:00,TSD/USD,1.0012,1.0032,1.0012,1.0012,52.553576845768006,52.49058814
1642809600000,2022-01-22 00:00:00,TSD/USD,1.0008,1.003,1.0008,1.001,10221.396670374888,10211.18548489
1642723200000,2022-01-21 00:00:00,TSD/USD,1.0027,1.0027,1.0007,1.0007,3609.246222652313,3606.72151759
1642636800000,2022-01-20 00:00:00,TSD/USD,1.0006,1.0026,1.0006,1.0006,9.139368472884,9.13388814
1642550400000,2022-01-19 00:00:00,TSD/USD,1.0006,1.0187,1.0,1.0006,11731.040813205615,11724.00640936
1642464000000,2022-01-18 00:00:00,TSD/USD,1.0005,1.0186,1.0,1.0026,479.334759404418,478.09172093
