https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GNO
1651449600000,2022-05-02 00:00:00,GNO/USD,313.42,318.86,312.82,316.88,27621.838010390402,87.16813308
1651363200000,2022-05-01 00:00:00,GNO/USD,308.22,313.92,307.19,313.78,18698.456289252197,59.59097549
1651276800000,2022-04-30 00:00:00,GNO/USD,316.22,316.5,308.69,308.69,29250.106503559004,94.7556011
1651190400000,2022-04-29 00:00:00,GNO/USD,329.59,331.11,316.1,316.12,8080.8299171936,25.56253928
1651104000000,2022-04-28 00:00:00,GNO/USD,319.69,333.68,319.69,329.69,38394.634387126796,116.45677572
1651017600000,2022-04-27 00:00:00,GNO/USD,316.5,321.76,315.49,319.28,1519.6004750056,4.75946027
1650931200000,2022-04-26 00:00:00,GNO/USD,334.72,335.41,315.01,316.18,33432.0782981856,105.73748592
1650844800000,2022-04-25 00:00:00,GNO/USD,326.86,335.39,315.76,334.93,31428.298439745202,93.83542364
1650758400000,2022-04-24 00:00:00,GNO/USD,330.52,330.98,325.39,327.32,4971.8017988856,15.18942258
1650672000000,2022-04-23 00:00:00,GNO/USD,333.66,333.72,329.8,329.8,476.82643623200005,1.44580484
1650585600000,2022-04-22 00:00:00,GNO/USD,338.01,340.68,332.68,333.13,50538.5428853032,151.70817064
1650499200000,2022-04-21 00:00:00,GNO/USD,346.18,358.93,336.15,337.58,7824.061855061799,23.17691171
1650412800000,2022-04-20 00:00:00,GNO/USD,353.45,356.15,341.91,345.74,16732.4765271772,48.39612578
1650326400000,2022-04-19 00:00:00,GNO/USD,349.11,358.64,348.85,353.16,54703.63546599961,154.89759731
1650240000000,2022-04-18 00:00:00,GNO/USD,346.67,350.16,330.17,349.05,70504.686186285,201.9902197
1650153600000,2022-04-17 00:00:00,GNO/USD,347.63,356.9,341.84,346.92,52052.562709408805,150.04197714
1650067200000,2022-04-16 00:00:00,GNO/USD,348.71,356.57,342.43,348.03,59684.3246310057,171.49189619
1649980800000,2022-04-15 00:00:00,GNO/USD,342.95,358.14,339.13,348.87,72469.6465111416,207.72679368000001
1649894400000,2022-04-14 00:00:00,GNO/USD,356.13,357.57,339.68,343.06,6948.940270868001,20.2557578
1649808000000,2022-04-13 00:00:00,GNO/USD,345.56,356.25,343.9,355.75,10558.6260365475,29.679904529999998
1649721600000,2022-04-12 00:00:00,GNO/USD,333.03,351.12,331.08,346.06,11615.9603842854,33.56631909
1649635200000,2022-04-11 00:00:00,GNO/USD,397.34,397.95,330.29,333.33,21852.6344214705,65.55855885
1649548800000,2022-04-10 00:00:00,GNO/USD,397.18,399.91,391.62,398.02,3913.3874553144,9.83213772
1649462400000,2022-04-09 00:00:00,GNO/USD,393.6,398.16,389.84,397.56,2941.425860052,7.3986967
1649376000000,2022-04-08 00:00:00,GNO/USD,393.11,407.52,392.53,394.15,9199.215483965,23.3393771
