https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume CRV
1646784000000,2022-03-09 00:00:00,CRV/USD,2.0366,2.2145,2.0312,2.1598,8520.785789640442,3945.17352979
1646697600000,2022-03-08 00:00:00,CRV/USD,1.9775,2.1212,1.9686,2.0359,11777.072286771292,5784.70076466
1646611200000,2022-03-07 00:00:00,CRV/USD,2.0596,2.1364,1.9307,1.9884,36661.17274788665,18437.52401322
1646524800000,2022-03-06 00:00:00,CRV/USD,2.2473,2.2669,2.063,2.0631,16935.137095447077,8208.587608670001
1646438400000,2022-03-05 00:00:00,CRV/USD,2.245,2.2782,2.1929,2.2498,3270.32000682142,1453.6047679
1646352000000,2022-03-04 00:00:00,CRV/USD,2.498,2.5162,2.2262,2.2477,39243.319246432846,17459.32252811
1646265600000,2022-03-03 00:00:00,CRV/USD,2.6485,2.6702,2.4544,2.5034,49268.53039703064,19680.6464796
1646179200000,2022-03-02 00:00:00,CRV/USD,2.5331,2.7534,2.4675,2.6438,110516.72303193004,41802.22521822
1646092800000,2022-03-01 00:00:00,CRV/USD,2.4472,2.6,2.4021,2.5451,123914.01665866603,48687.28798816
1646006400000,2022-02-28 00:00:00,CRV/USD,2.1863,2.4549,2.1335,2.4419,91154.32445605945,37329.26182729
1645920000000,2022-02-27 00:00:00,CRV/USD,2.3798,2.3865,2.1615,2.1872,80417.84627065896,36767.48640758
1645833600000,2022-02-26 00:00:00,CRV/USD,2.3596,2.4483,2.3215,2.3949,417161.60202691436,174187.48257836
1645747200000,2022-02-25 00:00:00,CRV/USD,2.2458,2.4095,2.1995,2.3588,329664.87864851026,139759.57209111
1645660800000,2022-02-24 00:00:00,CRV/USD,2.2884,2.3125,1.9014,2.2448,149320.49379130435,66518.39530974
1645574400000,2022-02-23 00:00:00,CRV/USD,2.3978,2.5208,2.2799,2.2944,68911.81915154487,30034.78868181
1645488000000,2022-02-22 00:00:00,CRV/USD,2.3429,2.4306,2.2271,2.3991,60964.519783833326,25411.41252296
1645401600000,2022-02-21 00:00:00,CRV/USD,2.5477,2.6908,2.3351,2.3399,64159.812709733735,27419.89517062
1645315200000,2022-02-20 00:00:00,CRV/USD,2.801,2.8053,2.5175,2.5508,33194.72159586299,13013.45522811
1645228800000,2022-02-19 00:00:00,CRV/USD,2.8086,2.8673,2.7174,2.805,75174.79058327535,26800.28184787
1645142400000,2022-02-18 00:00:00,CRV/USD,2.9078,2.9959,2.8,2.8074,88411.23582935643,31492.21195033
1645056000000,2022-02-17 00:00:00,CRV/USD,3.1798,3.3,2.8962,2.908,101890.11540951428,35037.86637191
1644969600000,2022-02-16 00:00:00,CRV/USD,3.1697,3.2665,3.0587,3.1762,71357.33193264234,22466.25903049
1644883200000,2022-02-15 00:00:00,CRV/USD,2.9035,3.1854,2.9035,3.1854,51420.5907487871,16142.58515376
1644796800000,2022-02-14 00:00:00,CRV/USD,2.7502,2.9068,2.6677,2.9061,76080.9681755303,26179.74886464
1644710400000,2022-02-13 00:00:00,CRV/USD,2.8688,2.9229,2.7281,2.7449,36803.41083296661,13407.92408939
1644624000000,2022-02-12 00:00:00,CRV/USD,2.8853,3.0171,2.7965,2.876,50967.80830795336,17721.76923086
1644537600000,2022-02-11 00:00:00,CRV/USD,3.1926,3.2424,2.8266,2.8899,78101.93469073997,27025.82604614
1644451200000,2022-02-10 00:00:00,CRV/USD,3.4888,3.4959,3.1766,3.1938,48400.87737137657,15154.63628636
1644364800000,2022-02-09 00:00:00,CRV/USD,3.4308,3.5515,3.3482,3.4956,61770.18302305726,17670.83848926
1644278400000,2022-02-08 00:00:00,CRV/USD,3.5709,3.7195,3.3016,3.4268,133441.53239472734,38940.56624102
1644192000000,2022-02-07 00:00:00,CRV/USD,3.3878,3.6353,3.323,3.5646,169216.01316178948,47471.24871284
1644105600000,2022-02-06 00:00:00,CRV/USD,3.4306,3.5245,3.2759,3.3835,91289.0706609908,26980.66223171
1644019200000,2022-02-05 00:00:00,CRV/USD,3.4337,3.5682,3.3889,3.4237,121661.65426629358,35535.13867053
1643932800000,2022-02-04 00:00:00,CRV/USD,3.1065,3.4459,3.0677,3.4256,127967.90420163878,37356.34756003
1643846400000,2022-02-03 00:00:00,CRV/USD,3.1217,3.1419,2.9921,3.1191,71115.95092989005,22800.15098262
1643760000000,2022-02-02 00:00:00,CRV/USD,3.4662,3.5034,3.0707,3.1063,109620.54314032268,35289.74765487
1643673600000,2022-02-01 00:00:00,CRV/USD,3.2714,3.4986,3.2664,3.4669,102382.59379822978,29531.45282478
1643587200000,2022-01-31 00:00:00,CRV/USD,3.1966,3.3169,2.9543,3.2753,157110.7487924153,47968.35367521
1643500800000,2022-01-30 00:00:00,CRV/USD,2.9863,3.2631,2.9334,3.1879,83207.63871140768,26101.08181292
1643414400000,2022-01-29 00:00:00,CRV/USD,2.9116,3.075,2.8993,2.9895,39385.855772214374,13174.73014625
1643328000000,2022-01-28 00:00:00,CRV/USD,2.7804,2.9542,2.7003,2.9166,96839.45945272542,33202.85930629
1643241600000,2022-01-27 00:00:00,CRV/USD,2.8675,2.9229,2.6574,2.7878,107284.47690131962,38483.56298921
1643155200000,2022-01-26 00:00:00,CRV/USD,3.0224,3.2882,2.8192,2.8629,151380.26472686557,52876.54641338
1643068800000,2022-01-25 00:00:00,CRV/USD,2.8176,3.1167,2.7055,3.0196,215609.2615803407,71403.25260973
1642982400000,2022-01-24 00:00:00,CRV/USD,3.019,3.0203,2.3657,2.808,533173.6622724875,189876.66035345
1642896000000,2022-01-23 00:00:00,CRV/USD,2.8837,3.1497,2.8335,3.0196,255465.97657040972,84602.58861121
1642809600000,2022-01-22 00:00:00,CRV/USD,3.296,3.4458,2.5665,2.8842,964172.9008286678,334294.74406375
1642723200000,2022-01-21 00:00:00,CRV/USD,3.9622,4.0536,3.2187,3.3114,357354.76103994536,107916.51900705
1642636800000,2022-01-20 00:00:00,CRV/USD,4.1988,4.5582,3.9467,3.9631,133054.6100233772,33573.36681471
1642550400000,2022-01-19 00:00:00,CRV/USD,4.54,4.5565,4.1854,4.1928,167085.81343294223,39850.65193497
1642464000000,2022-01-18 00:00:00,CRV/USD,4.7812,4.841,4.41,4.5569,196827.08769406317,43193.19881807
1642377600000,2022-01-17 00:00:00,CRV/USD,5.146,5.1753,4.6164,4.7714,186179.65730878885,39019.92230976
1642291200000,2022-01-16 00:00:00,CRV/USD,5.2862,5.3642,5.0698,5.1421,72938.25578704214,14184.52690283
1642204800000,2022-01-15 00:00:00,CRV/USD,5.3529,5.4726,5.2579,5.2969,325893.06163049495,61525.243374519996
1642118400000,2022-01-14 00:00:00,CRV/USD,5.0496,5.3772,4.6581,5.3498,517203.1772423714,96677.10517073
1642032000000,2022-01-13 00:00:00,CRV/USD,4.9083,5.1788,4.7698,5.026,298976.13042611576,59485.8994083
1641945600000,2022-01-12 00:00:00,CRV/USD,4.6291,5.0091,4.582,4.9005,235440.58391948804,48044.19629007
1641859200000,2022-01-11 00:00:00,CRV/USD,4.3261,4.6604,4.2555,4.6148,328503.74380671827,71184.82790299
1641772800000,2022-01-10 00:00:00,CRV/USD,4.4951,4.6113,4.0434,4.3165,468158.6696055307,108457.93341956
1641686400000,2022-01-09 00:00:00,CRV/USD,4.5939,4.8622,4.504,4.504,161670.57539980984,35894.88796621
1641600000000,2022-01-08 00:00:00,CRV/USD,5.0178,5.2242,4.4005,4.5988,281630.2637073849,61239.94600926
1641513600000,2022-01-07 00:00:00,CRV/USD,5.4164,5.4276,4.75,5.0014,642112.039993906,128386.45979004
1641427200000,2022-01-06 00:00:00,CRV/USD,5.4102,5.518,5.0827,5.3997,392122.6509527701,72619.34013978
1641340800000,2022-01-05 00:00:00,CRV/USD,6.0935,6.4168,5.0,5.4007,447365.42064436025,82834.71043464
1641254400000,2022-01-04 00:00:00,CRV/USD,6.5292,6.7971,6.0641,6.078,436026.4831925305,71738.48028834
1641168000000,2022-01-03 00:00:00,CRV/USD,6.0296,6.7219,5.7411,6.5069,506750.1318263773,77878.8873083
1641081600000,2022-01-02 00:00:00,CRV/USD,6.2144,6.4375,5.914,6.0382,285737.7464384196,47321.67639999
1640995200000,2022-01-01 00:00:00,CRV/USD,5.3728,6.2899,5.3701,6.2258,345208.7299423235,55448.09180223
1640908800000,2021-12-31 00:00:00,CRV/USD,5.1206,5.7056,5.0197,5.3614,324688.3113086196,60560.35947861
1640822400000,2021-12-30 00:00:00,CRV/USD,4.8579,5.2777,4.6656,5.1168,244516.8668686673,47787.06747746
1640736000000,2021-12-29 00:00:00,CRV/USD,4.7291,5.1961,4.7198,4.8323,282634.2659596923,58488.55947679
1640649600000,2021-12-28 00:00:00,CRV/USD,5.2595,5.2595,4.6633,4.7724,146990.66247744058,30800.15557737
1640563200000,2021-12-27 00:00:00,CRV/USD,5.774,5.7887,5.2867,5.2867,185461.4924941617,35080.76730175
1640476800000,2021-12-26 00:00:00,CRV/USD,5.8205,6.0617,5.6604,5.7489,204164.87871758905,35513.72935998
1640390400000,2021-12-25 00:00:00,CRV/USD,5.1839,5.9035,5.1363,5.8478,299186.47359158605,51162.22743452
1640304000000,2021-12-24 00:00:00,CRV/USD,5.1775,5.5996,5.0479,5.183,172737.58144136952,33327.72167497
1640217600000,2021-12-23 00:00:00,CRV/USD,5.1764,5.4357,4.9292,5.1894,372647.9033839102,71809.43912281
1640131200000,2021-12-22 00:00:00,CRV/USD,4.65,5.2805,4.65,5.0405,312875.57535124983,62072.3292037
1640044800000,2021-12-21 00:00:00,CRV/USD,4.1218,4.6365,4.0551,4.6365,194633.31994923187,41978.50101353
