https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume CLO
1647129600000,2022-03-13 00:00:00,CLO/USD,0.006742,0.0068284,0.0064033,0.0064079,33179.61958100103,5177924.05952044
1647043200000,2022-03-12 00:00:00,CLO/USD,0.0067742,0.00692,0.0066675,0.0067417,26939.44860028765,3995942.95211707
1646956800000,2022-03-11 00:00:00,CLO/USD,0.0066662,0.0070998,0.0066,0.006774,39161.9835102531,5781219.88636745
1646870400000,2022-03-10 00:00:00,CLO/USD,0.0068947,0.007,0.0066545,0.0066662,31543.682603892063,4731883.62243738
1646784000000,2022-03-09 00:00:00,CLO/USD,0.0067542,0.0070461,0.0067,0.0068934,41694.93691609163,6048530.03105748
1646697600000,2022-03-08 00:00:00,CLO/USD,0.0069202,0.0071,0.0067,0.0067964,37732.01213041707,5551764.48272866
1646611200000,2022-03-07 00:00:00,CLO/USD,0.0068443,0.00719,0.0066,0.0069158,61145.52010418442,8841424.00072073
1646524800000,2022-03-06 00:00:00,CLO/USD,0.0069982,0.0071016,0.0067,0.0068586,40513.14049940583,5906911.10422037
1646438400000,2022-03-05 00:00:00,CLO/USD,0.0068208,0.00732,0.0068,0.0070159,43943.52151831897,6263419.02226642
1646352000000,2022-03-04 00:00:00,CLO/USD,0.0072244,0.0072244,0.0068,0.0068152,52012.07733803301,7631775.63945783
1646265600000,2022-03-03 00:00:00,CLO/USD,0.0068376,0.00841,0.0068,0.0072347,108749.05781378897,15031591.88546712
1646179200000,2022-03-02 00:00:00,CLO/USD,0.0068442,0.0072,0.0068001,0.0068147,37916.63251630984,5563947.42487708
1646092800000,2022-03-01 00:00:00,CLO/USD,0.0058089,0.0072,0.0057973,0.0068262,200803.82639717008,29416633.91010666
1646006400000,2022-02-28 00:00:00,CLO/USD,0.0054485,0.006982,0.0053819,0.0057818,81848.36303193138,14156207.93384956
1645920000000,2022-02-27 00:00:00,CLO/USD,0.0054422,0.0058,0.0052082,0.0054325,43072.28996782245,7928631.37925862
1645833600000,2022-02-26 00:00:00,CLO/USD,0.0053072,0.0056351,0.005257,0.0054409,42055.762613889434,7729559.92830036
1645747200000,2022-02-25 00:00:00,CLO/USD,0.00509,0.0055182,0.0049111,0.0053051,50787.31624233025,9573300.45471909
1645660800000,2022-02-24 00:00:00,CLO/USD,0.0052047,0.0054,0.0045,0.005084,79771.3594762585,15690668.66173456
1645574400000,2022-02-23 00:00:00,CLO/USD,0.0048655,0.006985,0.004861,0.0052302,123503.39858099553,23613513.55225336
1645488000000,2022-02-22 00:00:00,CLO/USD,0.004781,0.00505,0.00466,0.0048712,29494.37175534044,6054847.21533512
