https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BMI
1640908800000,2021-12-31 00:00:00,BMI/USD,0.25114,0.25793,0.25111,0.25793,560.6290620439837,2173.57058909
1640822400000,2021-12-30 00:00:00,BMI/USD,0.25005,0.25185,0.24888,0.25042,1179.1716742754697,4708.7759535
1640736000000,2021-12-29 00:00:00,BMI/USD,0.24961,0.25049,0.24692,0.25038,4526.931006937732,18080.24205982
1640649600000,2021-12-28 00:00:00,BMI/USD,0.2713,0.2713,0.2564,0.25788,1610.0393650449444,6243.36654663
1640563200000,2021-12-27 00:00:00,BMI/USD,0.27142,0.27457,0.27142,0.27156,914.7595270390452,3368.53559817
1640476800000,2021-12-26 00:00:00,BMI/USD,0.27571,0.27603,0.2659,0.27478,3084.2204227251145,11224.32645289
1640390400000,2021-12-25 00:00:00,BMI/USD,0.30185,0.30185,0.27211,0.27648,369.85007592622077,1337.71005471
1640304000000,2021-12-24 00:00:00,BMI/USD,0.29829,0.30145,0.29673,0.30145,754.08093938702,2501.5124876
1640217600000,2021-12-23 00:00:00,BMI/USD,0.28663,0.29864,0.28411,0.29851,19691.470557736746,65965.86565856
1640131200000,2021-12-22 00:00:00,BMI/USD,0.27861,0.37258,0.27861,0.29034,3564.952777328095,12278.545075869999
1640044800000,2021-12-21 00:00:00,BMI/USD,0.27866,0.27869,0.27713,0.27812,695.8456408467999,2501.96189
1639958400000,2021-12-20 00:00:00,BMI/USD,0.26827,0.26913,0.26827,0.26891,918.8372320943483,3416.89499124
1639872000000,2021-12-19 00:00:00,BMI/USD,0.27725,0.27732,0.27716,0.27716,139.21205986561122,502.28048732
1639785600000,2021-12-18 00:00:00,BMI/USD,0.27733,0.28095,0.27733,0.27829,3363.0462192672026,12084.68223532
1639699200000,2021-12-17 00:00:00,BMI/USD,0.28917,0.29052,0.27985,0.27994,1843.182705049009,6584.20627652
1639612800000,2021-12-16 00:00:00,BMI/USD,0.28909,0.29218,0.28909,0.29192,2415.1411988380078,8273.2981599
1639526400000,2021-12-15 00:00:00,BMI/USD,0.28694,0.29342,0.27339,0.29058,7994.626940114325,27512.65379625
1639440000000,2021-12-14 00:00:00,BMI/USD,0.30798,0.30798,0.28174,0.28549,5849.208834473097,20488.31424734
1639353600000,2021-12-13 00:00:00,BMI/USD,0.3439,0.3439,0.30508,0.30661,287.0513318772649,936.20994709
1639267200000,2021-12-12 00:00:00,BMI/USD,0.33805,0.34431,0.33805,0.34342,339.7401263502092,989.28462626
