https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DAT
1642464000000,2022-01-18 00:00:00,DAT/USD,0.098911,0.098911,0.090054,0.097648,17537.87816267453,179603.04525105
1642377600000,2022-01-17 00:00:00,DAT/USD,0.10047,0.10091,0.097341,0.098437,2860.55606488302,29059.76477222
1642291200000,2022-01-16 00:00:00,DAT/USD,0.10499,0.1065,0.10246,0.10255,1094.1258865824454,10669.19440841
1642204800000,2022-01-15 00:00:00,DAT/USD,0.10086,0.10428,0.10046,0.10316,461.35364028828843,4472.21442699
1642118400000,2022-01-14 00:00:00,DAT/USD,0.09926,0.10087,0.098731,0.10086,983.0734115680681,9746.9106838
1642032000000,2022-01-13 00:00:00,DAT/USD,0.10281,0.10487,0.0985,0.0985,2236.79107602368,22708.53884288
1641945600000,2022-01-12 00:00:00,DAT/USD,0.0981,0.10399,0.0981,0.10347,2150.463345946782,20783.44782011
1641859200000,2022-01-11 00:00:00,DAT/USD,0.094183,0.10302,0.094183,0.097541,1569.2664234430479,16088.27491458
1641772800000,2022-01-10 00:00:00,DAT/USD,0.09962,0.099875,0.090046,0.092719,11383.136945196522,122770.27303138
1641686400000,2022-01-09 00:00:00,DAT/USD,0.095056,0.11,0.094261,0.09994,7213.896147717619,72182.27083968
1641600000000,2022-01-08 00:00:00,DAT/USD,0.09935,0.099844,0.092714,0.095118,14032.144821243135,147523.54781684998
1641513600000,2022-01-07 00:00:00,DAT/USD,0.10566,0.10667,0.097,0.09927,6374.884979739025,64217.63855887
1641427200000,2022-01-06 00:00:00,DAT/USD,0.10729,0.10779,0.10017,0.10762,2032.642604620991,18887.21989055
1641340800000,2022-01-05 00:00:00,DAT/USD,0.12076,0.1208,0.1025,0.1078,7414.46795841244,68779.85119121001
1641254400000,2022-01-04 00:00:00,DAT/USD,0.12071,0.12503,0.12071,0.12076,3081.943212486433,25521.22567478
1641168000000,2022-01-03 00:00:00,DAT/USD,0.11979,0.12221,0.1188,0.1188,1767.772847798892,14880.24282659
1641081600000,2022-01-02 00:00:00,DAT/USD,0.11949,0.12134,0.1184,0.12066,4990.141650483032,41357.04997914
1640995200000,2022-01-01 00:00:00,DAT/USD,0.11753,0.11924,0.11752,0.11785,3222.882711859654,27347.328908440002
1640908800000,2021-12-31 00:00:00,DAT/USD,0.12035,0.13107,0.11642,0.11647,12443.392974943838,106837.75199573999
1640822400000,2021-12-30 00:00:00,DAT/USD,0.12021,0.12312,0.12011,0.12035,2256.0044502331393,18745.36310954
1640736000000,2021-12-29 00:00:00,DAT/USD,0.12166,0.12732,0.12011,0.12023,19962.388414763394,166035.00303388
1640649600000,2021-12-28 00:00:00,DAT/USD,0.1311,0.1311,0.121,0.12171,7091.990880819562,58269.582456820004
1640563200000,2021-12-27 00:00:00,DAT/USD,0.1258,0.13934,0.12409,0.1321,7919.403307685777,59950.06288937
1640476800000,2021-12-26 00:00:00,DAT/USD,0.122,0.12627,0.12012,0.12596,3831.428897003729,30417.82230076
