https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GTX
1649548800000,2022-04-10 00:00:00,GTX/USD,6.6434,6.7248,6.6388,6.6921,3457.249824119256,516.61658136
1649462400000,2022-04-09 00:00:00,GTX/USD,6.6446,6.6813,6.6084,6.6431,4942.848568774108,744.05752868
1649376000000,2022-04-08 00:00:00,GTX/USD,6.7924,6.7925,6.6222,6.6223,4435.26580511179,669.7470373
1649289600000,2022-04-07 00:00:00,GTX/USD,6.6058,6.7939,6.6057,6.7924,6851.187590782268,1008.65490707
1649203200000,2022-04-06 00:00:00,GTX/USD,6.9832,6.9832,6.6049,6.6058,7550.2352668999765,1142.97061172
1649116800000,2022-04-05 00:00:00,GTX/USD,6.9819,7.1008,6.9688,6.9873,7662.902414943058,1096.69005409
1649030400000,2022-04-04 00:00:00,GTX/USD,6.9946,7.0931,6.8353,6.9819,9332.421935942692,1336.65935289
1648944000000,2022-04-03 00:00:00,GTX/USD,6.866,6.9948,6.8593,6.9948,7881.477359435244,1126.76236053
1648857600000,2022-04-02 00:00:00,GTX/USD,6.8636,6.9881,6.859,6.866,8605.57783757436,1253.36117646
1648771200000,2022-04-01 00:00:00,GTX/USD,6.6672,6.876,6.6051,6.8636,7943.917007449044,1157.39801379
1648684800000,2022-03-31 00:00:00,GTX/USD,6.7618,6.7958,6.6021,6.6672,8399.87939593008,1259.8811189
1648598400000,2022-03-30 00:00:00,GTX/USD,6.7521,6.7941,6.6907,6.7618,13525.702719447865,2000.31097037
1648512000000,2022-03-29 00:00:00,GTX/USD,6.7522,6.9222,6.7247,6.7465,21155.661405549497,3135.79802943
1648425600000,2022-03-28 00:00:00,GTX/USD,6.5986,6.851,6.5856,6.7696,15633.637350612415,2309.38864196
1648339200000,2022-03-27 00:00:00,GTX/USD,6.4859,6.6024,6.4602,6.5848,5262.616014504609,799.20665996
1648252800000,2022-03-26 00:00:00,GTX/USD,6.5357,6.5357,6.452,6.486,4202.8787064,647.9924
1648166400000,2022-03-25 00:00:00,GTX/USD,6.4918,6.5711,6.4475,6.5388,12188.372609330603,1864.00755633
1648080000000,2022-03-24 00:00:00,GTX/USD,6.5126,6.5503,6.4207,6.4918,14863.41357428725,2289.56738875
1647993600000,2022-03-23 00:00:00,GTX/USD,6.4249,6.5127,6.367,6.5126,16958.234614977282,2603.91158907
1647907200000,2022-03-22 00:00:00,GTX/USD,6.37,6.5333,6.3649,6.425,18783.188177497,2923.45341284
1647820800000,2022-03-21 00:00:00,GTX/USD,6.4481,6.4481,6.3337,6.37,18453.1585261478,2896.88516894
1647734400000,2022-03-20 00:00:00,GTX/USD,6.3229,6.5225,6.3171,6.4481,17051.77412169,2644.4649
1647648000000,2022-03-19 00:00:00,GTX/USD,6.3357,6.3948,6.2758,6.3229,15679.86379828,2479.8532
1647561600000,2022-03-18 00:00:00,GTX/USD,6.3134,6.367,6.2606,6.3357,12371.95812133972,1952.73736467
1647475200000,2022-03-17 00:00:00,GTX/USD,6.5111,6.5125,6.2744,6.3133,18837.752173587043,2983.82021662
1647388800000,2022-03-16 00:00:00,GTX/USD,6.3029,6.5663,6.2327,6.5111,19008.686630640852,2919.42784332
1647302400000,2022-03-15 00:00:00,GTX/USD,6.348,6.3614,6.2181,6.3029,30363.227666777784,4817.34244027
1647216000000,2022-03-14 00:00:00,GTX/USD,6.2437,6.3878,6.2225,6.348,23987.766812976242,3778.79124338
1647129600000,2022-03-13 00:00:00,GTX/USD,6.4443,6.5383,6.2301,6.2439,20047.965219265894,3210.80818387
1647043200000,2022-03-12 00:00:00,GTX/USD,6.3203,6.5437,6.3016,6.4574,27387.749990156775,4241.29680524
