https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DVF
1647907200000,2022-03-22 00:00:00,DVF/USD,4.9852,5.0042,4.7423,4.8867,303441.37486250355,62095.35573342
1647820800000,2022-03-21 00:00:00,DVF/USD,4.9286,4.9896,4.9286,4.9896,5998.9349873376,1202.287756
1647734400000,2022-03-20 00:00:00,DVF/USD,5.0568,5.0613,4.9326,4.9624,19084.31838627535,3845.78397273
1647648000000,2022-03-19 00:00:00,DVF/USD,5.2143,5.3325,5.0433,5.0523,14712.459994361117,2912.03214266
1647561600000,2022-03-18 00:00:00,DVF/USD,5.2437,5.2437,5.1055,5.216,31376.75760672,6015.482669999999
1647475200000,2022-03-17 00:00:00,DVF/USD,5.2232,5.2635,5.2232,5.2607,5383.579430600001,1023.3580000000001
1647388800000,2022-03-16 00:00:00,DVF/USD,5.1454,5.2339,5.1406,5.2177,22364.136941845998,4286.20598
1647302400000,2022-03-15 00:00:00,DVF/USD,5.1497,5.1852,5.0823,5.1542,10426.076122624601,2022.8311130000002
1647216000000,2022-03-14 00:00:00,DVF/USD,5.0718,5.1457,5.0672,5.1457,71871.5174302419,13967.296467
1647129600000,2022-03-13 00:00:00,DVF/USD,5.1107,5.1298,5.0718,5.0718,60113.39639885999,11852.4777
1647043200000,2022-03-12 00:00:00,DVF/USD,5.1039,5.1212,5.1039,5.1212,605.10153144,118.1562
1646956800000,2022-03-11 00:00:00,DVF/USD,5.0718,5.1794,5.0718,5.091,12541.244018787,2463.414657
1646870400000,2022-03-10 00:00:00,DVF/USD,5.1555,5.1555,5.1016,5.1273,59645.81686002299,11632.987509999999
1646784000000,2022-03-09 00:00:00,DVF/USD,5.2068,5.3311,5.1555,5.1728,134497.166515664,26000.84413
1646697600000,2022-03-08 00:00:00,DVF/USD,5.3612,5.3665,5.1753,5.2608,131670.59066830078,25028.625051
1646611200000,2022-03-07 00:00:00,DVF/USD,5.4835,5.4923,5.3434,5.3701,26283.4745188466,4894.41062901
1646524800000,2022-03-06 00:00:00,DVF/USD,5.6403,5.6403,5.5923,5.6073,53490.669906708004,9539.46996
1646438400000,2022-03-05 00:00:00,DVF/USD,5.5984,5.6657,5.5844,5.6563,3054.5764516046,540.030842
1646352000000,2022-03-04 00:00:00,DVF/USD,5.7368,5.7368,5.6064,5.61,22727.466441843902,4051.24178999
1646265600000,2022-03-03 00:00:00,DVF/USD,5.8388,5.8514,5.7199,5.7614,18862.666676805817,3273.97276301
1646179200000,2022-03-02 00:00:00,DVF/USD,5.9152,5.9953,5.9115,5.934,12647.17336434066,2131.30659999
1646092800000,2022-03-01 00:00:00,DVF/USD,5.9299,5.9707,5.8774,5.935,28343.768241304995,4775.698103
1646006400000,2022-02-28 00:00:00,DVF/USD,5.7011,5.9795,5.6655,5.925,29302.341036675,4945.542791
1645920000000,2022-02-27 00:00:00,DVF/USD,5.7993,5.8497,5.6085,5.6969,40968.5842069504,7191.382016
1645833600000,2022-02-26 00:00:00,DVF/USD,5.8594,5.9302,5.818,5.8539,20606.90990241,3520.2019
1645747200000,2022-02-25 00:00:00,DVF/USD,5.7343,5.8707,5.7343,5.8487,47729.752548466844,8160.74555858
1645660800000,2022-02-24 00:00:00,DVF/USD,5.6983,5.8935,5.5663,5.7301,57027.57095904354,9952.28197746
1645574400000,2022-02-23 00:00:00,DVF/USD,5.3854,5.9386,5.3799,5.7446,172413.9183126667,30013.21559598
1645488000000,2022-02-22 00:00:00,DVF/USD,5.3434,5.4052,5.3434,5.3935,29360.527830095,5443.68737
1645401600000,2022-02-21 00:00:00,DVF/USD,5.351,5.45,5.3434,5.3434,43701.0026815588,8178.501082
1645315200000,2022-02-20 00:00:00,DVF/USD,5.3654,5.3947,5.3434,5.3947,50537.95636038,9368.0754
1645228800000,2022-02-19 00:00:00,DVF/USD,5.4183,5.4183,5.3654,5.3959,5534.784044879,1025.73881
1645142400000,2022-02-18 00:00:00,DVF/USD,5.5533,5.5533,5.4518,5.4518,63661.161949737405,11677.090493
1645056000000,2022-02-17 00:00:00,DVF/USD,5.6247,5.6247,5.5267,5.5542,57696.5399750532,10387.911846
1644969600000,2022-02-16 00:00:00,DVF/USD,5.7422,5.7444,5.664,5.7214,12787.008653092598,2234.944009
1644883200000,2022-02-15 00:00:00,DVF/USD,5.5926,5.7491,5.5926,5.7491,68388.7808581103,11895.562933
1644796800000,2022-02-14 00:00:00,DVF/USD,5.5528,5.6059,5.5267,5.5879,20491.4214609388,3667.105972
1644710400000,2022-02-13 00:00:00,DVF/USD,5.5568,5.5825,5.5352,5.5735,30978.413510395003,5558.16157
1644624000000,2022-02-12 00:00:00,DVF/USD,5.5791,5.5839,5.5442,5.5703,963.9141665209339,173.04528778
1644537600000,2022-02-11 00:00:00,DVF/USD,5.6029,5.663,5.5638,5.5936,32988.4000519808,5897.525753
1644451200000,2022-02-10 00:00:00,DVF/USD,5.7545,5.7865,5.6627,5.7638,14095.351774232051,2445.49633475
1644364800000,2022-02-09 00:00:00,DVF/USD,5.6672,5.7927,5.6672,5.7439,11463.7740417265,1995.817135
1644278400000,2022-02-08 00:00:00,DVF/USD,5.6701,5.7075,5.6029,5.6758,26802.042709233996,4722.16123
1644192000000,2022-02-07 00:00:00,DVF/USD,5.8404,5.8404,5.604,5.6608,81858.0998245536,14460.517917
1644105600000,2022-02-06 00:00:00,DVF/USD,5.8759,5.9204,5.8539,5.8539,19676.1344636532,3361.200988
1644019200000,2022-02-05 00:00:00,DVF/USD,5.9499,5.9499,5.8806,5.8809,8168.263705109999,1388.9479
1643932800000,2022-02-04 00:00:00,DVF/USD,5.7718,5.9907,5.7596,5.9907,40300.9710634599,6727.255757
1643846400000,2022-02-03 00:00:00,DVF/USD,5.7535,5.7674,5.6769,5.7674,20526.5952901704,3559.072596
1643760000000,2022-02-02 00:00:00,DVF/USD,5.8739,5.9158,5.7094,5.7572,17168.786540672,2982.14176
1643673600000,2022-02-01 00:00:00,DVF/USD,5.8785,5.9375,5.8727,5.9124,27969.44197681733,4730.64102172
1643587200000,2022-01-31 00:00:00,DVF/USD,5.8673,5.8794,5.6029,5.8794,82708.49336534401,14067.50576
1643500800000,2022-01-30 00:00:00,DVF/USD,5.8567,5.9029,5.8567,5.9003,16871.868140980998,2859.49327
1643414400000,2022-01-29 00:00:00,DVF/USD,5.9212,5.9585,5.7887,5.8755,51280.56391553849,8727.863827
1643328000000,2022-01-28 00:00:00,DVF/USD,5.7615,5.917,5.7615,5.917,38137.2490978325,6445.3691225
1643241600000,2022-01-27 00:00:00,DVF/USD,5.7612,5.8244,5.6893,5.7576,18770.776146938402,3260.173709
1643155200000,2022-01-26 00:00:00,DVF/USD,5.885,6.015,5.7464,5.7611,64136.529816186994,11132.68817
1643068800000,2022-01-25 00:00:00,DVF/USD,5.8551,5.886,5.8238,5.8756,22651.504480156,3855.18151
1642982400000,2022-01-24 00:00:00,DVF/USD,5.8579,5.8684,5.6893,5.8682,160527.9589724096,27355.570528
1642896000000,2022-01-23 00:00:00,DVF/USD,5.7626,5.8751,5.7522,5.8751,94081.401953308,16013.58308
1642809600000,2022-01-22 00:00:00,DVF/USD,5.8305,5.8885,5.7057,5.7523,112887.27254177499,19624.71925
1642723200000,2022-01-21 00:00:00,DVF/USD,6.0438,6.044,5.7917,5.8139,193170.19620737972,33225.579423
