https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume JST
1651104000000,2022-04-28 00:00:00,JST/USD,0.064517,0.064542,0.062408,0.063549,34122.59035505504,536949.28881737
1651017600000,2022-04-27 00:00:00,JST/USD,0.064234,0.06514,0.062838,0.064578,48393.350441005554,749378.27806692
1650931200000,2022-04-26 00:00:00,JST/USD,0.065145,0.069105,0.063409,0.064252,101663.40461940652,1582260.54627726
1650844800000,2022-04-25 00:00:00,JST/USD,0.066558,0.069465,0.060536,0.065147,76088.52597633067,1167951.34045053
1650758400000,2022-04-24 00:00:00,JST/USD,0.068669,0.069402,0.065641,0.066505,41229.720872929494,619949.1898794
1650672000000,2022-04-23 00:00:00,JST/USD,0.069801,0.070691,0.068383,0.068687,38690.245622492075,563283.38146217
1650585600000,2022-04-22 00:00:00,JST/USD,0.072331,0.07263,0.069327,0.0698,50950.75828475566,729953.55708819
1650499200000,2022-04-21 00:00:00,JST/USD,0.072641,0.080416,0.070846,0.072332,121096.78150826422,1674179.91356888
1650412800000,2022-04-20 00:00:00,JST/USD,0.074857,0.074857,0.071588,0.07264,56963.42124923199,784188.06785837
1650326400000,2022-04-19 00:00:00,JST/USD,0.074333,0.075876,0.072078,0.074858,70209.17057520688,937898.02793565
1650240000000,2022-04-18 00:00:00,JST/USD,0.073757,0.074738,0.06845,0.0747,73046.37427843762,977863.10948377
1650153600000,2022-04-17 00:00:00,JST/USD,0.076634,0.079905,0.073158,0.073874,50665.66966523234,685838.99159694
1650067200000,2022-04-16 00:00:00,JST/USD,0.078715,0.078715,0.075377,0.076635,98307.62875320076,1282803.27204542
1649980800000,2022-04-15 00:00:00,JST/USD,0.077712,0.081459,0.075352,0.078742,95254.6599588134,1209705.87435947
1649894400000,2022-04-14 00:00:00,JST/USD,0.076428,0.07981,0.074273,0.0779,74143.46096402542,951777.41930713
1649808000000,2022-04-13 00:00:00,JST/USD,0.07512,0.077322,0.070908,0.0767,73118.88135337312,953310.05675845
1649721600000,2022-04-12 00:00:00,JST/USD,0.072797,0.076385,0.070414,0.07512,83791.1403706512,1115430.51611623
1649635200000,2022-04-11 00:00:00,JST/USD,0.080759,0.086278,0.071243,0.072908,270268.74498023716,3706983.38975472
1649548800000,2022-04-10 00:00:00,JST/USD,0.076203,0.08618,0.074975,0.080384,290904.0110507278,3618929.27760161
1649462400000,2022-04-09 00:00:00,JST/USD,0.075703,0.084428,0.073316,0.076057,268132.53219968756,3525415.57252702
1649376000000,2022-04-08 00:00:00,JST/USD,0.070894,0.080926,0.070465,0.075977,203045.2589522261,2672456.91396378
1649289600000,2022-04-07 00:00:00,JST/USD,0.066121,0.074001,0.066121,0.070892,302715.027099753,4270087.27500639
1649203200000,2022-04-06 00:00:00,JST/USD,0.075364,0.075364,0.065867,0.066121,282465.1034741886,4271942.40066225
1649116800000,2022-04-05 00:00:00,JST/USD,0.072777,0.084428,0.072288,0.075383,469685.92753054923,6230661.12426607
1649030400000,2022-04-04 00:00:00,JST/USD,0.077606,0.077607,0.070004,0.072814,399229.31090385164,5482864.70876276
1648944000000,2022-04-03 00:00:00,JST/USD,0.079905,0.080474,0.076006,0.077581,381816.67527870956,4921522.99246864
1648857600000,2022-04-02 00:00:00,JST/USD,0.086465,0.08836,0.079413,0.0799,513406.40585509007,6425612.088299
1648771200000,2022-04-01 00:00:00,JST/USD,0.08405,0.094123,0.080493,0.086373,609015.819678466,7050997.64600588
1648684800000,2022-03-31 00:00:00,JST/USD,0.083848,0.116,0.083567,0.083863,1214902.0721980026,14486747.10179701
1648598400000,2022-03-30 00:00:00,JST/USD,0.059417,0.086627,0.057226,0.083847,661209.3245877014,7885903.1878028
1648512000000,2022-03-29 00:00:00,JST/USD,0.059675,0.061394,0.058332,0.059455,104907.07273817717,1764478.55921583
1648425600000,2022-03-28 00:00:00,JST/USD,0.061726,0.062519,0.05964,0.059789,29208.177649168727,488520.92607618
1648339200000,2022-03-27 00:00:00,JST/USD,0.060976,0.066181,0.057267,0.061812,148236.77697227703,2398187.68155499
1648252800000,2022-03-26 00:00:00,JST/USD,0.053154,0.06172,0.05259,0.060813,90690.32167969206,1491298.26977278
1648166400000,2022-03-25 00:00:00,JST/USD,0.053185,0.05465,0.051985,0.053156,26472.055195380908,498006.9078821
1648080000000,2022-03-24 00:00:00,JST/USD,0.053354,0.053354,0.05101,0.053288,31001.839596496004,581779.0045882
1647993600000,2022-03-23 00:00:00,JST/USD,0.052175,0.053379,0.051145,0.053361,20118.28533900644,377022.26980391
1647907200000,2022-03-22 00:00:00,JST/USD,0.050826,0.052893,0.050669,0.052173,32836.91341360852,629385.18800162
1647820800000,2022-03-21 00:00:00,JST/USD,0.051291,0.051784,0.049919,0.050968,27399.36729909276,537579.80103384
1647734400000,2022-03-20 00:00:00,JST/USD,0.052516,0.054323,0.050221,0.051057,33521.009147609075,656540.90815381
1647648000000,2022-03-19 00:00:00,JST/USD,0.05174,0.052712,0.051321,0.052511,24644.955947850478,469329.3966569
1647561600000,2022-03-18 00:00:00,JST/USD,0.050959,0.051884,0.049437,0.051884,23333.046363497524,449715.64188377
1647475200000,2022-03-17 00:00:00,JST/USD,0.049769,0.05102,0.048706,0.05102,21465.870788817516,420734.43333629
1647388800000,2022-03-16 00:00:00,JST/USD,0.048632,0.049834,0.047674,0.049791,28204.47724254882,566457.33651762
1647302400000,2022-03-15 00:00:00,JST/USD,0.050006,0.050088,0.047215,0.048894,25606.05324781864,523705.42904689
1647216000000,2022-03-14 00:00:00,JST/USD,0.047124,0.050438,0.046583,0.049975,52267.07129191706,1045864.35801735
1647129600000,2022-03-13 00:00:00,JST/USD,0.048451,0.048759,0.046954,0.047135,16240.374316209049,344550.21356124
1647043200000,2022-03-12 00:00:00,JST/USD,0.049523,0.050439,0.048451,0.048544,16517.55082445503,340259.36932381
1646956800000,2022-03-11 00:00:00,JST/USD,0.049049,0.052079,0.048219,0.049468,27060.002690197653,547020.35033148
1646870400000,2022-03-10 00:00:00,JST/USD,0.052557,0.052557,0.047985,0.049114,32168.633756877043,654978.90126801
1646784000000,2022-03-09 00:00:00,JST/USD,0.047624,0.059589,0.047624,0.052803,112023.96068172918,2121545.37965133
1646697600000,2022-03-08 00:00:00,JST/USD,0.044968,0.047703,0.04477,0.047616,22701.571390548466,476763.51206629
1646611200000,2022-03-07 00:00:00,JST/USD,0.045692,0.046379,0.044395,0.044965,23597.4695369558,524796.38689994
1646524800000,2022-03-06 00:00:00,JST/USD,0.047488,0.047601,0.045413,0.04555,22049.69470216885,484076.72233082
1646438400000,2022-03-05 00:00:00,JST/USD,0.046351,0.047672,0.045343,0.047418,19304.844628191975,407120.60036678
1646352000000,2022-03-04 00:00:00,JST/USD,0.048174,0.048174,0.045464,0.046373,27619.07070209091,595585.16166931
1646265600000,2022-03-03 00:00:00,JST/USD,0.049003,0.049003,0.047043,0.048041,16923.782170099115,352277.89117835
1646179200000,2022-03-02 00:00:00,JST/USD,0.05127,0.05127,0.047977,0.049003,38220.93564864177,779971.3415228
1646092800000,2022-03-01 00:00:00,JST/USD,0.048312,0.057265,0.048312,0.051214,105847.99998764668,2066778.61498119
1646006400000,2022-02-28 00:00:00,JST/USD,0.04443,0.048218,0.04443,0.048163,49752.831605909385,1033009.39737785
1645920000000,2022-02-27 00:00:00,JST/USD,0.04661,0.046833,0.043997,0.044415,27482.509413150332,618766.39453226
1645833600000,2022-02-26 00:00:00,JST/USD,0.045812,0.047299,0.045316,0.046607,16164.506811007557,346825.73027673
1645747200000,2022-02-25 00:00:00,JST/USD,0.043605,0.046497,0.04251,0.045782,42992.80345039909,939076.56831067
1645660800000,2022-02-24 00:00:00,JST/USD,0.04494,0.04494,0.039621,0.04374,44094.97075996483,1008115.47233573
1645574400000,2022-02-23 00:00:00,JST/USD,0.045654,0.048313,0.044431,0.044734,26661.04005348963,595990.52294652
1645488000000,2022-02-22 00:00:00,JST/USD,0.044432,0.046944,0.043102,0.045717,37588.429744516456,822198.08265014
1645401600000,2022-02-21 00:00:00,JST/USD,0.048429,0.049601,0.044382,0.044481,20044.305573128804,450626.23531685
1645315200000,2022-02-20 00:00:00,JST/USD,0.052595,0.052595,0.047521,0.048429,36808.45657106786,760049.89925598
1645228800000,2022-02-19 00:00:00,JST/USD,0.049302,0.05712,0.049302,0.052534,101071.37076984621,1923922.99786512
1645142400000,2022-02-18 00:00:00,JST/USD,0.048935,0.051262,0.048482,0.049355,47791.04065065532,968312.03830727
1645056000000,2022-02-17 00:00:00,JST/USD,0.053219,0.057425,0.048618,0.048936,117876.60575418996,2408791.19164194
1644969600000,2022-02-16 00:00:00,JST/USD,0.05174,0.053303,0.050342,0.05306,35969.01524599293,677893.23871076
1644883200000,2022-02-15 00:00:00,JST/USD,0.048954,0.0523,0.048854,0.051851,42519.95618919814,820041.1986113699
1644796800000,2022-02-14 00:00:00,JST/USD,0.050365,0.050433,0.047802,0.048994,64719.54983740832,1320968.8908317
1644710400000,2022-02-13 00:00:00,JST/USD,0.052216,0.052534,0.050004,0.050365,27318.82149231615,542416.78729904
1644624000000,2022-02-12 00:00:00,JST/USD,0.05009,0.055794,0.048571,0.052158,172126.90871940105,3300105.6160014
1644537600000,2022-02-11 00:00:00,JST/USD,0.054615,0.054615,0.049799,0.049974,69428.60762648743,1389294.58571432
1644451200000,2022-02-10 00:00:00,JST/USD,0.056608,0.058831,0.054404,0.05466,76378.78035679803,1397343.21911449
1644364800000,2022-02-09 00:00:00,JST/USD,0.057099,0.057099,0.054884,0.05657,28303.051600543346,500319.10200713
1644278400000,2022-02-08 00:00:00,JST/USD,0.061123,0.061341,0.055036,0.057039,60631.92563804137,1062990.68423432
