https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume FCL
1647475200000,2022-03-17 00:00:00,FCL/USD,0.05311,0.065129,0.05304,0.05879,5816.338974898604,98934.15504165
1647388800000,2022-03-16 00:00:00,FCL/USD,0.05134,0.053534,0.05097,0.05282,4330.458024660959,81985.19546878
1647302400000,2022-03-15 00:00:00,FCL/USD,0.050231,0.051839,0.04894,0.05122,7051.926117853035,137679.15107093
1647216000000,2022-03-14 00:00:00,FCL/USD,0.05305,0.05359,0.04925,0.05081,15635.94866026788,307733.68746837
1647129600000,2022-03-13 00:00:00,FCL/USD,0.05356,0.055759,0.05317,0.05317,4024.9901174911497,75700.39716929001
1647043200000,2022-03-12 00:00:00,FCL/USD,0.053778,0.055289,0.05305,0.054579,5913.335958249295,108344.52735025
1646956800000,2022-03-11 00:00:00,FCL/USD,0.054755,0.05837,0.05253,0.05317,9435.45656851706,177458.27663188
1646870400000,2022-03-10 00:00:00,FCL/USD,0.056407,0.05849,0.053521,0.05565,5295.0049329475205,95148.33662080001
1646784000000,2022-03-09 00:00:00,FCL/USD,0.054894,0.061729,0.052125,0.05781,19822.01174700423,342882.05755067
1646697600000,2022-03-08 00:00:00,FCL/USD,0.047411,0.054459,0.047411,0.05346,46048.321833416085,861360.30365537
1646611200000,2022-03-07 00:00:00,FCL/USD,0.052321,0.052492,0.047451,0.04801,15310.316034273812,318898.48019733
1646524800000,2022-03-06 00:00:00,FCL/USD,0.05226,0.053152,0.050883,0.052356,2099.9264684337886,40108.611590529996
1646438400000,2022-03-05 00:00:00,FCL/USD,0.052061,0.052806,0.05145,0.0522,4293.433027348525,82249.67485342
1646352000000,2022-03-04 00:00:00,FCL/USD,0.055559,0.057102,0.051481,0.052012,10720.567278417346,206117.18984883
1646265600000,2022-03-03 00:00:00,FCL/USD,0.056396,0.057309,0.053791,0.056971,7898.608730983805,138642.62047329
1646179200000,2022-03-02 00:00:00,FCL/USD,0.06094,0.06129,0.053961,0.056419,34973.57922420773,619890.09419181
1646092800000,2022-03-01 00:00:00,FCL/USD,0.062009,0.063322,0.059961,0.06093,8597.82475343747,141109.87614373
1646006400000,2022-02-28 00:00:00,FCL/USD,0.055841,0.062157,0.052261,0.062157,15711.31843607366,252768.28733809
1645920000000,2022-02-27 00:00:00,FCL/USD,0.056969,0.05877,0.053751,0.05455,7068.3433415734435,129575.49663746
1645833600000,2022-02-26 00:00:00,FCL/USD,0.062702,0.062702,0.057992,0.058548,1947.1112804170634,33256.66599059
1645747200000,2022-02-25 00:00:00,FCL/USD,0.05909,0.063173,0.05908,0.060911,5944.164828282771,97587.7071183
1645660800000,2022-02-24 00:00:00,FCL/USD,0.068299,0.070532,0.053881,0.05903,47118.46170277357,798212.12439054
1645574400000,2022-02-23 00:00:00,FCL/USD,0.06496,0.077288,0.064421,0.06995,9677.150639509373,138343.82615453
1645488000000,2022-02-22 00:00:00,FCL/USD,0.071549,0.071549,0.063762,0.064901,16640.93229763338,256404.86737698
1645401600000,2022-02-21 00:00:00,FCL/USD,0.072322,0.074157,0.069771,0.069971,9740.902107276215,139213.41852019
1645315200000,2022-02-20 00:00:00,FCL/USD,0.075968,0.076235,0.071315,0.071636,6118.8417824959815,85415.7376528
1645228800000,2022-02-19 00:00:00,FCL/USD,0.076891,0.07723,0.074381,0.075351,6197.877312437248,82253.4181688
1645142400000,2022-02-18 00:00:00,FCL/USD,0.08067,0.08076,0.076101,0.077013,5075.94874902419,65910.28461460001
1645056000000,2022-02-17 00:00:00,FCL/USD,0.08715,0.089216,0.080436,0.08067,8431.590449266387,104519.5295558
1644969600000,2022-02-16 00:00:00,FCL/USD,0.090093,0.090277,0.0844,0.08708,32736.711893663993,375938.35431401
1644883200000,2022-02-15 00:00:00,FCL/USD,0.086282,0.090621,0.08564,0.089361,18228.249468447546,203984.39440525
1644796800000,2022-02-14 00:00:00,FCL/USD,0.08696,0.087998,0.083649,0.086425,3183.105917491425,36830.846601
1644710400000,2022-02-13 00:00:00,FCL/USD,0.085441,0.091348,0.085441,0.087168,9038.443146817148,103689.92229737001
1644624000000,2022-02-12 00:00:00,FCL/USD,0.08709,0.08709,0.082231,0.085221,7170.861549242279,84144.30186506
1644537600000,2022-02-11 00:00:00,FCL/USD,0.097279,0.097279,0.084341,0.085089,7275.42685891003,85503.72972899
1644451200000,2022-02-10 00:00:00,FCL/USD,0.098411,0.10374,0.09554,0.09637,25975.797275503537,269542.36043897
1644364800000,2022-02-09 00:00:00,FCL/USD,0.094597,0.099179,0.092079,0.099179,5757.578121044094,58052.39134337
1644278400000,2022-02-08 00:00:00,FCL/USD,0.09712,0.097639,0.090236,0.093671,5461.10805803005,58300.94755079
1644192000000,2022-02-07 00:00:00,FCL/USD,0.10239,0.10331,0.096161,0.096161,11162.271061642086,116078.98276476
1644105600000,2022-02-06 00:00:00,FCL/USD,0.12457,0.12457,0.099441,0.10083,39291.459776759286,389680.25167866
1644019200000,2022-02-05 00:00:00,FCL/USD,0.11818,0.13586,0.11689,0.12219,39014.6074926202,319294.60260758
1643932800000,2022-02-04 00:00:00,FCL/USD,0.080273,0.13249,0.077591,0.11886,132432.778701745,1114191.30659385
1643846400000,2022-02-03 00:00:00,FCL/USD,0.077317,0.079629,0.075765,0.079025,6378.66667220455,80717.07272641
1643760000000,2022-02-02 00:00:00,FCL/USD,0.079489,0.079705,0.076211,0.076646,1909.7990757005064,24917.13952066
1643673600000,2022-02-01 00:00:00,FCL/USD,0.073222,0.079889,0.073222,0.079492,5031.093289125804,63290.56117755
1643587200000,2022-01-31 00:00:00,FCL/USD,0.075218,0.075945,0.070462,0.073124,15139.97607551954,207045.23925824
1643500800000,2022-01-30 00:00:00,FCL/USD,0.079421,0.08193,0.075032,0.075066,12537.249791674707,167016.35616224
1643414400000,2022-01-29 00:00:00,FCL/USD,0.082559,0.083913,0.078735,0.081079,10218.480865127536,126031.16546982
1643328000000,2022-01-28 00:00:00,FCL/USD,0.076649,0.082029,0.074252,0.081917,18475.62141476377,225540.74752205
1643241600000,2022-01-27 00:00:00,FCL/USD,0.081747,0.08338,0.075024,0.07671,21673.130863702187,282533.31852043
1643155200000,2022-01-26 00:00:00,FCL/USD,0.091048,0.091048,0.082062,0.082102,40798.309993180905,496922.24298045
1643068800000,2022-01-25 00:00:00,FCL/USD,0.092579,0.092875,0.087423,0.088158,6225.514080026917,70617.68733441
1642982400000,2022-01-24 00:00:00,FCL/USD,0.09765,0.10246,0.08166,0.090311,14752.894159559457,163356.55855388
1642896000000,2022-01-23 00:00:00,FCL/USD,0.093366,0.10463,0.092881,0.10247,7546.907006728963,73649.91711456
