https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume KSM
1642291200000,2022-01-16 00:00:00,KSM/USD,290.04,292.45,274.3,277.89,79584.0097974867,286.38673503
1642204800000,2022-01-15 00:00:00,KSM/USD,282.15,289.35,280.56,289.08,27314.939702278796,94.48920611
1642118400000,2022-01-14 00:00:00,KSM/USD,265.76,289.21,264.73,281.83,110050.02102444839,390.48369948
1642032000000,2022-01-13 00:00:00,KSM/USD,275.22,280.61,265.19,265.55,50784.762288447004,191.24369154000001
1641945600000,2022-01-12 00:00:00,KSM/USD,261.01,278.88,261.01,275.52,67842.747321216,246.2352908
1641859200000,2022-01-11 00:00:00,KSM/USD,240.71,261.44,240.37,260.84,67409.85163174439,258.43372041
1641772800000,2022-01-10 00:00:00,KSM/USD,246.7,250.48,229.13,241.49,104086.04442430491,431.01596101
1641686400000,2022-01-09 00:00:00,KSM/USD,239.82,251.91,239.07,246.74,65721.9220818576,266.36103624
1641600000000,2022-01-08 00:00:00,KSM/USD,251.04,254.42,232.08,240.54,58645.2538737246,243.80665949000002
1641513600000,2022-01-07 00:00:00,KSM/USD,270.49,273.81,247.52,250.44,80465.3772072408,321.29602782
1641427200000,2022-01-06 00:00:00,KSM/USD,266.42,272.28,259.39,269.61,86302.04363337481,320.09956468
1641340800000,2022-01-05 00:00:00,KSM/USD,295.05,307.01,255.58,267.33,78471.4696069878,293.53783566
1641254400000,2022-01-04 00:00:00,KSM/USD,289.75,310.16,283.0,296.0,53910.29531672,182.12937607
1641168000000,2022-01-03 00:00:00,KSM/USD,296.59,298.48,285.77,289.59,46773.672960651,161.5168789
1641081600000,2022-01-02 00:00:00,KSM/USD,288.94,297.99,283.95,295.89,8586.6240698427,29.01964943
1640995200000,2022-01-01 00:00:00,KSM/USD,277.08,288.63,276.6,288.16,5343.637754806401,18.54399554
1640908800000,2021-12-31 00:00:00,KSM/USD,279.88,287.3,272.05,276.98,33808.8809747678,122.06253511
1640822400000,2021-12-30 00:00:00,KSM/USD,283.42,287.12,276.91,280.37,13063.257420580901,46.59292157
1640736000000,2021-12-29 00:00:00,KSM/USD,295.1,303.07,279.97,283.29,54708.74961858181,193.11924042
1640649600000,2021-12-28 00:00:00,KSM/USD,323.36,334.67,291.7,295.69,70549.3273370945,238.59219905
1640563200000,2021-12-27 00:00:00,KSM/USD,323.19,329.95,309.18,322.72,58028.2299737904,179.80983507
1640476800000,2021-12-26 00:00:00,KSM/USD,292.22,324.54,286.93,322.73,61140.566591432704,189.44804199
1640390400000,2021-12-25 00:00:00,KSM/USD,288.22,294.88,287.04,293.81,9923.545984373999,33.7753854
1640304000000,2021-12-24 00:00:00,KSM/USD,291.2,302.87,285.25,288.57,46982.243838825896,162.81056187
1640217600000,2021-12-23 00:00:00,KSM/USD,273.93,292.68,268.17,291.53,50061.811766160594,171.72096102
1640131200000,2021-12-22 00:00:00,KSM/USD,267.08,280.41,266.46,272.99,41208.6798705427,150.95307473
1640044800000,2021-12-21 00:00:00,KSM/USD,263.99,270.82,261.21,266.64,20330.0817725016,76.24543119
1639958400000,2021-12-20 00:00:00,KSM/USD,273.91,276.76,261.01,264.83,22488.546075086597,84.91691302
1639872000000,2021-12-19 00:00:00,KSM/USD,280.16,281.44,273.26,275.79,8096.226972806401,29.356492160000002
1639785600000,2021-12-18 00:00:00,KSM/USD,277.87,281.72,271.05,280.81,7840.007161911501,27.919259150000002
1639699200000,2021-12-17 00:00:00,KSM/USD,280.04,282.95,270.16,278.14,37092.1711817942,133.35791753
1639612800000,2021-12-16 00:00:00,KSM/USD,288.85,293.18,279.42,280.8,18057.956302152,64.30896119
1639526400000,2021-12-15 00:00:00,KSM/USD,279.19,292.24,270.69,288.8,30458.99397172,105.46743065
1639440000000,2021-12-14 00:00:00,KSM/USD,272.11,287.42,270.21,279.58,29948.860894891397,107.12089883
1639353600000,2021-12-13 00:00:00,KSM/USD,304.85,307.82,270.17,274.0,43571.95376244,159.02172906
1639267200000,2021-12-12 00:00:00,KSM/USD,295.76,305.27,292.87,304.86,32802.3048605364,107.59792974
1639180800000,2021-12-11 00:00:00,KSM/USD,282.25,297.01,276.85,296.61,25634.8445243904,86.42609664
1639094400000,2021-12-10 00:00:00,KSM/USD,287.39,308.66,281.18,282.71,83751.70413539969,296.24599107
1639008000000,2021-12-09 00:00:00,KSM/USD,307.38,308.34,285.02,287.41,33719.227069482404,117.32099464
1638921600000,2021-12-08 00:00:00,KSM/USD,295.95,313.81,289.53,306.46,61795.850067751795,201.64409733
