https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MKR
1650499200000,2022-04-21 00:00:00,MKR/USD,1809.6,1877.5,1696.7,1728.5,85360.736052095,49.38428467
1650412800000,2022-04-20 00:00:00,MKR/USD,1854.7,1913.5,1782.5,1809.6,96705.867490752,53.44046612
1650326400000,2022-04-19 00:00:00,MKR/USD,1818.8,1878.1,1818.0,1857.3,145652.557160109,78.42166433
1650240000000,2022-04-18 00:00:00,MKR/USD,1791.0,1823.3,1690.6,1819.2,47962.833936096,26.36479438
1650153600000,2022-04-17 00:00:00,MKR/USD,1888.6,1921.1,1788.5,1792.5,304207.0453662,169.71104344
1650067200000,2022-04-16 00:00:00,MKR/USD,1945.2,1945.2,1872.6,1888.4,54408.257732528,28.81182892
1649980800000,2022-04-15 00:00:00,MKR/USD,1904.8,2000.0,1902.6,1947.8,34567.189478629996,17.74678585
1649894400000,2022-04-14 00:00:00,MKR/USD,1934.6,1970.1,1859.9,1901.8,75761.16769700199,39.83655889
1649808000000,2022-04-13 00:00:00,MKR/USD,1854.2,1957.0,1799.5,1937.1,51232.956040101,26.44827631
1649721600000,2022-04-12 00:00:00,MKR/USD,1818.3,1917.0,1801.9,1854.9,10697.445801396001,5.76712804
1649635200000,2022-04-11 00:00:00,MKR/USD,2015.0,2035.0,1803.7,1815.0,161565.66349935,89.01689449
1649548800000,2022-04-10 00:00:00,MKR/USD,2090.1,2101.1,2019.4,2019.4,65661.268608294,32.51523651
1649462400000,2022-04-09 00:00:00,MKR/USD,2034.3,2094.4,2021.1,2092.2,30783.464419421998,14.71344251
1649376000000,2022-04-08 00:00:00,MKR/USD,2052.6,2126.3,2012.3,2036.7,79391.026742274,38.98022622
1649289600000,2022-04-07 00:00:00,MKR/USD,2044.4,2084.2,2003.7,2053.7,57525.768500353995,28.01079442
1649203200000,2022-04-06 00:00:00,MKR/USD,2299.2,2299.2,2045.4,2045.4,47963.07692778001,23.4492407
1649116800000,2022-04-05 00:00:00,MKR/USD,2428.3,2505.1,2294.2,2303.6,93038.72720100399,40.38840389
1649030400000,2022-04-04 00:00:00,MKR/USD,2277.2,2439.4,2229.9,2435.7,112558.563723456,46.21199808
1648944000000,2022-04-03 00:00:00,MKR/USD,2230.9,2331.2,2193.1,2278.8,71230.51867669201,31.25790709
