https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BAL
1642982400000,2022-01-24 00:00:00,BAL/USD,12.074,12.074,10.435,11.795,94671.90060798715,8026.44345977
1642896000000,2022-01-23 00:00:00,BAL/USD,11.771,12.34,11.383,12.064,30781.25554989056,2551.49664704
1642809600000,2022-01-22 00:00:00,BAL/USD,12.801,13.079,10.892,11.771,184519.17775539673,15675.743586390001
1642723200000,2022-01-21 00:00:00,BAL/USD,14.658,14.837,12.436,12.845,169166.389218344,13169.8239952
1642636800000,2022-01-20 00:00:00,BAL/USD,15.398,16.108,14.591,14.706,69908.88434233589,4753.76610515
1642550400000,2022-01-19 00:00:00,BAL/USD,15.886,15.886,15.262,15.386,80017.13093016481,5200.6454523699995
1642464000000,2022-01-18 00:00:00,BAL/USD,16.063,16.211,15.386,15.903,53700.58561404735,3376.75819745
1642377600000,2022-01-17 00:00:00,BAL/USD,17.365,17.365,15.846,16.052,83774.60810170152,5218.95141426
1642291200000,2022-01-16 00:00:00,BAL/USD,17.549,17.66,17.214,17.384,43679.49221870736,2512.62610554
1642204800000,2022-01-15 00:00:00,BAL/USD,17.306,17.985,17.24,17.591,63644.18437577151,3617.99695161
1642118400000,2022-01-14 00:00:00,BAL/USD,17.264,17.637,16.986,17.271,101764.771802443,5892.23390669
1642032000000,2022-01-13 00:00:00,BAL/USD,17.901,18.306,17.21,17.252,126491.86974234892,7332.0119257100005
1641945600000,2022-01-12 00:00:00,BAL/USD,17.663,18.048,17.365,17.937,102064.57889161924,5690.16997779
1641859200000,2022-01-11 00:00:00,BAL/USD,17.338,17.91,16.943,17.606,69282.10348742684,3935.14162714
1641772800000,2022-01-10 00:00:00,BAL/USD,18.601,18.94,16.849,17.305,98113.71365593949,5669.6742939
1641686400000,2022-01-09 00:00:00,BAL/USD,17.839,18.925,17.81,18.629,109462.91373833388,5875.94147503
1641600000000,2022-01-08 00:00:00,BAL/USD,17.803,18.604,17.218,17.863,144061.64738026581,8064.8069966
1641513600000,2022-01-07 00:00:00,BAL/USD,17.714,18.293,16.588,17.728,134067.95610405377,7562.49752392
1641427200000,2022-01-06 00:00:00,BAL/USD,17.498,17.95,16.436,17.724,143501.34382430784,8096.44232816
1641340800000,2022-01-05 00:00:00,BAL/USD,19.338,19.758,16.748,17.567,144220.62532554773,8209.74698728
1641254400000,2022-01-04 00:00:00,BAL/USD,19.146,20.653,18.828,19.398,201728.2092359693,10399.43340736
1641168000000,2022-01-03 00:00:00,BAL/USD,19.592,20.074,18.88,19.144,92705.3591256704,4842.5281616
1641081600000,2022-01-02 00:00:00,BAL/USD,18.71,19.753,18.458,19.649,132636.30481690326,6750.28270227
1640995200000,2022-01-01 00:00:00,BAL/USD,17.649,18.674,17.541,18.674,80649.69470764599,4318.822679
1640908800000,2021-12-31 00:00:00,BAL/USD,16.762,17.786,16.555,17.543,116855.50992311415,6661.09045905
