https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BNT
1643932800000,2022-02-04 00:00:00,BNT/USD,2.48,2.6086,2.4503,2.6086,5401.5055923239615,2070.65306767
1643846400000,2022-02-03 00:00:00,BNT/USD,2.3865,2.4204,2.363,2.373,44.56556801445,18.78026465
1643760000000,2022-02-02 00:00:00,BNT/USD,2.4984,2.5501,2.4082,2.4082,10059.645245286682,4177.24659301
1643673600000,2022-02-01 00:00:00,BNT/USD,2.5125,2.5881,2.503,2.5343,2633.9167876380475,1039.30741729
1643587200000,2022-01-31 00:00:00,BNT/USD,2.3735,2.5072,2.3735,2.4984,270.072381433392,108.09813538
1643500800000,2022-01-30 00:00:00,BNT/USD,2.4996,2.4996,2.4715,2.4825,147.192618464475,59.29209203
1643414400000,2022-01-29 00:00:00,BNT/USD,2.4164,2.4662,2.3825,2.4662,4872.446868242669,1975.69007714
1643328000000,2022-01-28 00:00:00,BNT/USD,2.3413,2.3633,2.2608,2.3633,2107.251129151853,891.65621341
1643241600000,2022-01-27 00:00:00,BNT/USD,2.3623,2.6391,2.2347,2.2877,65104.512599294154,28458.5009395
1643155200000,2022-01-26 00:00:00,BNT/USD,2.3914,2.5185,2.2753,2.4021,1171.564602488199,487.72515819
1643068800000,2022-01-25 00:00:00,BNT/USD,2.2893,2.3843,2.2519,2.3717,474.322362354893,199.99256329
1642982400000,2022-01-24 00:00:00,BNT/USD,2.2915,2.445,2.12,2.3931,832.829862485862,348.01298002
1642896000000,2022-01-23 00:00:00,BNT/USD,2.4801,2.4801,2.3144,2.3883,897.4719865069289,375.77858162999996
1642809600000,2022-01-22 00:00:00,BNT/USD,2.7254,2.7254,2.2,2.3872,783.4064642501121,328.16959796000003
1642723200000,2022-01-21 00:00:00,BNT/USD,2.7945,2.7945,2.4371,2.4879,4507.266525251192,1811.67511767
1642636800000,2022-01-20 00:00:00,BNT/USD,2.932,3.0478,2.8051,2.8051,2409.252579230427,858.88295577
1642550400000,2022-01-19 00:00:00,BNT/USD,3.0162,3.0162,2.9265,2.9265,273.15472487985,93.3383649
1642464000000,2022-01-18 00:00:00,BNT/USD,3.0687,3.0687,2.9788,3.0389,163.385059876664,53.764539760000005
1642377600000,2022-01-17 00:00:00,BNT/USD,3.1524,3.1524,3.0712,3.0712,15.767845125208002,5.13409909
1642291200000,2022-01-16 00:00:00,BNT/USD,3.1724,3.1974,3.1596,3.1746,93.898665244098,29.57810913
1642204800000,2022-01-15 00:00:00,BNT/USD,3.1978,3.2403,3.1882,3.1882,113.415431042136,35.57349948
1642118400000,2022-01-14 00:00:00,BNT/USD,3.1417,3.1702,3.08,3.1603,1593.878104154908,504.34392436
1642032000000,2022-01-13 00:00:00,BNT/USD,3.2403,3.2913,3.142,3.142,433.98151413109997,138.12269705
1641945600000,2022-01-12 00:00:00,BNT/USD,3.198,3.2902,3.1943,3.2889,1613.230076197863,490.50748767
1641859200000,2022-01-11 00:00:00,BNT/USD,3.2082,3.2186,3.1676,3.2014,239.649481405766,74.85771269
1641772800000,2022-01-10 00:00:00,BNT/USD,3.1863,3.2059,2.98,3.1132,1973.05608936458,633.77106815
1641686400000,2022-01-09 00:00:00,BNT/USD,3.0561,3.1948,3.0561,3.1586,438.928515975414,138.96299499
1641600000000,2022-01-08 00:00:00,BNT/USD,3.1629,3.1629,2.9783,3.0562,5960.465317103962,1950.28640701
1641513600000,2022-01-07 00:00:00,BNT/USD,3.2017,3.2017,3.0199,3.1207,1406.354472881006,450.65353058
1641427200000,2022-01-06 00:00:00,BNT/USD,3.2158,3.2836,3.1516,3.2287,2475.8777709355422,766.83425866
1641340800000,2022-01-05 00:00:00,BNT/USD,3.484,3.5288,3.2581,3.3019,318.911368857354,96.58419966
1641254400000,2022-01-04 00:00:00,BNT/USD,3.402,3.4843,3.373,3.442,3096.72064521438,899.68641639
1641168000000,2022-01-03 00:00:00,BNT/USD,3.3992,3.4962,3.3525,3.3683,1285.8683189496821,381.75587654000003
1641081600000,2022-01-02 00:00:00,BNT/USD,3.3404,3.3997,3.3327,3.3997,2623.716251732188,771.74934604
1640995200000,2022-01-01 00:00:00,BNT/USD,3.2227,3.3223,3.2226,3.3221,2053.604351028254,618.16451974
1640908800000,2021-12-31 00:00:00,BNT/USD,3.2621,3.356,3.1894,3.2043,1281.4038138390058,399.90132442
1640822400000,2021-12-30 00:00:00,BNT/USD,3.245,3.3325,3.2127,3.3325,271.020153651925,81.32637769
1640736000000,2021-12-29 00:00:00,BNT/USD,3.3987,3.3987,3.2832,3.2832,66.924837906048,20.38402714
1640649600000,2021-12-28 00:00:00,BNT/USD,3.5036,3.5487,3.3838,3.3838,2377.3753431286736,702.57560823
1640563200000,2021-12-27 00:00:00,BNT/USD,3.6415,3.726,3.5878,3.5986,2999.5575588764955,833.5345853599999
1640476800000,2021-12-26 00:00:00,BNT/USD,3.5718,3.6327,3.5718,3.6109,1272.564302019661,352.42302529
1640390400000,2021-12-25 00:00:00,BNT/USD,3.564,3.5859,3.5543,3.5689,1337.672190051747,374.81358123
1640304000000,2021-12-24 00:00:00,BNT/USD,3.5655,3.6335,3.5459,3.5598,2101.890355053498,590.45181051
1640217600000,2021-12-23 00:00:00,BNT/USD,3.3925,3.5551,3.3925,3.5551,1507.491016514453,424.03617803
1640131200000,2021-12-22 00:00:00,BNT/USD,3.3234,3.4226,3.3234,3.4016,1636.878847478528,481.20850408
1640044800000,2021-12-21 00:00:00,BNT/USD,3.3145,3.3342,3.2979,3.3253,1573.3483330766521,473.14477884
1639958400000,2021-12-20 00:00:00,BNT/USD,3.1049,3.2252,3.1049,3.2252,2263.297977358308,701.75430279
1639872000000,2021-12-19 00:00:00,BNT/USD,3.2776,3.3006,3.2688,3.2688,174.138403611456,53.27288412
1639785600000,2021-12-18 00:00:00,BNT/USD,3.2664,3.2664,3.2664,3.2664,163.32,50.0
