https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UNI
1641340800000,2022-01-05 00:00:00,UNI/USD,18.217,19.864,16.309,17.1,4437731.90579131,259516.48571879
1641254400000,2022-01-04 00:00:00,UNI/USD,18.495,19.146,17.701,18.227,1833654.5015703023,100601.0040912
1641168000000,2022-01-03 00:00:00,UNI/USD,18.437,19.161,17.851,18.467,1913833.6872527301,103635.33260696
1641081600000,2022-01-02 00:00:00,UNI/USD,17.469,18.52,17.05,18.399,822521.3983493836,44704.67951244
1640995200000,2022-01-01 00:00:00,UNI/USD,17.03,17.579,16.886,17.495,737215.0077488268,42138.61147464
1640908800000,2021-12-31 00:00:00,UNI/USD,17.784,18.638,16.793,17.02,1689213.672109669,99248.74689246
1640822400000,2021-12-30 00:00:00,UNI/USD,17.167,17.912,16.761,17.798,1268562.0661236013,71275.54029237
1640736000000,2021-12-29 00:00:00,UNI/USD,18.407,19.471,16.923,17.109,5163536.662066081,301802.36495798
1640649600000,2021-12-28 00:00:00,UNI/USD,19.11,19.903,17.743,18.391,2889942.5901303277,157138.9587369
1640563200000,2021-12-27 00:00:00,UNI/USD,18.673,20.057,18.566,19.122,855635.0343608859,44746.10576095
1640476800000,2021-12-26 00:00:00,UNI/USD,17.467,18.821,16.742,18.665,1803175.0134280862,96607.28708428
1640390400000,2021-12-25 00:00:00,UNI/USD,17.425,17.833,17.099,17.485,444830.013479824,25440.66419673
1640304000000,2021-12-24 00:00:00,UNI/USD,18.167,18.296,17.27,17.449,1068805.4277989843,61253.10492286
1640217600000,2021-12-23 00:00:00,UNI/USD,16.232,18.27,15.926,18.111,1915595.2367792802,105769.71104739
1640131200000,2021-12-22 00:00:00,UNI/USD,15.056,16.514,14.98,16.237,1501426.0273678026,92469.42337672
1640044800000,2021-12-21 00:00:00,UNI/USD,14.547,15.113,14.332,15.062,547875.4792747721,36374.68326084
1639958400000,2021-12-20 00:00:00,UNI/USD,14.944,15.17,13.999,14.483,756680.157011282,52246.092454
1639872000000,2021-12-19 00:00:00,UNI/USD,15.57,15.967,14.855,14.956,996700.0434853346,66642.15321512
1639785600000,2021-12-18 00:00:00,UNI/USD,14.984,16.12,14.716,15.596,1564899.469711559,100339.79672426
1639699200000,2021-12-17 00:00:00,UNI/USD,14.462,15.092,13.719,15.008,1124439.5519857493,74922.67803743
1639612800000,2021-12-16 00:00:00,UNI/USD,15.204,15.395,14.391,14.432,724300.1510976106,50187.09472683
