https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OXY
1642464000000,2022-01-18 00:00:00,OXY/USD,0.47465,0.47752,0.44516,0.45836,34106.94028861994,74410.8130915
1642377600000,2022-01-17 00:00:00,OXY/USD,0.49506,0.49506,0.47225,0.47514,11702.287910865558,24629.13648791
1642291200000,2022-01-16 00:00:00,OXY/USD,0.51223,0.51223,0.49227,0.49476,8306.228859426163,16788.40015245
1642204800000,2022-01-15 00:00:00,OXY/USD,0.53086,0.53306,0.49211,0.51247,26030.08916897975,50793.39116237
1642118400000,2022-01-14 00:00:00,OXY/USD,0.53874,0.5434,0.52164,0.52951,22206.691880739356,41938.19168805
1642032000000,2022-01-13 00:00:00,OXY/USD,0.58432,0.58432,0.53895,0.53923,36910.0242635125,68449.50070195
1641945600000,2022-01-12 00:00:00,OXY/USD,0.54255,0.60082,0.53879,0.58216,35795.28024898058,61487.01430703
1641859200000,2022-01-11 00:00:00,OXY/USD,0.52843,0.55152,0.51936,0.54257,18421.94181673995,33953.11538924
1641772800000,2022-01-10 00:00:00,OXY/USD,0.53607,0.54124,0.5079,0.52855,23156.071731265136,43810.56046025
1641686400000,2022-01-09 00:00:00,OXY/USD,0.53417,0.55341,0.52067,0.53932,12049.705927355275,22342.405116359998
1641600000000,2022-01-08 00:00:00,OXY/USD,0.60301,0.61148,0.50598,0.53231,50402.772890085704,94686.87961918
1641513600000,2022-01-07 00:00:00,OXY/USD,0.69573,0.69573,0.5994,0.6017,89240.23473950394,148313.50297408
1641427200000,2022-01-06 00:00:00,OXY/USD,0.69381,0.7102,0.67,0.69474,31060.893177095277,44708.6581701
1641340800000,2022-01-05 00:00:00,OXY/USD,0.7612,0.7673,0.68634,0.69184,19027.238828717116,27502.36879729
1641254400000,2022-01-04 00:00:00,OXY/USD,0.76633,0.79162,0.74681,0.7612,25908.48982541459,34036.37654416
1641168000000,2022-01-03 00:00:00,OXY/USD,0.80807,0.81013,0.76365,0.7653,14774.974708254176,19306.12140109
1641081600000,2022-01-02 00:00:00,OXY/USD,0.83024,0.83481,0.79261,0.81203,14960.277521376058,18423.30643126
1640995200000,2022-01-01 00:00:00,OXY/USD,0.86821,0.89291,0.82259,0.83023,55577.86605801065,66942.73401107
1640908800000,2021-12-31 00:00:00,OXY/USD,0.88331,0.90233,0.86395,0.86801,16257.90798869058,18730.09295825
1640822400000,2021-12-30 00:00:00,OXY/USD,0.86602,0.89788,0.861,0.89223,11223.927557934125,12579.63480037
1640736000000,2021-12-29 00:00:00,OXY/USD,0.92955,0.93693,0.86087,0.86979,47165.95610908122,54226.8318894
