https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume YFI
1644883200000,2022-02-15 00:00:00,YFI/USD,23137.0,24595.0,23056.0,24476.0,892200.1609007199,36.45204122
1644796800000,2022-02-14 00:00:00,YFI/USD,22925.0,23289.0,22458.0,23111.0,881855.3205750199,38.15738482
1644710400000,2022-02-13 00:00:00,YFI/USD,23132.0,23663.0,22693.0,22888.0,472852.89193439996,20.6594238
1644624000000,2022-02-12 00:00:00,YFI/USD,23108.0,23799.0,22687.0,23141.0,349604.25353477005,15.10756897
1644537600000,2022-02-11 00:00:00,YFI/USD,24456.0,25000.0,22767.0,23113.0,483303.21536429,20.91044933
1644451200000,2022-02-10 00:00:00,YFI/USD,26241.0,26283.0,24333.0,24456.0,454681.98303576,18.59183771
1644364800000,2022-02-09 00:00:00,YFI/USD,25575.0,26871.0,24821.0,26285.0,469462.37456930004,17.86046698
1644278400000,2022-02-08 00:00:00,YFI/USD,26590.0,27063.0,24827.0,25555.0,1059673.8655441501,41.46640053
1644192000000,2022-02-07 00:00:00,YFI/USD,24709.0,27088.0,24008.0,26533.0,974722.1045642601,36.73621922
1644105600000,2022-02-06 00:00:00,YFI/USD,25251.0,25381.0,23725.0,24669.0,405003.6331308,16.4175132
1644019200000,2022-02-05 00:00:00,YFI/USD,24879.0,25871.0,24678.0,25191.0,612091.79892927,24.29803497
1643932800000,2022-02-04 00:00:00,YFI/USD,23565.0,24903.0,23492.0,24903.0,271929.20301576,10.91953592
1643846400000,2022-02-03 00:00:00,YFI/USD,22997,23636,22516,23636,317862.67225708003,13.44824303
1643760000000,2022-02-02 00:00:00,YFI/USD,25481,25711,22931,23041,539032.58786584,23.39449624
1643673600000,2022-02-01 00:00:00,YFI/USD,24825,25506,24588,25467,350967.21191688,13.78125464
1643587200000,2022-01-31 00:00:00,YFI/USD,23929,24850,22901,24850,383783.242451,15.44399366
1643500800000,2022-01-30 00:00:00,YFI/USD,24259,25560,23499,23812,478787.55729936005,20.10698628
1643414400000,2022-01-29 00:00:00,YFI/USD,23482,24694,23468,24309,526010.05802871,21.63849019
1643328000000,2022-01-28 00:00:00,YFI/USD,23845,24180,22397,23504,253576.7045968,10.7886617
1643241600000,2022-01-27 00:00:00,YFI/USD,24072,24819,23107,23933,407581.06140115,17.03008655
1643155200000,2022-01-26 00:00:00,YFI/USD,24479,26144,23525,24215,759645.980275,31.370885
1643068800000,2022-01-25 00:00:00,YFI/USD,23930,24952,23390,24485,516218.29242945,21.08304237
1642982400000,2022-01-24 00:00:00,YFI/USD,25133,25133,21422,23940,1311555.436443,54.78510595
1642896000000,2022-01-23 00:00:00,YFI/USD,22889,25149,22701,25133,1108035.6296850098,44.08688297
1642809600000,2022-01-22 00:00:00,YFI/USD,25720,26693,20234,22924,2792315.36313708,121.80751017
1642723200000,2022-01-21 00:00:00,YFI/USD,31410,31428,25183,25793,1630462.6868683698,63.21337909
1642636800000,2022-01-20 00:00:00,YFI/USD,32189,34383,31320,31430,1370338.6385744999,43.59970215
1642550400000,2022-01-19 00:00:00,YFI/USD,32623,33473,31246,32141,1592135.70851441,49.53597301
1642464000000,2022-01-18 00:00:00,YFI/USD,31668,33489,30801,32583,1673446.27342239,51.35949033
1642377600000,2022-01-17 00:00:00,YFI/USD,33620,33666,31231,31613,640396.08195791,20.25736507
1642291200000,2022-01-16 00:00:00,YFI/USD,33458,34142,33097,33597,473041.92355857004,14.07988581
1642204800000,2022-01-15 00:00:00,YFI/USD,32243,33881,31709,33431,540688.93070051,16.17328021
1642118400000,2022-01-14 00:00:00,YFI/USD,31457,33135,31037,32258,841346.07246578,26.08178041
1642032000000,2022-01-13 00:00:00,YFI/USD,33855,34222,31166,31447,732295.44355864,23.28665512
1641945600000,2022-01-12 00:00:00,YFI/USD,32773,34706,32567,33854,1062120.8235457,31.37356955
1641859200000,2022-01-11 00:00:00,YFI/USD,32061,33322,31528,32749,1091140.11985708,33.31827292
1641772800000,2022-01-10 00:00:00,YFI/USD,32647,32749,29617,32018,1749377.22444604,54.63730478
1641686400000,2022-01-09 00:00:00,YFI/USD,33023,35298,32444,32677,2035185.91784587,62.28190831
1641600000000,2022-01-08 00:00:00,YFI/USD,35832,36666,32000,33023,1999211.4795049601,60.53997152
1641513600000,2022-01-07 00:00:00,YFI/USD,35991,37080,31394,35812,6026862.18993488,168.29169524
1641427200000,2022-01-06 00:00:00,YFI/USD,32492,36967,31202,35988,4419176.19760416,122.79582632
1641340800000,2022-01-05 00:00:00,YFI/USD,36329,37374,31000,32522,3369342.32552722,103.60194101
1641254400000,2022-01-04 00:00:00,YFI/USD,38853,39739,36100,36251,2309280.33745286,63.702527860000004
1641168000000,2022-01-03 00:00:00,YFI/USD,39137,41730,37969,38720,3307920.8134368,85.43183919
1641081600000,2022-01-02 00:00:00,YFI/USD,36591,39483,35653,39126,3423478.8270161403,87.49881989000001
1640995200000,2022-01-01 00:00:00,YFI/USD,33142,38463,32489,36502,3946166.20847792,108.10821896
1640908800000,2021-12-31 00:00:00,YFI/USD,30258,33367,29637,33076,2635966.64387184,79.69423884
1640822400000,2021-12-30 00:00:00,YFI/USD,28589,30439,28074,30207,2128837.32031518,70.47496674
1640736000000,2021-12-29 00:00:00,YFI/USD,28717,31231,27789,28577,2617502.8363991003,91.5947383
1640649600000,2021-12-28 00:00:00,YFI/USD,31675,31710,28616,28647,2375308.90015839,82.91649737
1640563200000,2021-12-27 00:00:00,YFI/USD,31218,34743,30985,31766,1520183.18399528,47.85566908
1640476800000,2021-12-26 00:00:00,YFI/USD,31125,32094,30385,31132,1006100.9367634,32.31725995
1640390400000,2021-12-25 00:00:00,YFI/USD,32551,32898,30809,31219,962804.17672994,30.84032726
1640304000000,2021-12-24 00:00:00,YFI/USD,31523,33700,30336,32551,2145328.0731107797,65.90667178
1640217600000,2021-12-23 00:00:00,YFI/USD,31655,33263,30985,31547,2791969.5686427,88.5019041
1640131200000,2021-12-22 00:00:00,YFI/USD,34712,35291,31559,31640,3063829.7991979998,96.83406445
1640044800000,2021-12-21 00:00:00,YFI/USD,36835,36835,34234,34701,3728590.57678449,107.44908149
1639958400000,2021-12-20 00:00:00,YFI/USD,31997,39232,31498,36757,8297343.33723988,225.73505284
1639872000000,2021-12-19 00:00:00,YFI/USD,31300,33188,30563,31986,4946156.47804122,154.63504277
1639785600000,2021-12-18 00:00:00,YFI/USD,33568,34709,30307,31266,8200952.79034824,262.29619364
1639699200000,2021-12-17 00:00:00,YFI/USD,24589,33928,24319,33613,21095956.08731511,627.61300947
1639612800000,2021-12-16 00:00:00,YFI/USD,20672,25955,20672,24648,5327487.35580672,216.14278464
1639526400000,2021-12-15 00:00:00,YFI/USD,20150,21020,18880,20744,1038886.7411065601,50.08131224
1639440000000,2021-12-14 00:00:00,YFI/USD,19619,20417,19297,20151,915729.76942137,45.44339087
1639353600000,2021-12-13 00:00:00,YFI/USD,21801,21855,19069,19619,866890.4105300499,44.18626895
1639267200000,2021-12-12 00:00:00,YFI/USD,21577,22547,20897,21727,988807.2764019299,45.51052959
1639180800000,2021-12-11 00:00:00,YFI/USD,20120,23269,19764,21513,2267341.3285248,105.3940096
1639094400000,2021-12-10 00:00:00,YFI/USD,20981,21576,19990,20078,733444.90256122,36.52977899
