https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DGB
1643760000000,2022-02-02 00:00:00,DGB/USD,0.022217,0.022817,0.02097,0.021197,2432.9284722267157,114777.01902282001
1643673600000,2022-02-01 00:00:00,DGB/USD,0.021425,0.022595,0.021314,0.022137,2400.43069730865,108435.23048781
1643587200000,2022-01-31 00:00:00,DGB/USD,0.02139,0.021727,0.020147,0.02146,1273.576525020714,59346.5295909
1643500800000,2022-01-30 00:00:00,DGB/USD,0.021838,0.022405,0.021119,0.02147,4662.273864205532,217152.95129043
1643414400000,2022-01-29 00:00:00,DGB/USD,0.021798,0.022437,0.021421,0.021824,3830.6993501181787,175526.91303694
1643328000000,2022-01-28 00:00:00,DGB/USD,0.02181,0.022841,0.021075,0.021854,11365.589920118711,520069.09124731
1643241600000,2022-01-27 00:00:00,DGB/USD,0.022059,0.022841,0.020439,0.021779,9207.526442014338,422770.85458535
1643155200000,2022-01-26 00:00:00,DGB/USD,0.021137,0.02379,0.021052,0.022099,17209.990741170066,778767.85108693
1643068800000,2022-01-25 00:00:00,DGB/USD,0.020293,0.02217,0.019784,0.021111,59354.620041691865,2811549.43118241
1642982400000,2022-01-24 00:00:00,DGB/USD,0.021269,0.02148,0.018142,0.020293,57028.23078956164,2810241.50148138
1642896000000,2022-01-23 00:00:00,DGB/USD,0.02034,0.021797,0.020161,0.021547,42084.766074779145,1953161.27882207
1642809600000,2022-01-22 00:00:00,DGB/USD,0.0214,0.022176,0.017692,0.020537,22097.929706348543,1076005.73142857
1642723200000,2022-01-21 00:00:00,DGB/USD,0.025945,0.026226,0.020912,0.021571,16411.045430286522,760792.05555081
1642636800000,2022-01-20 00:00:00,DGB/USD,0.02717,0.028639,0.026,0.026113,11958.052676152267,457934.84762962
1642550400000,2022-01-19 00:00:00,DGB/USD,0.027848,0.028033,0.026574,0.027053,9202.556668537914,340167.69558045
1642464000000,2022-01-18 00:00:00,DGB/USD,0.027787,0.028259,0.026775,0.027848,3779.7796225607963,135728.94364266002
1642377600000,2022-01-17 00:00:00,DGB/USD,0.029697,0.029846,0.027403,0.027724,3205.9644996919906,115638.59831525
1642291200000,2022-01-16 00:00:00,DGB/USD,0.03,0.030131,0.029421,0.029603,583.1031222578296,19697.43344451
1642204800000,2022-01-15 00:00:00,DGB/USD,0.02975,0.031082,0.029701,0.03,5033.9129012493,167797.09670831
1642118400000,2022-01-14 00:00:00,DGB/USD,0.029001,0.030179,0.028568,0.029964,1201.6468227322562,40103.01771233
1642032000000,2022-01-13 00:00:00,DGB/USD,0.03001,0.030575,0.029001,0.029001,1896.4574677094183,65392.83016825
1641945600000,2022-01-12 00:00:00,DGB/USD,0.02855,0.030078,0.028356,0.029958,1131.9200117317096,37783.56404739
1641859200000,2022-01-11 00:00:00,DGB/USD,0.027238,0.028801,0.026857,0.028589,2072.842031774728,72504.88061054
1641772800000,2022-01-10 00:00:00,DGB/USD,0.028764,0.028867,0.026,0.027274,6440.658817574212,236146.46980913
1641686400000,2022-01-09 00:00:00,DGB/USD,0.027445,0.029075,0.027445,0.028715,1101.129160482025,38346.82780714
1641600000000,2022-01-08 00:00:00,DGB/USD,0.028588,0.029521,0.02665,0.027696,1579.173796161235,57018.1180012
1641513600000,2022-01-07 00:00:00,DGB/USD,0.030764,0.030764,0.028,0.028419,5891.256213655224,207299.91251118
1641427200000,2022-01-06 00:00:00,DGB/USD,0.0307,0.031041,0.029477,0.030534,1397.848401096535,45780.06160662
1641340800000,2022-01-05 00:00:00,DGB/USD,0.033031,0.034763,0.029213,0.0308,6148.8471735835765,199637.89524622
1641254400000,2022-01-04 00:00:00,DGB/USD,0.033604,0.034432,0.032832,0.033328,1585.3782129694146,47568.957422269996
1641168000000,2022-01-03 00:00:00,DGB/USD,0.034265,0.034663,0.033094,0.033654,1011.2917837583668,30049.67563316
1641081600000,2022-01-02 00:00:00,DGB/USD,0.034586,0.03474,0.03365,0.03432,2816.04456333589,82052.58051678
1640995200000,2022-01-01 00:00:00,DGB/USD,0.033303,0.034573,0.03323,0.034459,3045.501741060304,88380.44461709
1640908800000,2021-12-31 00:00:00,DGB/USD,0.033818,0.034996,0.032372,0.033478,19311.739745672803,576848.66914609
1640822400000,2021-12-30 00:00:00,DGB/USD,0.032965,0.034401,0.032527,0.033934,1099.9562520651336,32414.57688646
1640736000000,2021-12-29 00:00:00,DGB/USD,0.034434,0.035103,0.03295,0.033127,3364.090424247745,101551.31536957
