https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume WAX
1647993600000,2022-03-23 00:00:00,WAX/USD,0.28587,0.30352,0.28587,0.29456,4242.445470926051,14402.65301102
1647907200000,2022-03-22 00:00:00,WAX/USD,0.28374,0.29308,0.27952,0.28802,4376.825279189395,15196.25470172
1647820800000,2022-03-21 00:00:00,WAX/USD,0.28444,0.29,0.27674,0.28587,16788.168569063393,58726.58400344
1647734400000,2022-03-20 00:00:00,WAX/USD,0.28873,0.291,0.27605,0.283,17684.60809349247,62489.781249089996
1647648000000,2022-03-19 00:00:00,WAX/USD,0.28515,0.28945,0.28515,0.28658,424.82619200000005,1482.4
1647561600000,2022-03-18 00:00:00,WAX/USD,0.27952,0.28515,0.27467,0.28515,4493.479143843038,15758.299645250001
1647475200000,2022-03-17 00:00:00,WAX/USD,0.27536,0.28161,0.27195,0.27952,1592.7659063060032,5698.21803916
1647388800000,2022-03-16 00:00:00,WAX/USD,0.26925,0.27742,0.26591,0.27742,2662.134942571161,9596.04549986
1647302400000,2022-03-15 00:00:00,WAX/USD,0.26657,0.27127,0.26327,0.27127,905.4911630299574,3337.97015162
1647216000000,2022-03-14 00:00:00,WAX/USD,0.26657,0.26857,0.26261,0.26857,1366.004855939846,5086.21534773
1647129600000,2022-03-13 00:00:00,WAX/USD,0.27674,0.27882,0.26657,0.2669,1261.1219003978413,4725.07268789
1647043200000,2022-03-12 00:00:00,WAX/USD,0.27195,0.28232,0.27195,0.27467,1528.9433715802104,5566.47384709
1646956800000,2022-03-11 00:00:00,WAX/USD,0.28516,0.28516,0.26858,0.27195,3445.2007641975006,12668.50805
1646870400000,2022-03-10 00:00:00,WAX/USD,0.28658,0.30887,0.28303,0.2873,11786.022111081504,41023.39753248
1646784000000,2022-03-09 00:00:00,WAX/USD,0.27262,0.28658,0.27262,0.28658,1974.6917132158915,6890.54265202
1646697600000,2022-03-08 00:00:00,WAX/USD,0.27127,0.27812,0.26657,0.27262,3560.362712479282,13059.80013381
1646611200000,2022-03-07 00:00:00,WAX/USD,0.28022,0.28091,0.26657,0.27127,3539.7984702249273,13048.9861401
1646524800000,2022-03-06 00:00:00,WAX/USD,0.29091,0.29236,0.27605,0.28022,2344.3468605735166,8366.09399962
1646438400000,2022-03-05 00:00:00,WAX/USD,0.28021,0.29091,0.27812,0.29091,1596.279072836514,5487.1921654
1646352000000,2022-03-04 00:00:00,WAX/USD,0.2953,0.2953,0.27812,0.27812,15857.713279737402,57017.52221968
1646265600000,2022-03-03 00:00:00,WAX/USD,0.30734,0.30734,0.28659,0.29751,5051.810882397915,16980.30614903
1646179200000,2022-03-02 00:00:00,WAX/USD,0.31747,0.31747,0.30505,0.30734,1948.3097051000002,6339.265
1646092800000,2022-03-01 00:00:00,WAX/USD,0.30734,0.32146,0.30734,0.31747,6223.712235335333,19604.09561639
1646006400000,2022-02-28 00:00:00,WAX/USD,0.28162,0.30734,0.27952,0.30734,12548.532570781896,40829.48061034
1645920000000,2022-02-27 00:00:00,WAX/USD,0.29456,0.29677,0.28162,0.28162,5040.388883014946,17897.83709614
1645833600000,2022-02-26 00:00:00,WAX/USD,0.28658,0.30352,0.28658,0.29677,6711.543151581872,22615.30192264
1645747200000,2022-02-25 00:00:00,WAX/USD,0.26992,0.28802,0.26525,0.28658,5473.266740986654,19098.56494168
1645660800000,2022-02-24 00:00:00,WAX/USD,0.27467,0.27882,0.24064,0.26992,18420.173156012697,68243.08371374
1645574400000,2022-02-23 00:00:00,WAX/USD,0.27536,0.28945,0.27263,0.27263,18976.64885178672,69605.87188419
1645488000000,2022-02-22 00:00:00,WAX/USD,0.26992,0.27742,0.25936,0.27742,3431.8796457721205,12370.70018662
1645401600000,2022-02-21 00:00:00,WAX/USD,0.29309,0.30201,0.26992,0.26992,9033.1495830534,33466.02542625
1645315200000,2022-02-20 00:00:00,WAX/USD,0.31511,0.31746,0.29018,0.29309,8055.439180939979,27484.52414255
