https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume SNX
1646956800000,2022-03-11 00:00:00,SNX/USD,4.4613,4.863,4.0942,4.1675,65791.84823158196,15786.88619834
1646870400000,2022-03-10 00:00:00,SNX/USD,4.736,4.896,4.3832,4.4698,133092.85460780267,29776.02009213
1646784000000,2022-03-09 00:00:00,SNX/USD,3.9262,4.83,3.9096,4.7456,162882.07201757433,34322.75624106
1646697600000,2022-03-08 00:00:00,SNX/USD,3.6168,3.9785,3.5924,3.918,84199.64112926292,21490.46481094
1646611200000,2022-03-07 00:00:00,SNX/USD,3.553,3.7804,3.461,3.621,41601.378421122965,11488.91975176
1646524800000,2022-03-06 00:00:00,SNX/USD,3.8529,3.9045,3.5487,3.5503,15558.489893881726,4382.30287409
1646438400000,2022-03-05 00:00:00,SNX/USD,3.6149,3.9173,3.5301,3.8689,39718.30253953178,10266.04526856
1646352000000,2022-03-04 00:00:00,SNX/USD,3.8164,3.8164,3.5626,3.6146,10473.79230199654,2897.6352299
1646265600000,2022-03-03 00:00:00,SNX/USD,3.972,4.0146,3.7483,3.8023,15609.8801876579,4105.3783730000005
1646179200000,2022-03-02 00:00:00,SNX/USD,4.1799,4.2049,3.9552,3.9752,7645.6115899018805,1923.32752815
1646092800000,2022-03-01 00:00:00,SNX/USD,4.185,4.3089,4.0322,4.1736,10809.164045991312,2589.88979442
1646006400000,2022-02-28 00:00:00,SNX/USD,3.7287,4.1651,3.6463,4.1651,12788.721224829475,3070.44758225
1645920000000,2022-02-27 00:00:00,SNX/USD,3.8617,4.1069,3.6671,3.7383,17474.826284685547,4674.5382352100005
1645833600000,2022-02-26 00:00:00,SNX/USD,4.0239,4.159,3.8501,3.8731,11842.834262452194,3057.71456003
1645747200000,2022-02-25 00:00:00,SNX/USD,3.9362,4.114,3.9047,4.0174,17756.19442222086,4419.82237821
1645660800000,2022-02-24 00:00:00,SNX/USD,3.7407,3.9655,3.3319,3.9379,126350.82425835359,32085.83871057
1645574400000,2022-02-23 00:00:00,SNX/USD,4.0074,4.1695,3.7388,3.7476,35635.06550678032,9508.76974778
1645488000000,2022-02-22 00:00:00,SNX/USD,3.7356,4.0133,3.6304,4.0094,60367.8329470375,15056.57528484
1645401600000,2022-02-21 00:00:00,SNX/USD,4.058,4.265,3.7197,3.728,57450.87345246128,15410.64202051
1645315200000,2022-02-20 00:00:00,SNX/USD,4.3691,4.3691,3.9607,4.0645,34169.42309486733,8406.79618523
1645228800000,2022-02-19 00:00:00,SNX/USD,4.3649,4.4586,4.2053,4.3818,17543.45500702974,4003.7096643
1645142400000,2022-02-18 00:00:00,SNX/USD,4.5792,4.6844,4.3274,4.3717,35476.920419687696,8115.13150941
1645056000000,2022-02-17 00:00:00,SNX/USD,4.9096,4.981,4.5412,4.6023,67605.44010171128,14689.49005969
1644969600000,2022-02-16 00:00:00,SNX/USD,5.0809,5.1346,4.8218,4.9134,71781.8206980434,14609.39892906
1644883200000,2022-02-15 00:00:00,SNX/USD,4.5853,5.0872,4.5799,5.0872,56073.83589657155,11022.53418316
1644796800000,2022-02-14 00:00:00,SNX/USD,4.475,4.6109,4.36,4.5887,26078.57193815916,5683.21571211
1644710400000,2022-02-13 00:00:00,SNX/USD,4.8897,4.9599,4.46,4.4633,21359.546614695,4785.59510109
1644624000000,2022-02-12 00:00:00,SNX/USD,4.8894,5.0643,4.7134,4.893,41824.242356227594,8547.77076563
1644537600000,2022-02-11 00:00:00,SNX/USD,5.2316,5.3657,4.75,4.8965,48778.80133928459,9961.97311126
1644451200000,2022-02-10 00:00:00,SNX/USD,5.8362,5.8362,5.2258,5.2371,40472.21264783905,7727.98164019
1644364800000,2022-02-09 00:00:00,SNX/USD,5.5415,5.9,5.3666,5.8425,61039.27251439043,10447.45785441
1644278400000,2022-02-08 00:00:00,SNX/USD,5.915,6.0726,5.363,5.5291,57480.95145867704,10396.07738306
1644192000000,2022-02-07 00:00:00,SNX/USD,5.8097,5.976,5.6147,5.915,50677.496447987505,8567.6240825
1644105600000,2022-02-06 00:00:00,SNX/USD,5.7699,5.875,5.53,5.8128,40671.8418984995,6996.94500043
1644019200000,2022-02-05 00:00:00,SNX/USD,5.525,6.018,5.5041,5.761,88843.08662582438,15421.46964517
1643932800000,2022-02-04 00:00:00,SNX/USD,5.0833,5.5427,4.9494,5.5288,122498.97928591113,22156.52208181
1643846400000,2022-02-03 00:00:00,SNX/USD,5.3342,5.4237,4.931,5.0746,71876.4198759029,14163.95772591
1643760000000,2022-02-02 00:00:00,SNX/USD,5.392,5.9896,5.2809,5.3286,120314.69255204042,22579.04375484
1643673600000,2022-02-01 00:00:00,SNX/USD,5.7248,5.7248,5.3577,5.3723,31152.941825362064,5798.80904368
1643587200000,2022-01-31 00:00:00,SNX/USD,5.2646,5.7974,5.0385,5.7324,212584.4553466256,37084.72111971
1643500800000,2022-01-30 00:00:00,SNX/USD,5.4102,5.483,5.12,5.2575,253510.6071126737,48218.85061582
1643414400000,2022-01-29 00:00:00,SNX/USD,4.5616,5.479,4.56,5.4153,111067.61388548542,20509.96507774
1643328000000,2022-01-28 00:00:00,SNX/USD,4.5718,4.714,4.437,4.5666,86724.51133023227,18991.04614598
1643241600000,2022-01-27 00:00:00,SNX/USD,4.622,4.9769,4.3922,4.571,79118.58499801306,17308.81316955
1643155200000,2022-01-26 00:00:00,SNX/USD,4.2899,4.844,4.2504,4.6416,108236.07503761281,23318.69937901
1643068800000,2022-01-25 00:00:00,SNX/USD,4.1919,4.3636,4.029,4.2936,55910.67215084198,13021.86327344
1642982400000,2022-01-24 00:00:00,SNX/USD,3.9362,4.244,3.5284,4.2177,380021.4186567191,90101.57637023
1642896000000,2022-01-23 00:00:00,SNX/USD,3.7727,4.0074,3.7,3.9389,91165.0406773647,23144.79694264
1642809600000,2022-01-22 00:00:00,SNX/USD,4.172,4.2486,3.5216,3.7781,416465.38730570854,110231.43572317
1642723200000,2022-01-21 00:00:00,SNX/USD,4.782,4.8265,4.0722,4.1772,361881.53346215823,86632.56091692
1642636800000,2022-01-20 00:00:00,SNX/USD,4.903,5.0911,4.713,4.7948,99811.96488846008,20816.71078845
1642550400000,2022-01-19 00:00:00,SNX/USD,5.028,5.0353,4.8526,4.8959,93842.54694364136,19167.5783704
1642464000000,2022-01-18 00:00:00,SNX/USD,4.9943,5.084,4.8698,5.0204,156549.34313546374,31182.64344185
1642377600000,2022-01-17 00:00:00,SNX/USD,5.3772,5.4429,4.9187,4.9726,50082.84712216004,10071.76268394
1642291200000,2022-01-16 00:00:00,SNX/USD,5.265,5.437,5.1824,5.3834,37345.58224985909,6937.17395138
1642204800000,2022-01-15 00:00:00,SNX/USD,5.2248,5.4001,5.211,5.2691,36302.25476610276,6889.6499907200005
1642118400000,2022-01-14 00:00:00,SNX/USD,5.0865,5.2511,4.935,5.2511,65852.7952895223,12540.76199073
1642032000000,2022-01-13 00:00:00,SNX/USD,5.4169,5.5,5.071,5.0792,86631.46586018859,17056.12416526
1641945600000,2022-01-12 00:00:00,SNX/USD,5.091,5.477,5.0537,5.423,71321.14548505496,13151.60344552
1641859200000,2022-01-11 00:00:00,SNX/USD,4.8758,5.108,4.8321,5.0771,229949.90961043714,45291.58567104
1641772800000,2022-01-10 00:00:00,SNX/USD,5.0971,5.144,4.6151,4.8744,145537.4976840147,29857.52045052
1641686400000,2022-01-09 00:00:00,SNX/USD,5.0217,5.2601,4.9798,5.089,70492.12119062204,13851.86111036
1641600000000,2022-01-08 00:00:00,SNX/USD,5.4112,5.5871,4.9257,5.0405,246447.93794346869,48893.54983503
1641513600000,2022-01-07 00:00:00,SNX/USD,5.9595,5.9739,5.2656,5.3688,223197.3878245598,41573.04943834
1641427200000,2022-01-06 00:00:00,SNX/USD,6.3563,6.4038,5.8435,5.9735,240619.05409668284,40281.08380291
1641340800000,2022-01-05 00:00:00,SNX/USD,6.5563,7.4234,5.9743,6.3627,571514.4796018166,89822.63498229
1641254400000,2022-01-04 00:00:00,SNX/USD,7.2,7.3104,6.592,6.592,359689.3892920192,54564.5311426
1641168000000,2022-01-03 00:00:00,SNX/USD,6.238,7.1905,6.1233,7.1732,220569.17552605362,30749.06255591
1641081600000,2022-01-02 00:00:00,SNX/USD,5.995,6.3209,5.8703,6.2312,46572.99820747907,7474.16199247
1640995200000,2022-01-01 00:00:00,SNX/USD,5.5248,6.0046,5.4947,5.9671,36713.37421623862,6152.63263834
1640908800000,2021-12-31 00:00:00,SNX/USD,5.5689,5.7999,5.3498,5.5011,46731.256147618056,8494.89304823
1640822400000,2021-12-30 00:00:00,SNX/USD,5.4286,5.6,5.2879,5.5314,30000.864847794117,5423.7380858
1640736000000,2021-12-29 00:00:00,SNX/USD,5.8445,6.0301,5.364,5.4289,77912.53168841814,14351.43982914
1640649600000,2021-12-28 00:00:00,SNX/USD,6.4,6.4,5.7934,5.8696,125625.75643041548,21402.77981982
1640563200000,2021-12-27 00:00:00,SNX/USD,6.2448,6.8,6.1717,6.4381,63963.67058593415,9935.1781715
1640476800000,2021-12-26 00:00:00,SNX/USD,5.8684,6.4345,5.5608,6.2413,166742.31817458227,26715.95952359
1640390400000,2021-12-25 00:00:00,SNX/USD,5.69,5.9047,5.69,5.8761,22298.324477441012,3794.74897933
1640304000000,2021-12-24 00:00:00,SNX/USD,6.079,6.3,5.6735,5.7127,52700.5093606859,9225.149117
1640217600000,2021-12-23 00:00:00,SNX/USD,5.5368,6.2074,5.4506,6.0753,94040.53033839873,15479.15828657
1640131200000,2021-12-22 00:00:00,SNX/USD,5.3455,5.77,5.3,5.5109,59473.661848670316,10792.00527113
1640044800000,2021-12-21 00:00:00,SNX/USD,5.1025,5.388,5.0838,5.349,27241.2489920031,5092.7741619
1639958400000,2021-12-20 00:00:00,SNX/USD,5.1832,5.2045,4.8184,5.1106,33405.95111058269,6536.60061648
