https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume PAS
1645488000000,2022-02-22 00:00:00,PAS/USD,0.0016966,0.0016966,0.0016966,0.0016966,140.2562254,82669.0
1645401600000,2022-02-21 00:00:00,PAS/USD,0.0016983,0.0016983,0.0016966,0.0016966,29.490301199999998,17382.0
1645228800000,2022-02-19 00:00:00,PAS/USD,0.0017013,0.0017013,0.0016983,0.0016983,1314.6704517661956,774109.669532
1645142400000,2022-02-18 00:00:00,PAS/USD,0.0017017,0.0017017,0.0017017,0.0017017,1343.752468379421,789652.975483
1645056000000,2022-02-17 00:00:00,PAS/USD,0.001699,0.001699,0.001699,0.001699,59.263566546408,34881.439992
1644796800000,2022-02-14 00:00:00,PAS/USD,0.0017017,0.0017017,0.0016983,0.0016983,319.3954926616305,188067.769335
1644710400000,2022-02-13 00:00:00,PAS/USD,0.0017,0.0017017,0.0016983,0.0017017,235.3347990032039,138293.940767
1644624000000,2022-02-12 00:00:00,PAS/USD,0.0017017,0.0017017,0.0016983,0.0016983,36.150114395403904,21286.059233
1644537600000,2022-02-11 00:00:00,PAS/USD,0.00188,0.00188,0.0016543,0.0016983,225.8515549200474,132986.842678
1644451200000,2022-02-10 00:00:00,PAS/USD,0.0018989,0.0018989,0.0016503,0.0016503,13.2089615928,8003.976000000001
1644278400000,2022-02-08 00:00:00,PAS/USD,0.0016401,0.0016401,0.0016321,0.0016321,49.56606095,30369.5
1644192000000,2022-02-07 00:00:00,PAS/USD,0.0018,0.0019121,0.0016031,0.0016203,1819.937579443657,1123210.25701639
1644105600000,2022-02-06 00:00:00,PAS/USD,0.0018,0.0018,0.0018,0.0018,1.98,1100.0
1644019200000,2022-02-05 00:00:00,PAS/USD,0.0016225,0.0016225,0.0016225,0.0016225,80.96275,49900.0
1643932800000,2022-02-04 00:00:00,PAS/USD,0.0018889,0.001912,0.0018867,0.001912,60.88691091042401,31844.618677000002
1643846400000,2022-02-03 00:00:00,PAS/USD,0.0016214,0.0016214,0.0016214,0.0016214,9.7284,6000.0
1643673600000,2022-02-01 00:00:00,PAS/USD,0.0016111,0.001898,0.0016111,0.0016203,16.4786137170072,10170.100424
1643587200000,2022-01-31 00:00:00,PAS/USD,0.0016031,0.0016031,0.0016031,0.0016031,7.9738748498984275,4974.03458917
1643500800000,2022-01-30 00:00:00,PAS/USD,0.0016782,0.001912,0.0016782,0.001912,196.78724605645186,102922.19982032
1643414400000,2022-01-29 00:00:00,PAS/USD,0.0016782,0.0016782,0.0016004,0.0016004,74.90145805363834,46801.71085581
1643328000000,2022-01-28 00:00:00,PAS/USD,0.0017,0.001912,0.0016001,0.001601,1276.4366077263505,797274.58321446
1643241600000,2022-01-27 00:00:00,PAS/USD,0.0016003,0.0016003,0.0016,0.0016,53.574670332800004,33484.168958
1643155200000,2022-01-26 00:00:00,PAS/USD,0.0017,0.00182,0.0016,0.0018002,505.2487854037494,280662.58493709
1642982400000,2022-01-24 00:00:00,PAS/USD,0.0018992,0.0018992,0.0017092,0.0017092,5424.659804419372,3173800.49404363
1642896000000,2022-01-23 00:00:00,PAS/USD,0.0019125,0.0019125,0.0019125,0.0019125,2.10375,1100.0
1642809600000,2022-01-22 00:00:00,PAS/USD,0.001903,0.0019125,0.0018992,0.0018992,3474.9029197072255,1829666.65949201
1642723200000,2022-01-21 00:00:00,PAS/USD,0.001903,0.001903,0.001903,0.001903,189.005653251624,99319.838808
1642636800000,2022-01-20 00:00:00,PAS/USD,0.001903,0.001903,0.001903,0.001903,53.1985533667423,27955.0989841
1642550400000,2022-01-19 00:00:00,PAS/USD,0.0019049,0.0019049,0.001903,0.001903,783.23115303939,411577.06413
1642464000000,2022-01-18 00:00:00,PAS/USD,0.0019049,0.0019049,0.0019049,0.0019049,5.246075551,2753.99
1642377600000,2022-01-17 00:00:00,PAS/USD,0.0019125,0.0019125,0.0019049,0.0019049,119.2275201476141,62589.910309
1642291200000,2022-01-16 00:00:00,PAS/USD,0.0019125,0.0019125,0.0019125,0.0019125,39.193491534637495,20493.328907
1642204800000,2022-01-15 00:00:00,PAS/USD,0.00191,0.0019125,0.00191,0.0019125,84.18192380955,44016.692188
1642118400000,2022-01-14 00:00:00,PAS/USD,0.0019087,0.0019087,0.0019049,0.0019049,4001.8897883572004,2100839.828
1642032000000,2022-01-13 00:00:00,PAS/USD,0.0019163,0.0019163,0.0019087,0.0019125,1099.9235014500375,575123.399451
1641945600000,2022-01-12 00:00:00,PAS/USD,0.002068,0.002068,0.0017,0.0017,225.50028512599002,132647.2265447
1641859200000,2022-01-11 00:00:00,PAS/USD,0.0019598,0.0019598,0.0019596,0.0019598,60.483250504962264,30861.95045666
