https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume RRT
1643587200000,2022-01-31 00:00:00,RRT/USD,0.077478,0.07749,0.077478,0.07749,17.98348524084,232.074916
1643414400000,2022-01-29 00:00:00,RRT/USD,0.078142,0.079166,0.076,0.078134,3665.396641701977,46911.67278908
1643328000000,2022-01-28 00:00:00,RRT/USD,0.077529,0.079167,0.076,0.078143,4170.719146154088,53372.90795278
1643241600000,2022-01-27 00:00:00,RRT/USD,0.078315,0.079168,0.075111,0.079164,4594.739318869525,58040.76750631
1643155200000,2022-01-26 00:00:00,RRT/USD,0.077707,0.07917,0.068301,0.078316,6215.246755538627,79361.13636471
1643068800000,2022-01-25 00:00:00,RRT/USD,0.079136,0.07919,0.077273,0.077705,4483.620984623631,57700.54674247
1642982400000,2022-01-24 00:00:00,RRT/USD,0.078326,0.08,0.076,0.079137,12867.95582300501,162603.53340416
1642896000000,2022-01-23 00:00:00,RRT/USD,0.083999,0.083999,0.076,0.077504,17891.49976566856,230846.14685266
1642809600000,2022-01-22 00:00:00,RRT/USD,0.093074,0.094496,0.08138,0.083999,18570.4660026088,221079.60812163
1642723200000,2022-01-21 00:00:00,RRT/USD,0.1174,0.1174,0.09199,0.094497,18890.63743333283,199907.27148304
1642636800000,2022-01-20 00:00:00,RRT/USD,0.12934,0.12936,0.1033,0.11739,20021.608288044335,170556.33604263
1642550400000,2022-01-19 00:00:00,RRT/USD,0.12672,0.12934,0.12264,0.12934,7900.126319210231,61080.30245253
1642464000000,2022-01-18 00:00:00,RRT/USD,0.12718,0.12796,0.12252,0.12252,645.7403628550308,5270.48941279
1642377600000,2022-01-17 00:00:00,RRT/USD,0.1233,0.12934,0.11901,0.12753,1743.642418536884,13672.40977446
1642291200000,2022-01-16 00:00:00,RRT/USD,0.12753,0.12845,0.12019,0.12338,1935.205399120205,15684.91975296
1642204800000,2022-01-15 00:00:00,RRT/USD,0.12243,0.12935,0.12243,0.1276,1062.8457646248198,8329.51226195
1642118400000,2022-01-14 00:00:00,RRT/USD,0.12042,0.12423,0.11545,0.12243,3460.819401727126,28267.73994713
1642032000000,2022-01-13 00:00:00,RRT/USD,0.12768,0.12768,0.11891,0.12325,5070.041962151415,41136.24310062
1641945600000,2022-01-12 00:00:00,RRT/USD,0.13133,0.13277,0.12364,0.12769,2187.65089861367,17132.51545629
1641859200000,2022-01-11 00:00:00,RRT/USD,0.13037,0.133,0.11972,0.13189,16675.831934912316,126437.4246335
1641772800000,2022-01-10 00:00:00,RRT/USD,0.13627,0.13698,0.13293,0.13299,3601.6887946804477,27082.40314821
1641686400000,2022-01-09 00:00:00,RRT/USD,0.13401,0.13629,0.12966,0.13629,3113.5059621847336,22844.71320115
1641600000000,2022-01-08 00:00:00,RRT/USD,0.13698,0.13698,0.13298,0.13596,3429.167468341903,25221.88488042
1641513600000,2022-01-07 00:00:00,RRT/USD,0.1393,0.1393,0.12606,0.13698,9620.785733307337,70234.96666161
1641427200000,2022-01-06 00:00:00,RRT/USD,0.13925,0.13936,0.13496,0.1393,1724.004871060395,12376.20151515
1641340800000,2022-01-05 00:00:00,RRT/USD,0.14367,0.14368,0.12513,0.13929,16417.017764677774,117862.14203947
1641254400000,2022-01-04 00:00:00,RRT/USD,0.145,0.145,0.13781,0.14085,8572.990647214769,60866.10328161
1641168000000,2022-01-03 00:00:00,RRT/USD,0.13893,0.145,0.137,0.14245,4577.04242716952,32130.8699696
1641081600000,2022-01-02 00:00:00,RRT/USD,0.13797,0.139,0.13439,0.13692,4966.098915686025,36270.07680168
