https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTT
1646524800000,2022-03-06 00:00:00,BTT/USD,1.84e-06,1.85e-06,1.77e-06,1.77e-06,361.7311738261792,204367894.8170504
1646438400000,2022-03-05 00:00:00,BTT/USD,1.81e-06,1.85e-06,1.79e-06,1.82e-06,851.0047958378692,467585052.6581699
1646352000000,2022-03-04 00:00:00,BTT/USD,1.88e-06,1.89e-06,1.78e-06,1.81e-06,5619.445633192515,3104666095.6864724
1646265600000,2022-03-03 00:00:00,BTT/USD,1.94e-06,1.99e-06,1.85e-06,1.88e-06,437.2135217872025,232560383.92936304
1646179200000,2022-03-02 00:00:00,BTT/USD,1.97e-06,2e-06,1.92e-06,1.94e-06,2625.7112386420217,1353459401.3618667
1646092800000,2022-03-01 00:00:00,BTT/USD,1.95e-06,2.02e-06,1.92e-06,1.96e-06,13455.815646592488,6865212064.588004
1646006400000,2022-02-28 00:00:00,BTT/USD,1.84e-06,1.96e-06,1.82e-06,1.95e-06,2204.6279231818958,1130578422.144562
1645920000000,2022-02-27 00:00:00,BTT/USD,1.9e-06,1.94e-06,1.83e-06,1.83e-06,2630.7499299916212,1437568267.7549841
1645833600000,2022-02-26 00:00:00,BTT/USD,1.89e-06,1.95e-06,1.87e-06,1.9e-06,1640.3524107632275,863343374.0859091
1645747200000,2022-02-25 00:00:00,BTT/USD,1.81e-06,1.92e-06,1.81e-06,1.89e-06,315.2959435773775,166823250.570041
1645660800000,2022-02-24 00:00:00,BTT/USD,1.9e-06,1.9e-06,1.68e-06,1.79e-06,5765.014230140739,3220678340.860748
1645574400000,2022-02-23 00:00:00,BTT/USD,1.9e-06,1.97e-06,1.88e-06,1.89e-06,3789.449206472324,2004999580.1440868
1645488000000,2022-02-22 00:00:00,BTT/USD,1.93e-06,1.94e-06,1.86e-06,1.9e-06,6526.666784550648,3435087781.3424463
1645401600000,2022-02-21 00:00:00,BTT/USD,1.96e-06,2.04e-06,1.91e-06,1.93e-06,3776.8768945217544,1956931033.4309607
1645315200000,2022-02-20 00:00:00,BTT/USD,2.03e-06,2.04e-06,1.93e-06,1.96e-06,20771.13417173628,10597517434.559328
1645228800000,2022-02-19 00:00:00,BTT/USD,2.07e-06,2.08e-06,2.03e-06,2.03e-06,1299.5417536775396,640168351.5652905
1645142400000,2022-02-18 00:00:00,BTT/USD,2.07e-06,2.11e-06,2.06e-06,2.07e-06,1407.5478607817877,679974811.971878
1645056000000,2022-02-17 00:00:00,BTT/USD,2.18e-06,2.2e-06,2.06e-06,2.07e-06,2680.1043347324553,1294736393.590558
1644969600000,2022-02-16 00:00:00,BTT/USD,2.21e-06,2.24e-06,2.15e-06,2.18e-06,4891.18358284379,2243662193.965041
1644883200000,2022-02-15 00:00:00,BTT/USD,2.12e-06,2.25e-06,2.12e-06,2.21e-06,12070.788758545445,5461895365.857667
1644796800000,2022-02-14 00:00:00,BTT/USD,2.17e-06,2.17e-06,2.09e-06,2.12e-06,8188.799539683247,3862641292.303418
1644710400000,2022-02-13 00:00:00,BTT/USD,2.19e-06,2.2e-06,2.14e-06,2.17e-06,5514.349864278079,2541175052.662709
1644624000000,2022-02-12 00:00:00,BTT/USD,2.12e-06,2.19e-06,2.11e-06,2.19e-06,6144.308662433753,2805620393.8053665
1644537600000,2022-02-11 00:00:00,BTT/USD,2.24e-06,2.27e-06,2.11e-06,2.12e-06,4746.278076457345,2238810413.423276
1644451200000,2022-02-10 00:00:00,BTT/USD,2.33e-06,2.44e-06,2.24e-06,2.25e-06,24429.260292239116,10857449018.77294
1644364800000,2022-02-09 00:00:00,BTT/USD,2.28e-06,2.6e-06,2.25e-06,2.34e-06,25462.720929631807,10881504670.782824
1644278400000,2022-02-08 00:00:00,BTT/USD,2.42e-06,2.63e-06,2.2e-06,2.28e-06,27931.75355049347,12250769101.093626
1644192000000,2022-02-07 00:00:00,BTT/USD,2.28e-06,2.65e-06,2.28e-06,2.43e-06,13227.43976217114,5443390848.630098
1644105600000,2022-02-06 00:00:00,BTT/USD,2.26e-06,2.35e-06,2.22e-06,2.29e-06,31720.613842232153,13851796437.655962
1644019200000,2022-02-05 00:00:00,BTT/USD,2.25e-06,2.54e-06,2.23e-06,2.26e-06,56280.108146577564,24902702719.724586
1643932800000,2022-02-04 00:00:00,BTT/USD,2.1e-06,2.26e-06,2.1e-06,2.22e-06,45722.22006628869,20595594624.454365
1643846400000,2022-02-03 00:00:00,BTT/USD,2.11e-06,2.16e-06,2.06e-06,2.09e-06,8468.784457762595,4052049979.7907157
1643760000000,2022-02-02 00:00:00,BTT/USD,2.19e-06,2.25e-06,2.07e-06,2.11e-06,7408.829111036842,3511293417.553005
1643673600000,2022-02-01 00:00:00,BTT/USD,2.17e-06,2.38e-06,2.13e-06,2.18e-06,5722.648968362035,2625068334.1110253
1643587200000,2022-01-31 00:00:00,BTT/USD,2.12e-06,2.44e-06,2.07e-06,2.17e-06,14173.147720109986,6531404479.313357
1643500800000,2022-01-30 00:00:00,BTT/USD,2.69e-06,3.02e-06,2.1e-06,2.28e-06,15320.455895640745,6719498199.842432
1643414400000,2022-01-29 00:00:00,BTT/USD,2.16e-06,3.1e-06,2.06e-06,2.69e-06,32649.03850952801,12137189036.99926
1643328000000,2022-01-28 00:00:00,BTT/USD,0.0022162,0.0022427,2.2e-07,2.16e-06,49743.10160264055,23029213704.926178
1643241600000,2022-01-27 00:00:00,BTT/USD,0.0021656,0.0023466,0.00204,0.0022162,44479.250423903075,20070052.53312114
1643155200000,2022-01-26 00:00:00,BTT/USD,0.0022347,0.0023651,0.0021,0.00216,94737.70776912052,43860049.89311135
1643068800000,2022-01-25 00:00:00,BTT/USD,0.002072,0.0022652,0.002,0.0022297,141634.49888356825,63521773.72900761
1642982400000,2022-01-24 00:00:00,BTT/USD,0.0021961,0.0022996,0.002,0.0020739,69955.27222389026,33731265.83918717
1642896000000,2022-01-23 00:00:00,BTT/USD,0.0021404,0.0022879,0.0020877,0.0021939,49828.68517729659,22712377.58206691
1642809600000,2022-01-22 00:00:00,BTT/USD,0.0022835,0.0023455,0.0020001,0.0021405,49901.62350481101,23313068.67779071
1642723200000,2022-01-21 00:00:00,BTT/USD,0.002718,0.0027779,0.0022833,0.0022838,68888.76180979573,30164095.72195277
