https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ANT
1644364800000,2022-02-09 00:00:00,ANT/USD,7.4228,7.7972,7.3388,7.7427,14537.479720902327,1877.57238701
1644278400000,2022-02-08 00:00:00,ANT/USD,7.6964,8.0089,7.2,7.4933,30857.974934862126,4118.07547207
1644192000000,2022-02-07 00:00:00,ANT/USD,7.9755,8.0916,7.6798,7.7378,28879.113600147677,3732.21246351
1644105600000,2022-02-06 00:00:00,ANT/USD,8.6748,8.8493,7.6715,7.9888,28375.375646547378,3551.89460827
1644019200000,2022-02-05 00:00:00,ANT/USD,7.9086,8.7637,7.6175,8.7637,71093.03844230085,8112.21726466
1643932800000,2022-02-04 00:00:00,ANT/USD,7.6586,8.3814,7.245,7.7881,70678.98830518282,9075.25433741
1643846400000,2022-02-03 00:00:00,ANT/USD,7.7953,7.9744,7.2546,7.6019,43175.25923378119,5679.53527852
1643760000000,2022-02-02 00:00:00,ANT/USD,7.5535,8.7868,7.3699,7.7884,99285.6785592353,12747.89155144
1643673600000,2022-02-01 00:00:00,ANT/USD,7.8338,8.0541,7.3064,7.5021,52321.65118336213,6974.26736292
1643587200000,2022-01-31 00:00:00,ANT/USD,6.8975,7.9212,6.26,7.711,143284.66313279976,18581.85230616
1643500800000,2022-01-30 00:00:00,ANT/USD,6.2331,7.0795,6.0307,6.9571,88203.76383189532,12678.23717237
1643414400000,2022-01-29 00:00:00,ANT/USD,5.4286,6.3461,5.4286,6.2844,64735.598352459034,10300.99903769
1643328000000,2022-01-28 00:00:00,ANT/USD,5.1671,5.4243,5.1185,5.2626,29047.16772554936,5519.54693983
1643241600000,2022-01-27 00:00:00,ANT/USD,4.9355,5.3559,4.6062,5.2998,56869.05691433802,10730.4156599
1643155200000,2022-01-26 00:00:00,ANT/USD,5.0548,5.4201,4.801,4.9285,36590.458766776275,7424.25865208
1643068800000,2022-01-25 00:00:00,ANT/USD,5.3032,5.4525,4.911,4.9447,64580.800200674385,13060.61039106
1642982400000,2022-01-24 00:00:00,ANT/USD,4.705,5.334,3.9906,5.2845,70408.68543477952,13323.62294158
1642896000000,2022-01-23 00:00:00,ANT/USD,4.465,4.81,4.3512,4.6988,18153.698559721564,3863.47547453
1642809600000,2022-01-22 00:00:00,ANT/USD,5.3432,5.3432,4.012,4.5007,80809.79853109138,17954.94001624
1642723200000,2022-01-21 00:00:00,ANT/USD,6.666,6.7172,5.0519,5.3093,69614.8412131781,13111.86808302
1642636800000,2022-01-20 00:00:00,ANT/USD,6.5889,7.4309,6.555,6.72,79372.1847457056,11811.33701573
1642550400000,2022-01-19 00:00:00,ANT/USD,7.422,7.4658,6.661,6.6616,24967.797022827825,3748.01804714
1642464000000,2022-01-18 00:00:00,ANT/USD,7.4671,7.9747,7.111,7.351,40641.86861821406,5528.75372306
1642377600000,2022-01-17 00:00:00,ANT/USD,8.1009,8.1009,7.2547,7.42,70171.51758422679,9457.07784154
1642291200000,2022-01-16 00:00:00,ANT/USD,8.1808,8.3269,7.8999,8.1,47027.865619656004,5805.90933576
1642204800000,2022-01-15 00:00:00,ANT/USD,8.4311,8.645,8.185,8.185,91899.5052150934,11227.79538364
1642118400000,2022-01-14 00:00:00,ANT/USD,8.4839,8.8214,8.137,8.4257,125652.08936421204,14912.95552467
1642032000000,2022-01-13 00:00:00,ANT/USD,9.445,9.4652,8.3801,8.4,118586.738821404,14117.46890731
1641945600000,2022-01-12 00:00:00,ANT/USD,8.2262,9.6711,8.102,9.4202,92998.23862557586,9872.21488138
1641859200000,2022-01-11 00:00:00,ANT/USD,7.5119,8.4058,7.3299,8.18,208518.1596268122,25491.21755829
1641772800000,2022-01-10 00:00:00,ANT/USD,8.2057,8.2057,6.9874,7.3928,47690.47725525681,6450.93567461
1641686400000,2022-01-09 00:00:00,ANT/USD,8.0306,8.4177,7.841,8.2085,53807.09322808093,6555.04577305
1641600000000,2022-01-08 00:00:00,ANT/USD,9.3391,10.082,7.8153,8.11,110422.9055000243,13615.64802713
1641513600000,2022-01-07 00:00:00,ANT/USD,10.695,10.79,9.1928,9.3364,58699.199574490696,6287.13418175
1641427200000,2022-01-06 00:00:00,ANT/USD,10.376,11.721,10.055,10.873,136228.7344873344,12529.08438217
1641340800000,2022-01-05 00:00:00,ANT/USD,11.201,11.663,9.4463,10.393,97672.45390931414,9397.90762141
1641254400000,2022-01-04 00:00:00,ANT/USD,11.969,12.286,11.06,11.06,48015.758150803806,4341.38862123
1641168000000,2022-01-03 00:00:00,ANT/USD,13.037,13.888,11.775,11.905,114024.18829268089,9577.84025978
1641081600000,2022-01-02 00:00:00,ANT/USD,12.968,13.551,12.45,13.101,97223.39491740217,7421.06670616
1640995200000,2022-01-01 00:00:00,ANT/USD,13.487,14.152,12.7,13.08,126476.1348962028,9669.42927341
1640908800000,2021-12-31 00:00:00,ANT/USD,11.488,14.061,11.342,13.507,143429.24713381016,10618.88258931
1640822400000,2021-12-30 00:00:00,ANT/USD,10.92,12.361,10.735,11.181,132033.753489677,11808.76070921
1640736000000,2021-12-29 00:00:00,ANT/USD,12.356,13.488,10.738,10.938,151991.9348398367,13895.77023586
1640649600000,2021-12-28 00:00:00,ANT/USD,9.1398,13.758,9.0751,12.246,480308.2431712898,39221.64324443
1640563200000,2021-12-27 00:00:00,ANT/USD,9.8268,10.489,9.3369,9.3369,57942.448298309166,6205.74797827
1640476800000,2021-12-26 00:00:00,ANT/USD,9.9239,10.4,9.265,9.7784,149705.68111601213,15309.834033789999
1640390400000,2021-12-25 00:00:00,ANT/USD,10.691,11.021,9.693,9.8147,150005.12078085056,15283.71939854
1640304000000,2021-12-24 00:00:00,ANT/USD,9.7396,11.85,9.6237,10.758,326345.1054102584,30335.10925918
1640217600000,2021-12-23 00:00:00,ANT/USD,8.678,10.635,7.821,9.8427,216430.8463026713,21988.9711464
1640131200000,2021-12-22 00:00:00,ANT/USD,7.0911,9.1983,7.0048,8.6745,140928.18666821477,16246.2604955
1640044800000,2021-12-21 00:00:00,ANT/USD,5.7623,7.3162,5.5966,6.9819,97818.9109319918,14010.35691316
1639958400000,2021-12-20 00:00:00,ANT/USD,5.5808,5.7925,5.2105,5.7017,11056.311687851674,1939.12546922
