https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XSN
1640736000000,2021-12-29 00:00:00,XSN/USD,0.12024,0.12397,0.11001,0.11113,13674.177640709024,123046.68083064
1640649600000,2021-12-28 00:00:00,XSN/USD,0.10947,0.1249,0.10709,0.12024,30954.764646141128,257441.48907303
1640563200000,2021-12-27 00:00:00,XSN/USD,0.1206,0.12989,0.098101,0.10947,93908.63144341436,857848.09941915
1640476800000,2021-12-26 00:00:00,XSN/USD,0.11635,0.13019,0.11511,0.12083,17123.348490726734,141714.37963028
1640390400000,2021-12-25 00:00:00,XSN/USD,0.1201,0.13053,0.11511,0.11705,51559.114726780805,440487.95153166
1640304000000,2021-12-24 00:00:00,XSN/USD,0.1432,0.14679,0.1193,0.12039,66539.60351289068,552700.41957713
1640217600000,2021-12-23 00:00:00,XSN/USD,0.13407,0.1504,0.13299,0.14028,35492.49154044892,253011.77317115
1640131200000,2021-12-22 00:00:00,XSN/USD,0.1338,0.14298,0.13,0.13455,37510.18961964347,278782.53154696
1640044800000,2021-12-21 00:00:00,XSN/USD,0.15214,0.161,0.1338,0.1338,26034.4482601866,194577.341257
1639958400000,2021-12-20 00:00:00,XSN/USD,0.1208,0.1529,0.1132,0.15163,133832.93466053822,882628.3364805001
1639872000000,2021-12-19 00:00:00,XSN/USD,0.14414,0.145,0.1175,0.12239,74827.64903707817,611386.95185128
1639785600000,2021-12-18 00:00:00,XSN/USD,0.1349,0.145,0.12031,0.14453,61979.32333059955,428833.6216052
1639699200000,2021-12-17 00:00:00,XSN/USD,0.15149,0.15149,0.1325,0.1349,64897.20239951676,481076.37064134
1639612800000,2021-12-16 00:00:00,XSN/USD,0.15594,0.165,0.1502,0.1512,32604.209864477998,215636.3086275
1639526400000,2021-12-15 00:00:00,XSN/USD,0.14387,0.1618,0.1433,0.15678,111965.6272586762,714157.59190379
1639440000000,2021-12-14 00:00:00,XSN/USD,0.163,0.17409,0.1433,0.1436,68507.25501507444,477070.02099634
1639353600000,2021-12-13 00:00:00,XSN/USD,0.195,0.21999,0.155,0.163,139094.1061698017,853338.07466136
1639267200000,2021-12-12 00:00:00,XSN/USD,0.2216,0.2236,0.1756,0.19539,148641.82405644795,760744.27584036
1639180800000,2021-12-11 00:00:00,XSN/USD,0.2338,0.29634,0.22163,0.22163,240314.25638480953,1084303.82342106
1639094400000,2021-12-10 00:00:00,XSN/USD,0.28708,0.3269,0.22199,0.235,178698.97866899482,760421.18582551
1639008000000,2021-12-09 00:00:00,XSN/USD,0.29931,0.308,0.26294,0.28708,121802.32299042544,424280.07172365
1638921600000,2021-12-08 00:00:00,XSN/USD,0.29225,0.33669,0.28,0.299,106821.15205721023,357261.37811776
