https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume QTF
1640217600000,2021-12-23 00:00:00,QTF/USD,14.383,14.631,14.31,14.501,45327.307227320285,3125.80561529
1640131200000,2021-12-22 00:00:00,QTF/USD,14.565,14.61,14.16,14.383,53812.095238657676,3741.36795096
1640044800000,2021-12-21 00:00:00,QTF/USD,14.325,14.714,14.313,14.619,46608.115092494336,3188.18763886
1639958400000,2021-12-20 00:00:00,QTF/USD,14.241,14.325,14.07,14.325,37578.35760946575,2623.27103731
1639872000000,2021-12-19 00:00:00,QTF/USD,14.472,14.644,14.241,14.285,80252.9496010204,5617.98737144
1639785600000,2021-12-18 00:00:00,QTF/USD,14.22,14.558,13.0,14.391,26981.33631080589,1874.87570779
1639699200000,2021-12-17 00:00:00,QTF/USD,14.77,14.77,14.227,14.227,59679.19219321341,4194.78401583
1639612800000,2021-12-16 00:00:00,QTF/USD,15.061,15.197,14.77,14.77,71757.7496818861,4858.34459593
1639526400000,2021-12-15 00:00:00,QTF/USD,15.18,15.288,14.834,15.061,133801.68780315653,8883.98431732
1639440000000,2021-12-14 00:00:00,QTF/USD,15.1,15.24,13.85,15.089,78709.99045071694,5216.3821625499995
1639353600000,2021-12-13 00:00:00,QTF/USD,15.699,15.699,15.009,15.193,156475.34415551292,10299.17357701
1639267200000,2021-12-12 00:00:00,QTF/USD,15.533,15.794,15.513,15.746,53011.08833662458,3366.63840573
1639180800000,2021-12-11 00:00:00,QTF/USD,15.241,15.674,15.195,15.533,138343.1328798741,8906.40139573
1639094400000,2021-12-10 00:00:00,QTF/USD,15.412,15.8,15.241,15.241,120277.38678904407,7891.69915288
1639008000000,2021-12-09 00:00:00,QTF/USD,15.991,15.992,15.412,15.416,85381.39360960112,5538.49206082
1638921600000,2021-12-08 00:00:00,QTF/USD,16.12,16.137,15.703,16.041,102150.47792361579,6368.08664819
