https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume KNC
1640822400000,2021-12-30 00:00:00,KNC/USD,1.2546,1.3267,1.2397,1.3094,11746.49426459449,8970.89832335
1640736000000,2021-12-29 00:00:00,KNC/USD,1.2971,1.3039,1.2544,1.2544,6628.235994551807,5283.98915382
1640649600000,2021-12-28 00:00:00,KNC/USD,1.389,1.4,1.2999,1.3097,5780.498561658961,4413.6050711299995
1640563200000,2021-12-27 00:00:00,KNC/USD,1.4246,1.4912,1.4095,1.4228,12023.175498111177,8450.36231242
1640476800000,2021-12-26 00:00:00,KNC/USD,1.4053,1.4053,1.3563,1.3909,1173.0507657192381,843.37534382
1640390400000,2021-12-25 00:00:00,KNC/USD,1.4022,1.4221,1.3972,1.4071,2855.357401952245,2029.2498059499999
1640304000000,2021-12-24 00:00:00,KNC/USD,1.4363,1.4363,1.3856,1.3962,6023.203478551896,4313.99762108
1640217600000,2021-12-23 00:00:00,KNC/USD,1.3614,1.4361,1.3374,1.4304,7709.759753562047,5389.93271362
1640131200000,2021-12-22 00:00:00,KNC/USD,1.3014,1.392,1.3014,1.3643,20883.486193023113,15307.10708277
1640044800000,2021-12-21 00:00:00,KNC/USD,1.2474,1.2964,1.2474,1.2959,1801.7852833505342,1390.37370426
