https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GNT
1642291200000,2022-01-16 00:00:00,GNT/USD,0.4339,0.45014,0.4251,0.43819,3243.3758318141486,7401.75684478
1642204800000,2022-01-15 00:00:00,GNT/USD,0.42521,0.49217,0.42521,0.44649,7333.761061573898,16425.36464775
1642118400000,2022-01-14 00:00:00,GNT/USD,0.42067,0.42737,0.40711,0.42509,1004.505121865907,2363.04105452
1642032000000,2022-01-13 00:00:00,GNT/USD,0.43633,0.44368,0.41095,0.41387,1069.7824828166551,2584.82731973
1641945600000,2022-01-12 00:00:00,GNT/USD,0.4231,0.43808,0.40704,0.42933,1806.0682203247925,4206.71329822
1641859200000,2022-01-11 00:00:00,GNT/USD,0.40526,0.42766,0.38999,0.41853,4676.776884894347,11174.29308507
1641772800000,2022-01-10 00:00:00,GNT/USD,0.42776,0.43799,0.38229,0.40602,21303.62023451934,52469.38632215
1641686400000,2022-01-09 00:00:00,GNT/USD,0.40759,0.44639,0.40125,0.42642,12293.695926846518,28830.01718223
1641600000000,2022-01-08 00:00:00,GNT/USD,0.42572,0.42924,0.39142,0.40319,7863.6244254277,19503.52048768
1641513600000,2022-01-07 00:00:00,GNT/USD,0.44246,0.45688,0.40645,0.41795,11247.303647800654,26910.64397129
1641427200000,2022-01-06 00:00:00,GNT/USD,0.45091,0.45091,0.41,0.44245,1240.1273147072404,2802.86431169
1641340800000,2022-01-05 00:00:00,GNT/USD,0.46885,0.49073,0.4277,0.4498,17854.14742874469,39693.52474154
1641254400000,2022-01-04 00:00:00,GNT/USD,0.49077,0.5062,0.4601,0.46372,12659.586584133234,27300.06595388
1641168000000,2022-01-03 00:00:00,GNT/USD,0.51499,0.53634,0.4701,0.48379,4114.2011201793,8504.10533533
1641081600000,2022-01-02 00:00:00,GNT/USD,0.45972,0.6112,0.4476,0.51499,14933.526968576929,28997.702807
1640995200000,2022-01-01 00:00:00,GNT/USD,0.45452,0.46291,0.44639,0.45972,904.213286835192,1966.8782886
1640908800000,2021-12-31 00:00:00,GNT/USD,0.43593,0.48739,0.43469,0.46045,1962.1198565854409,4261.30927698
1640822400000,2021-12-30 00:00:00,GNT/USD,0.42437,0.43827,0.41192,0.43253,7376.808116013853,17055.02072923
1640736000000,2021-12-29 00:00:00,GNT/USD,0.45079,0.45314,0.41646,0.42476,3846.3199971411655,9055.27826806
1640649600000,2021-12-28 00:00:00,GNT/USD,0.49064,0.49064,0.44422,0.44422,1185.1812331714684,2668.00511722
1640563200000,2021-12-27 00:00:00,GNT/USD,0.50167,0.50504,0.48011,0.49379,2043.9236878344407,4139.25694695
1640476800000,2021-12-26 00:00:00,GNT/USD,0.48317,0.51242,0.47989,0.491,2885.81256209437,5877.41866007
1640390400000,2021-12-25 00:00:00,GNT/USD,0.47156,0.48425,0.46719,0.48316,1997.4212020752136,4134.07815646
1640304000000,2021-12-24 00:00:00,GNT/USD,0.48075,0.49803,0.46998,0.47398,1600.856288576766,3377.4764517
