https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume IQX
1648771200000,2022-04-01 00:00:00,IQX/USD,0.012193,0.018768,0.011888,0.01643,1107127.4265088346,67384505.56961866
1648684800000,2022-03-31 00:00:00,IQX/USD,0.011784,0.01297,0.011488,0.012089,134365.25729052487,11114670.96455661
1648598400000,2022-03-30 00:00:00,IQX/USD,0.011307,0.011836,0.010952,0.011762,75341.51522664941,6405502.05973894
1648512000000,2022-03-29 00:00:00,IQX/USD,0.011529,0.0122,0.01102,0.011363,123698.11615013884,10886043.83966724
1648425600000,2022-03-28 00:00:00,IQX/USD,0.010795,0.012,0.010737,0.011343,115087.50995909641,10146126.24165533
1648339200000,2022-03-27 00:00:00,IQX/USD,0.01006,0.011937,0.01006,0.010861,106151.35660089202,9773626.42490489
1648252800000,2022-03-26 00:00:00,IQX/USD,0.0096508,0.010102,0.0095327,0.010043,19222.637613790066,1914033.41768297
1648166400000,2022-03-25 00:00:00,IQX/USD,0.0097087,0.010159,0.0096493,0.0096984,29191.349496650022,3009913.95453374
1648080000000,2022-03-24 00:00:00,IQX/USD,0.0095689,0.0097482,0.0093511,0.0097467,22337.733016713373,2291825.23487061
1647993600000,2022-03-23 00:00:00,IQX/USD,0.0093301,0.009565,0.009199,0.0095367,8611.268477127558,902961.03234112
1647907200000,2022-03-22 00:00:00,IQX/USD,0.0090478,0.009436,0.0090478,0.0093301,25590.167049851985,2742753.78075819
1647820800000,2022-03-21 00:00:00,IQX/USD,0.0090837,0.0096921,0.0088548,0.0090598,17907.209557163158,1976556.82875595
1647734400000,2022-03-20 00:00:00,IQX/USD,0.0092522,0.0092905,0.0090128,0.0090834,13411.77166256821,1476514.48384616
1647648000000,2022-03-19 00:00:00,IQX/USD,0.0090021,0.0093538,0.0089047,0.0092145,21368.7402034942,2319034.15307333
1647561600000,2022-03-18 00:00:00,IQX/USD,0.0087156,0.0091411,0.0085221,0.009036,17962.21133175909,1987849.85964576
1647475200000,2022-03-17 00:00:00,IQX/USD,0.0087677,0.008841,0.0086167,0.0087193,8308.927743532846,952935.18327536
