https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume STJ
1647561600000,2022-03-18 00:00:00,STJ/USD,1.0565,1.0746,1.011,1.0746,4348.390144648572,4046.51976982
1647475200000,2022-03-17 00:00:00,STJ/USD,1.051,1.0782,1.0224,1.0569,7171.057175372922,6784.99117738
1647388800000,2022-03-16 00:00:00,STJ/USD,0.99879,1.0548,0.9845,1.0548,2812.5180042021716,2666.39932139
1647302400000,2022-03-15 00:00:00,STJ/USD,1.0021,1.0086,0.9518,0.9967,4377.216181183043,4391.7088202899995
1647216000000,2022-03-14 00:00:00,STJ/USD,0.9921,1.0005,0.9608,1.0001,3815.568725470675,3815.18720675
1647129600000,2022-03-13 00:00:00,STJ/USD,1.0202,1.0759,0.9897,0.9945,2551.621071346425,2565.73260065
1647043200000,2022-03-12 00:00:00,STJ/USD,0.96619,1.0508,0.96619,1.0235,2303.3552910080202,2250.46926332
1646956800000,2022-03-11 00:00:00,STJ/USD,1.0355,1.059,0.96338,0.96614,5586.109915099437,5781.88452512
1646870400000,2022-03-10 00:00:00,STJ/USD,0.9857,1.257,0.90131,1.0348,22674.47464503421,21911.93916219
1646784000000,2022-03-09 00:00:00,STJ/USD,0.9339,0.9881,0.9284,0.9865,5346.0612140391,5419.2206934000005
1646697600000,2022-03-08 00:00:00,STJ/USD,0.8894,0.9438,0.8816,0.93609,3629.9639631854293,3877.79376255
1646611200000,2022-03-07 00:00:00,STJ/USD,0.9136,0.9378,0.8648,0.8901,6577.175435274342,7389.25450542
1646524800000,2022-03-06 00:00:00,STJ/USD,0.96264,0.9773,0.911,0.911,4411.5783066081,4842.5667471
1646438400000,2022-03-05 00:00:00,STJ/USD,0.9486,0.97009,0.9197,0.9634,2462.6102524340204,2556.1659253000003
1646352000000,2022-03-04 00:00:00,STJ/USD,1.044,1.0539,0.9325,0.94836,5970.322490880241,6295.41786967
1646265600000,2022-03-03 00:00:00,STJ/USD,1.078,1.078,1.0116,1.0448,2625.487202985312,2512.90888494
1646179200000,2022-03-02 00:00:00,STJ/USD,1.0789,1.0894,1.0277,1.0756,4017.91067889224,3735.5063954
1646092800000,2022-03-01 00:00:00,STJ/USD,1.0637,1.1106,1.0558,1.0855,4756.862804252064,4382.1859090299995
1646006400000,2022-02-28 00:00:00,STJ/USD,0.9371,1.0428,0.9223,1.0428,4189.154289557688,4017.21738546
1645920000000,2022-02-27 00:00:00,STJ/USD,0.99479,1.0081,0.91893,0.9374,3363.638663307348,3588.26398902
1645833600000,2022-02-26 00:00:00,STJ/USD,0.96149,1.0139,0.95801,0.99,8199.7698042513,8282.59576187
1645747200000,2022-02-25 00:00:00,STJ/USD,0.89961,0.9747,0.88699,0.95879,6186.130995470546,6452.0186855
1645660800000,2022-02-24 00:00:00,STJ/USD,0.90009,0.90984,0.77558,0.89741,8313.84114424678,9264.261758
1645574400000,2022-02-23 00:00:00,STJ/USD,0.93291,0.97249,0.896,0.8996,5829.9056309763355,6480.55316916
1645488000000,2022-02-22 00:00:00,STJ/USD,0.88842,0.93351,0.85533,0.92871,7953.520248913496,8564.05147884
