https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume CHZ
1645056000000,2022-02-17 00:00:00,CHZ/USD,0.22159,0.22858,0.20075,0.20372,33448.7683314293,164189.90934336
1644969600000,2022-02-16 00:00:00,CHZ/USD,0.22092,0.22285,0.21218,0.22111,13510.773979715388,61104.30998017
1644883200000,2022-02-15 00:00:00,CHZ/USD,0.206,0.22232,0.20466,0.22162,18737.343749569998,84547.16970296
1644796800000,2022-02-14 00:00:00,CHZ/USD,0.19647,0.20571,0.19624,0.20192,9429.630839352812,46699.83577334
1644710400000,2022-02-13 00:00:00,CHZ/USD,0.20727,0.20821,0.19992,0.20321,9691.554117665228,47692.30902842
1644624000000,2022-02-12 00:00:00,CHZ/USD,0.20518,0.21063,0.19749,0.20599,28806.419342392423,139843.77563179
1644537600000,2022-02-11 00:00:00,CHZ/USD,0.22026,0.23291,0.20143,0.20431,28762.023162443536,140776.38472147
1644451200000,2022-02-10 00:00:00,CHZ/USD,0.24014,0.2465,0.22355,0.22361,60304.59240417295,269686.47378996
1644364800000,2022-02-09 00:00:00,CHZ/USD,0.2245,0.24368,0.21796,0.24102,40001.1303994941,165966.02107499
1644278400000,2022-02-08 00:00:00,CHZ/USD,0.23475,0.23792,0.21316,0.22635,71653.53780508733,316560.80320339
1644192000000,2022-02-07 00:00:00,CHZ/USD,0.2296,0.23584,0.22367,0.23479,76631.07140754505,326381.32547189
1644105600000,2022-02-06 00:00:00,CHZ/USD,0.2153,0.23146,0.2135,0.23146,92321.2229312275,398864.69770685
1644019200000,2022-02-05 00:00:00,CHZ/USD,0.20087,0.21446,0.20087,0.2102,55403.59150705387,263575.60184136
1643932800000,2022-02-04 00:00:00,CHZ/USD,0.18299,0.20212,0.18299,0.20087,107573.88833746473,535539.84336867
1643846400000,2022-02-03 00:00:00,CHZ/USD,0.1823,0.18311,0.17697,0.18179,28592.653554059587,157283.97356323
1643760000000,2022-02-02 00:00:00,CHZ/USD,0.18726,0.19571,0.179,0.18098,113444.19213486221,626832.75574573
1643673600000,2022-02-01 00:00:00,CHZ/USD,0.1889,0.19158,0.187,0.18862,20164.012451959563,106902.8334851
1643587200000,2022-01-31 00:00:00,CHZ/USD,0.18065,0.19192,0.1745,0.18932,24310.422698986295,128409.1627878
1643500800000,2022-01-30 00:00:00,CHZ/USD,0.18345,0.19076,0.17942,0.18231,18319.33494942737,100484.53156397
1643414400000,2022-01-29 00:00:00,CHZ/USD,0.1801,0.1848,0.17961,0.18368,20363.115890569716,110861.91142514
1643328000000,2022-01-28 00:00:00,CHZ/USD,0.17504,0.17913,0.17227,0.17859,19043.87181999968,106634.59219441
