https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BSV
1642723200000,2022-01-21 00:00:00,BSV/USD,104.25,106.68,94.429,95.659,703127.908213225,7350.35812849
1642636800000,2022-01-20 00:00:00,BSV/USD,109.69,111.96,103.74,104.25,412944.0841224675,3961.09433211
1642550400000,2022-01-19 00:00:00,BSV/USD,108.72,112.81,107.81,109.57,418945.1825683302,3823.53913086
1642464000000,2022-01-18 00:00:00,BSV/USD,109.76,113.4,106.5,108.2,234987.03334440003,2171.784042
1642377600000,2022-01-17 00:00:00,BSV/USD,112.85,114.5,108.75,109.76,489790.6250898304,4462.37814404
1642291200000,2022-01-16 00:00:00,BSV/USD,112.72,113.78,111.32,112.52,194476.4339028012,1728.37214631
1642204800000,2022-01-15 00:00:00,BSV/USD,113.38,114.47,111.42,112.78,182408.3346101274,1617.38193483
1642118400000,2022-01-14 00:00:00,BSV/USD,109.43,114.69,108.32,112.93,266374.0941392308,2358.75404356
1642032000000,2022-01-13 00:00:00,BSV/USD,112.92,113.8,108.87,109.24,410404.7810611868,3756.90938357
1641945600000,2022-01-12 00:00:00,BSV/USD,110.25,113.8,109.13,112.73,209395.2415808746,1857.49349402
1641859200000,2022-01-11 00:00:00,BSV/USD,106.2,112.25,105.77,110.26,278327.0814905704,2524.27971604
1641772800000,2022-01-10 00:00:00,BSV/USD,109.41,110.46,101.62,106.08,691355.8408855487,6517.30619236
1641686400000,2022-01-09 00:00:00,BSV/USD,107.47,111.33,105.81,109.19,401660.7421977527,3678.54878833
1641600000000,2022-01-08 00:00:00,BSV/USD,109.91,114.07,103.65,107.76,398439.0007222488,3697.46659913
1641513600000,2022-01-07 00:00:00,BSV/USD,111.28,120.82,104.79,109.97,1146122.843801537,10422.1409821
1641427200000,2022-01-06 00:00:00,BSV/USD,114.42,114.42,109.29,111.29,544118.8322243447,4889.19788143
1641340800000,2022-01-05 00:00:00,BSV/USD,120.9,122.92,111.68,114.2,342885.18665233,3002.49725615
1641254400000,2022-01-04 00:00:00,BSV/USD,122.24,123.86,120.6,121.29,108644.52441386701,895.7418123
1641168000000,2022-01-03 00:00:00,BSV/USD,124.11,124.17,120.41,122.14,157198.9452688934,1287.03901481
1641081600000,2022-01-02 00:00:00,BSV/USD,123.03,125.39,122.01,124.16,55140.8001102208,444.11082563
1640995200000,2022-01-01 00:00:00,BSV/USD,121.28,122.93,120.73,122.93,252667.76537070083,2055.37920256
1640908800000,2021-12-31 00:00:00,BSV/USD,122.56,126.36,120.2,121.1,451601.123030113,3729.15873683
1640822400000,2021-12-30 00:00:00,BSV/USD,121.38,123.23,120.0,122.49,212518.069654338,1734.9830162
