https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume RBT
1646092800000,2022-03-01 00:00:00,RBT/USD,42895,45386,42476,44020,4375.7786066,0.09940433
1646006400000,2022-02-28 00:00:00,RBT/USD,37638,44206,37544,42837,19108.34471211,0.44607103
1645920000000,2022-02-27 00:00:00,RBT/USD,39133,40066,37113,37915,93858.7698001,2.47550494
1645833600000,2022-02-26 00:00:00,RBT/USD,39309,40123,38585,39133,40715.76314342,1.04044574
1645747200000,2022-02-25 00:00:00,RBT/USD,38521,39899,37937,39309,20906.288422470003,0.53184483
1645660800000,2022-02-24 00:00:00,RBT/USD,37090,38983,34423,38521,70085.47758681,1.81940961
1645574400000,2022-02-23 00:00:00,RBT/USD,38459,39349,37069,37462,7841.623760959999,0.20932208
1645488000000,2022-02-22 00:00:00,RBT/USD,37130,38651,36333,38170,25274.634222200002,0.66215966
1645401600000,2022-02-21 00:00:00,RBT/USD,38599,39610,36773,37130,56076.284257,1.5102689
1645315200000,2022-02-20 00:00:00,RBT/USD,40186,40186,37961,38599,8423.74771854,0.21823746
1645228800000,2022-02-19 00:00:00,RBT/USD,39825,40749,39519,40186,2807.976657,0.0698745
1645142400000,2022-02-18 00:00:00,RBT/USD,40346,41150,39249,39825,6380.16372675,0.16020499
1645056000000,2022-02-17 00:00:00,RBT/USD,43741,44317,40014,40749,2320.98928431,0.05695819
1644969600000,2022-02-16 00:00:00,RBT/USD,44695,44695,43190,44189,8703.26614761,0.19695549
1644883200000,2022-02-15 00:00:00,RBT/USD,42780,44926,42309,44351,2992.28834734,0.06746834
1644796800000,2022-02-14 00:00:00,RBT/USD,41913,43024,41481,42780,8575.7703492,0.20046214
1644710400000,2022-02-13 00:00:00,RBT/USD,42049,43029,41809,41913,8283.68154783,0.19763991
1644624000000,2022-02-12 00:00:00,RBT/USD,42229,43166,41615,42401,2537.70069802,0.05985002
1644537600000,2022-02-11 00:00:00,RBT/USD,43725,44057,41857,42229,9136.065099039999,0.21634576
1644451200000,2022-02-10 00:00:00,RBT/USD,44215,45841,42840,43725,22385.412959250003,0.51195913
1644364800000,2022-02-09 00:00:00,RBT/USD,43848,45039,43004,44215,2606.4839773,0.05895022
