https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume WBT
1650844800000,2022-04-25 00:00:00,WBT/USD,39451,40529,38307,40440,1791.2400588,0.04429377
1650758400000,2022-04-24 00:00:00,WBT/USD,39516,39881,39167,39504,812.30732064,0.02056266
1650672000000,2022-04-23 00:00:00,WBT/USD,39778,39977,39323,39450,724.2305955,0.01835819
1650585600000,2022-04-22 00:00:00,WBT/USD,40462,40790,39244,39717,1802.0893702500002,0.045373250000000004
1650499200000,2022-04-21 00:00:00,WBT/USD,41413,42880,39941,40519,1751.81141208,0.04323432
1650412800000,2022-04-20 00:00:00,WBT/USD,41478,42194,40947,41348,2049.76135668,0.04957341
1650326400000,2022-04-19 00:00:00,WBT/USD,40857,41720,40530,41540,997.8232012,0.02402078
1650240000000,2022-04-18 00:00:00,WBT/USD,39669,41084,38617,40799,1608.89795726,0.03943474
1650153600000,2022-04-17 00:00:00,WBT/USD,40390,40617,39604,39725,773.434627,0.01946972
1650067200000,2022-04-16 00:00:00,WBT/USD,40530,40694,40015,40406,2369.36905024,0.05863904
1649980800000,2022-04-15 00:00:00,WBT/USD,39913,40662,39776,40586,930.7506208,0.0229328
1649894400000,2022-04-14 00:00:00,WBT/USD,41091,41504,39628,39975,1518.3792194999999,0.03798322
1649808000000,2022-04-13 00:00:00,WBT/USD,40023,41450,39610,41153,1925.0838411,0.0467787
1649721600000,2022-04-12 00:00:00,WBT/USD,39673,40655,39288,40116,1795.66316532,0.04476177
1649635200000,2022-04-11 00:00:00,WBT/USD,42102,42438,39297,39583,2066.21360016,0.05219952
1649548800000,2022-04-10 00:00:00,WBT/USD,42700,43432,41965,42183,1171.79986968,0.027778960000000002
1649462400000,2022-04-09 00:00:00,WBT/USD,42294,42799,42195,42771,898.1319760199999,0.02099862
1649376000000,2022-04-08 00:00:00,WBT/USD,43376,43929,42195,42233,1637.28134206,0.03876782
1649289600000,2022-04-07 00:00:00,WBT/USD,43229,43890,42880,43444,1777.36268152,0.04091158
1649203200000,2022-04-06 00:00:00,WBT/USD,45369,45494,43227,43236,10877.61034368,0.25158688
1649116800000,2022-04-05 00:00:00,WBT/USD,46540,47162,45451,45527,1403.09615773,0.03081899
1649030400000,2022-04-04 00:00:00,WBT/USD,46367,46853,45230,46609,2015.0338464800002,0.04323272
1648944000000,2022-04-03 00:00:00,WBT/USD,45879,47384,45589,46424,3047.35120928,0.06564172
1648857600000,2022-04-02 00:00:00,WBT/USD,46219,47110,45735,45833,1599.3906596499999,0.03489605
1648771200000,2022-04-01 00:00:00,WBT/USD,45548,46613,44284,46262,2032.50339044,0.04393462
1648684800000,2022-03-31 00:00:00,WBT/USD,47024,47567,45368,45475,2818.857006,0.06198696
1648598400000,2022-03-30 00:00:00,WBT/USD,47402,47614,46687,47055,2512.04764425,0.05338535
1648512000000,2022-03-29 00:00:00,WBT/USD,47224,47999,47069,47456,11682.55388224,0.24617654
1648425600000,2022-03-28 00:00:00,WBT/USD,46771,48147,46658,47153,1869.09588088,0.03963896
1648339200000,2022-03-27 00:00:00,WBT/USD,44495,46858,44432,46845,2548.41999795,0.054401109999999996
1648252800000,2022-03-26 00:00:00,WBT/USD,44412,44762,44149,44556,1013.359386,0.0227435
1648166400000,2022-03-25 00:00:00,WBT/USD,43926,45069,43633,44345,6063.2905196500005,0.13672997
1648080000000,2022-03-24 00:00:00,WBT/USD,42856,44240,42657,43988,1617.19550636,0.03676447
1647993600000,2022-03-23 00:00:00,WBT/USD,42407,42941,41799,42928,1580.2719752,0.03681215
1647907200000,2022-03-22 00:00:00,WBT/USD,40943,43171,40909,42344,88788.60862728002,2.0968403700000002
1647820800000,2022-03-21 00:00:00,WBT/USD,41302,41463,40582,41011,3594.35455037,0.08764367
1647734400000,2022-03-20 00:00:00,WBT/USD,42245,42282,40975,41244,1385.1475696799998,0.03358422
1647648000000,2022-03-19 00:00:00,WBT/USD,41827,42362,41549,42186,23622.20425704,0.55995364
1647561600000,2022-03-18 00:00:00,WBT/USD,40927,42224,40277,41772,41231.139903480005,0.98705209
1647475200000,2022-03-17 00:00:00,WBT/USD,41082,41407,40634,40982,75336.62701632,1.83828576
1647388800000,2022-03-16 00:00:00,WBT/USD,39388,41548,38937,41141,3266.30864723,0.07939303
1647302400000,2022-03-15 00:00:00,WBT/USD,39800,39800,38233,39328,1522.49463872,0.03871274
1647216000000,2022-03-14 00:00:00,WBT/USD,37703,39821,37655,39739,1546.23773437,0.03890983
1647129600000,2022-03-13 00:00:00,WBT/USD,38762,39289,37653,37772,982.43347804,0.02600957
1647043200000,2022-03-12 00:00:00,WBT/USD,38719,39372,38719,38814,920.39133618,0.02371287
1646956800000,2022-03-11 00:00:00,WBT/USD,39407,40167,38212,38756,3693.71072836,0.09530680999999999
1646870400000,2022-03-10 00:00:00,WBT/USD,41917,42085,38675,39465,2364.5999367,0.05991638
1646784000000,2022-03-09 00:00:00,WBT/USD,38776,42570,38674,41977,2184.58214572,0.05204236
1646697600000,2022-03-08 00:00:00,WBT/USD,38059,39366,37915,38733,2040.61982991,0.05268427
1646611200000,2022-03-07 00:00:00,WBT/USD,38473,39509,37222,38082,2141.89505178,0.05624429
1646524800000,2022-03-06 00:00:00,WBT/USD,39450,39659,38181,38387,3163.2346706,0.0824038
1646438400000,2022-03-05 00:00:00,WBT/USD,39193,39603,38779,39409,1494.6848475000002,0.0379275
1646352000000,2022-03-04 00:00:00,WBT/USD,42549,42555,38674,39146,81297.08340183999,2.07676604
1646265600000,2022-03-03 00:00:00,WBT/USD,43873,44080,41821,42484,1695.24075136,0.03990304
1646179200000,2022-03-02 00:00:00,WBT/USD,44330,45363,43374,43943,8883.634207809999,0.20216267
1646092800000,2022-03-01 00:00:00,WBT/USD,43266,44932,42831,44403,28172.71997355,0.63447785
1646006400000,2022-02-28 00:00:00,WBT/USD,37689,43853,37546,43214,4217.489344160001,0.09759544
1645920000000,2022-02-27 00:00:00,WBT/USD,39039,39829,37156,37753,2262.5712677,0.0599309
1645833600000,2022-02-26 00:00:00,WBT/USD,39147,40116,37956,39159,4786.76757393,0.12223927
1645747200000,2022-02-25 00:00:00,WBT/USD,38351,39723,38105,39217,1811.94422751,0.04620303
1645660800000,2022-02-24 00:00:00,WBT/USD,37242,39208,34453,38416,9613.88751008,0.25025738
1645574400000,2022-02-23 00:00:00,WBT/USD,38272,39241,37126,37319,1476.5221299099999,0.03956489
1645488000000,2022-02-22 00:00:00,WBT/USD,37132,38458,36498,38330,1804.1359883,0.04706851
1645401600000,2022-02-21 00:00:00,WBT/USD,38503,39488,36901,37073,7028.1102677,0.1895749
1645315200000,2022-02-20 00:00:00,WBT/USD,40068,40117,38108,38439,1279.24876683,0.03327997
1645228800000,2022-02-19 00:00:00,WBT/USD,39998,40501,39694,40123,1097.12692307,0.02734409
1645142400000,2022-02-18 00:00:00,WBT/USD,40528,40950,39589,40047,2800.17154011,0.06992213
1645056000000,2022-02-17 00:00:00,WBT/USD,43923,44170,40131,40617,5431.42952802,0.13372306
1644969600000,2022-02-16 00:00:00,WBT/USD,44530,44537,43393,43983,10927.94316822,0.24845834
1644883200000,2022-02-15 00:00:00,WBT/USD,42675,44769,42524,44585,8095.60029045,0.18157677
1644796800000,2022-02-14 00:00:00,WBT/USD,42096,42860,41662,42609,4432.16730159,0.10401951
1644710400000,2022-02-13 00:00:00,WBT/USD,42202,42721,41906,42205,9059.72487795,0.21465999000000002
1644624000000,2022-02-12 00:00:00,WBT/USD,42449,42951,41799,42262,2386.33397288,0.05646524
1644537600000,2022-02-11 00:00:00,WBT/USD,43437,43853,42069,42391,2036.59123691,0.04804301
1644451200000,2022-02-10 00:00:00,WBT/USD,44376,45715,43326,43518,21533.50408494,0.49481833
1644364800000,2022-02-09 00:00:00,WBT/USD,44101,44774,43250,44445,21798.11202855,0.49045139
1644278400000,2022-02-08 00:00:00,WBT/USD,43926,45348,42835,44079,50651.77088097,1.1491134299999999
1644192000000,2022-02-07 00:00:00,WBT/USD,42538,44477,41727,43860,1886.3949155999999,0.04300946
1644105600000,2022-02-06 00:00:00,WBT/USD,41499,42581,41225,42462,1457.88096636,0.03433378
1644019200000,2022-02-05 00:00:00,WBT/USD,41478,41838,41024,41441,1501.33325061,0.036228210000000004
1643932800000,2022-02-04 00:00:00,WBT/USD,37259,41627,37058,41548,1822.3638342000002,0.04386165
1643846400000,2022-02-03 00:00:00,WBT/USD,36990,37198,36393,37198,78917.40611258,2.12154971
1643760000000,2022-02-02 00:00:00,WBT/USD,38792,38848,36721,36933,10681.404009900001,0.28921030000000003
1643673600000,2022-02-01 00:00:00,WBT/USD,38525,39224,38062,38744,1648.8613404,0.04255785
1643587200000,2022-01-31 00:00:00,WBT/USD,37973,38738,36710,38558,1471.62891954,0.03816663
1643500800000,2022-01-30 00:00:00,WBT/USD,38223,38344,37421,37911,1430.85781305,0.03774255
1643414400000,2022-01-29 00:00:00,WBT/USD,37734,38659,37379,38162,984.43534764,0.02579622
1643328000000,2022-01-28 00:00:00,WBT/USD,37100,38038,36202,37757,11078.642704490001,0.29341957
1643241600000,2022-01-27 00:00:00,WBT/USD,36797,37283,35571,37058,2089.43676704,0.05638288
1643155200000,2022-01-26 00:00:00,WBT/USD,37290,38835,36309,36804,1685.761215,0.04580375
1643068800000,2022-01-25 00:00:00,WBT/USD,36662,37554,35746,36974,3219.99836732,0.08708818
1642982400000,2022-01-24 00:00:00,WBT/USD,36277,37294,32817,36733,17663.35507735,0.48085795
1642896000000,2022-01-23 00:00:00,WBT/USD,35070,36535,34649,36299,3069.9316615499997,0.08457345
1642809600000,2022-01-22 00:00:00,WBT/USD,36444,36724,34171,35115,10245.46106085,0.29176879
1642723200000,2022-01-21 00:00:00,WBT/USD,40679,41091,34165,36490,14867.588501799999,0.40744282
1642636800000,2022-01-20 00:00:00,WBT/USD,41727,43539,40612,40745,21859.956935050002,0.5365064900000001
1642550400000,2022-01-19 00:00:00,WBT/USD,42357,43749,40645,41687,1705.4943753,0.0409119
1642464000000,2022-01-18 00:00:00,WBT/USD,42177,42574,41305,42364,13319.57119192,0.31440778
1642377600000,2022-01-17 00:00:00,WBT/USD,43076,43129,41574,42232,732.7902372799999,0.01735154
1642291200000,2022-01-16 00:00:00,WBT/USD,43019,53942,23301,43097,591.73430813,0.013730290000000001
1642204800000,2022-01-15 00:00:00,WBT/USD,43053,43796,42612,43164,7616.725914600001,0.17646015
1642118400000,2022-01-14 00:00:00,WBT/USD,42527,43439,41916,43071,598.5990351600001,0.013897960000000001
1642032000000,2022-01-13 00:00:00,WBT/USD,44011,44335,42386,42583,585.32675565,0.01374555
1641945600000,2022-01-12 00:00:00,WBT/USD,43506,44199,41532,43927,14049.90423382,0.31984666
1641859200000,2022-01-11 00:00:00,WBT/USD,41786,43108,41398,42708,652.3732415999999,0.0152752
1641772800000,2022-01-10 00:00:00,WBT/USD,41845,56782,39731,41865,137928.1577148,3.2945935200000003
1641686400000,2022-01-09 00:00:00,WBT/USD,41547,42607,41390,41897,418623.24450714,9.99172362
1641600000000,2022-01-08 00:00:00,WBT/USD,41713,56782,40706,41755,2243.31368065,0.05372563
1641513600000,2022-01-07 00:00:00,WBT/USD,43172,43329,41026,41735,1602.9061285999999,0.03840676
1641427200000,2022-01-06 00:00:00,WBT/USD,43489,43890,42656,43344,615.38424192,0.01419768
1641340800000,2022-01-05 00:00:00,WBT/USD,45867,47248,42685,43615,3302.126542,0.0757108
1641254400000,2022-01-04 00:00:00,WBT/USD,46534,47614,45770,46127,718.9884680499999,0.01558715
1641168000000,2022-01-03 00:00:00,WBT/USD,47377,47691,45882,46575,862.088346,0.01850968
1641081600000,2022-01-02 00:00:00,WBT/USD,47774,47990,46939,47610,677.7412047,0.01423527
1640995200000,2022-01-01 00:00:00,WBT/USD,46393,47958,46393,47806,625.24415668,0.01307878
1640908800000,2021-12-31 00:00:00,WBT/USD,47294,49053,45919,46355,989.39972935,0.02134397
1640822400000,2021-12-30 00:00:00,WBT/USD,46505,48139,46100,47229,78020.27668071,1.65195699
1640736000000,2021-12-29 00:00:00,WBT/USD,47566,48161,46404,46562,799.4765242999999,0.01717015
1640649600000,2021-12-28 00:00:00,WBT/USD,50718,50718,47440,47738,5632.53119396,0.11798842
1640563200000,2021-12-27 00:00:00,WBT/USD,50884,52060,50545,50754,907.4018362200001,0.01787843
1640476800000,2021-12-26 00:00:00,WBT/USD,50433,51330,49635,50834,725.72702594,0.01427641
1640390400000,2021-12-25 00:00:00,WBT/USD,50886,51188,50352,50708,712.47173984,0.01405048
1640304000000,2021-12-24 00:00:00,WBT/USD,50922,51875,50540,50869,5913.60518385,0.11625165
1640217600000,2021-12-23 00:00:00,WBT/USD,48659,51347,48142,50854,10800.1411343,0.21237545
1640131200000,2021-12-22 00:00:00,WBT/USD,48905,49646,48504,48671,825.2956520199999,0.01695662
1640044800000,2021-12-21 00:00:00,WBT/USD,47048,49333,46786,49022,10542.29237994,0.21505227
1639958400000,2021-12-20 00:00:00,WBT/USD,46633,47354,45691,46994,684.55078938,0.01456677
1639872000000,2021-12-19 00:00:00,WBT/USD,46924,48091,46551,46764,2346.98508504,0.05018786
1639785600000,2021-12-18 00:00:00,WBT/USD,46151,47358,45801,47041,669.70766388,0.01423668
1639699200000,2021-12-17 00:00:00,WBT/USD,47756,48070,45801,46451,1209.65046493,0.02604143
1639612800000,2021-12-16 00:00:00,WBT/USD,48952,49664,47655,47770,2371.8970588,0.049652440000000006
1639526400000,2021-12-15 00:00:00,WBT/USD,48368,49522,46743,48968,2173.78892504,0.04439203
1639440000000,2021-12-14 00:00:00,WBT/USD,46703,48714,46583,48424,8188.63592416,0.16910284
1639353600000,2021-12-13 00:00:00,WBT/USD,50153,50186,46187,46834,53752.1241189,1.14771585
1639267200000,2021-12-12 00:00:00,WBT/USD,49464,50647,48745,50195,5877.3164876,0.11708968
1639180800000,2021-12-11 00:00:00,WBT/USD,47282,49476,47105,49404,1414.6662486,0.02863465
1639094400000,2021-12-10 00:00:00,WBT/USD,47680,50646,47321,47321,339051.06007108,7.16491748
1639008000000,2021-12-09 00:00:00,WBT/USD,50845,50994,47536,48833,250762.34025332,5.13510004
1638921600000,2021-12-08 00:00:00,WBT/USD,50733,51263,49094,50589,5797.20041901,0.11459409
