https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MLN
1639785600000,2021-12-18 00:00:00,MLN/USD,85.242,91.901,83.484,85.474,45917.24765978323,537.20719353
1639699200000,2021-12-17 00:00:00,MLN/USD,83.995,86.765,81.764,85.104,16422.85813347936,192.97398634
1639612800000,2021-12-16 00:00:00,MLN/USD,85.109,87.839,83.909,83.999,54689.134209367636,651.06887236
1639526400000,2021-12-15 00:00:00,MLN/USD,83.548,87.281,80.878,85.129,12762.96119709479,149.92495151
1639440000000,2021-12-14 00:00:00,MLN/USD,83.375,102.24,81.647,83.323,102216.58951352313,1226.75119131
1639353600000,2021-12-13 00:00:00,MLN/USD,86.62,86.62,81.585,84.464,4191.22106553328,49.62138977
1639267200000,2021-12-12 00:00:00,MLN/USD,85.764,90.03,83.305,86.616,19080.856193407202,220.2925117
1639180800000,2021-12-11 00:00:00,MLN/USD,81.394,93.88,80.748,85.85,84739.4758305435,987.06436611
1639094400000,2021-12-10 00:00:00,MLN/USD,83.632,85.985,81.307,81.416,1159.94539693048,14.24714303
1639008000000,2021-12-09 00:00:00,MLN/USD,92.57,98.016,84.128,84.128,25266.2963694768,300.33159435
1638921600000,2021-12-08 00:00:00,MLN/USD,93.217,101.52,88.957,92.362,54822.42443730902,593.56038671
