https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume PAX
1639699200000,2021-12-17 00:00:00,PAX/USD,1.0003,1.0005,1.0003,1.0005,5740.733348208,5737.864416
1639526400000,2021-12-15 00:00:00,PAX/USD,1.0004,1.0007,1.0004,1.0007,38.877016665252995,38.84982179
1639440000000,2021-12-14 00:00:00,PAX/USD,1.0009,1.0009,1.0004,1.0004,36623.95204817993,36609.30832485
1639353600000,2021-12-13 00:00:00,PAX/USD,1.0004,1.0008,1.0004,1.0007,3727290.267528075,3724682.98943547
1639267200000,2021-12-12 00:00:00,PAX/USD,1.0005,1.0005,1.0004,1.0004,213237.23624105033,213151.97545087
1639180800000,2021-12-11 00:00:00,PAX/USD,1.0005,1.0005,1.0003,1.0005,119245.7175692735,119186.12450702
1639094400000,2021-12-10 00:00:00,PAX/USD,1.0005,1.0006,1.0002,1.0005,129911.01977673417,129846.09672837
1639008000000,2021-12-09 00:00:00,PAX/USD,1.0003,1.0005,1.0,1.0005,41903.907289503295,41882.9658066
1638921600000,2021-12-08 00:00:00,PAX/USD,1.0003,1.0003,1.0002,1.0002,6.604928451546,6.60360773
1638835200000,2021-12-07 00:00:00,PAX/USD,0.9999,1.0003,0.9999,1.0,13002.95684952,13002.95684952
1638748800000,2021-12-06 00:00:00,PAX/USD,0.9998,1.0006,0.9998,1.0003,307617.9692395578,307525.7115261
1638662400000,2021-12-05 00:00:00,PAX/USD,0.99997,0.99997,0.9998,0.9998,4515.197346826612,4516.10056694
1638576000000,2021-12-04 00:00:00,PAX/USD,0.99999,0.99999,0.99875,0.9999,635314.0490396802,635377.58679836
1638489600000,2021-12-03 00:00:00,PAX/USD,0.99999,1.0009,0.99999,1.0006,2550.909995790542,2549.38036757
1638316800000,2021-12-01 00:00:00,PAX/USD,0.99999,0.99999,0.99999,0.99999,4.0158795708027,4.01591973
1638230400000,2021-11-30 00:00:00,PAX/USD,0.99999,0.99999,0.99999,0.99999,2.1890101096800003,2.189032
1638144000000,2021-11-29 00:00:00,PAX/USD,1.0004,1.0004,1.0004,1.0004,7.520923246432,7.51791608
1638057600000,2021-11-28 00:00:00,PAX/USD,1.0001,1.0001,1.0001,1.0001,2.4199149272960003,2.41967296
1637884800000,2021-11-26 00:00:00,PAX/USD,1.0001,1.0001,0.99999,0.99999,5798.869233457774,5798.927222730001
1637798400000,2021-11-25 00:00:00,PAX/USD,0.99999,1.0003,0.99999,1.0003,5618.230356647909,5616.54539303
1637712000000,2021-11-24 00:00:00,PAX/USD,0.99981,1.0003,0.9998,1.0003,11.22454455346,11.2211782
1637625600000,2021-11-23 00:00:00,PAX/USD,1.0001,1.0003,0.99971,1.0003,665.5181721029589,665.31857653
1637539200000,2021-11-22 00:00:00,PAX/USD,1.0004,1.0005,0.99999,1.0004,27696.72467124443,27685.650411079998
1637452800000,2021-11-21 00:00:00,PAX/USD,1.0002,1.0004,1.0002,1.0004,17093.097326488543,17086.26282136
1637366400000,2021-11-20 00:00:00,PAX/USD,1.0002,1.0004,1.0001,1.0001,11475.152662496197,11474.00526197
1637280000000,2021-11-19 00:00:00,PAX/USD,1.0006,1.0006,0.9995,1.0,23729.01999027,23729.01999027
1637193600000,2021-11-18 00:00:00,PAX/USD,1.0001,1.0007,0.99999,1.0004,144469.26320843358,144411.49860899
1637107200000,2021-11-17 00:00:00,PAX/USD,0.99969,1.017,0.99969,1.0003,443577.4693147252,443444.43598393
1637020800000,2021-11-16 00:00:00,PAX/USD,0.9999,0.99999,0.99941,0.99973,299694.3701571675,299775.30949073
1636848000000,2021-11-14 00:00:00,PAX/USD,1.0001,1.0001,0.99999,1.0001,4202.457477137341,4202.03727341
1636761600000,2021-11-13 00:00:00,PAX/USD,1.0001,1.0001,1.0001,1.0001,34.160952533678,34.15753678
1636675200000,2021-11-12 00:00:00,PAX/USD,1.0001,1.0001,0.99971,1.0,1666.9969884500001,1666.9969884500001
1636588800000,2021-11-11 00:00:00,PAX/USD,0.99999,0.99999,0.9993,0.99999,319023.6021865955,319026.79245452
